LL	EH L
ELECTROSTATICALLY	IH L EH K T R AH S T AE T IH K AH L IY
ELECTROTHERMALLY	AH L EH K T R AH TH AH R M AE L IY
ELECTROTONICALLY	IH L EH K T R AA T AO N IH K AH L IY
ELEGIACALLY	EH L AH JH AY AH K AH L IY
ELEMENTALLY	EH L AH M EH N T AH L IY
ELL	EH L
ELLIPSE	IH L IH P S
ELLIPSES	IH L IH P S IH Z
ELLIPSIS	IH L IH P S AH S
ELLIPSOID	IH L IH P S OY D
ELLIPSOIDAL	IH L IH P S OY D AH L
ELLIPSOIDS	IH L IH P S OY D Z
ELLIPTIC	IH L IH P T IH K
ELLIPTICAL	IH L IH P T IH K AH L
ELLIPTICALLY	IH L IH P T IH K AH L IY
ELLIPTICALS	IH L IH P T IH K AH L Z
ELLIPTICITIES	IH L IH P T IH K AH T IY Z
ELLIPTICITY	IH L IH P T IH K AH T IY
ELLS	EH L Z
EMBELLISH	IH M B EH L IH SH
EMBELLISHED	EH M B EH L IH SH T
EMBELLISHER	IH M B EH L IH SH ER
EMBELLISHERS	IH M B EH L IH SH ER Z
EMBELLISHES	EH M B EH L IH SH AH Z
EMBELLISHING	EH M B EH L IH SH IH NG
EMBELLISHMENT	EH M B EH L IH SH M AH N T
EMBELLISHMENTS	IH M B EH L IH SH M AH N T S
EMBLEMATICALLY	EH M B L AH M AE T IH K AH L IY
EMBOWELLED	IH M B AW AH L D
EMBOWELLING	IH M B AW AH L IH NG
EMBRYOLOGICALLY	EH M B R IY OW L AA JH IH K AH L IY
EMBRYONICALLY	EH M B R IY AA N IH K AH L IY
EMETICALLY	AH M EH T AH K AE L IY
EMOLLIENT	AH M AA L IY AH N T
EMOLLIENTS	AH M AA L IY N T S
EMOTIONALLY	IH M OW SH N AH L IY
EMOTIONALLY(2)	IY M OW SH N AH L IY
EMPANELLED	IH M P AE N AH L D
EMPANELLING	IH M P AE N AH L IH NG
EMPATHETICALLY	IH M P AH TH EH T IH K AH L IY
EMPATHICALLY	IH M P AE TH IH K AH L IY
EMPHATICALLY	EH M F AE T IH K AH L IY
EMPIRICALLY	EH M P IH R IH K AH L IY
EMPIRICALLY(2)	EH M P IH R IH K L IY
ENAMELLED	IH N AE M AH L D
ENAMELLING	IH N AE M AH L IH NG
ENCYCLOPEDICALLY	IH N S AY K L AH P IY D IH K AH L IY
ENDEMICALLY	EH N D IY M AY S AH L IY
ENDODONTICALLY	IH N D AH D AA N T AH K AE L IY
ENDOSCOPICALLY	EH N D UW S K OW P IH K AH L IY
ENDOSTEALLY	EH N D UW S T IY L IY
ENERGETICALLY	EH N ER JH EH T IH K L IY
ENHARMONICALLY	EH N HH AA R M AA N IH K AH L IY
ENIGMATICALLY	EH N IH G M AE T IH K AH L IY
ENROLL	EH N R OW L
ENROLL(2)	IH N R OW L
ENROLLED	EH N R OW L D
ENROLLEE	EH N R OW L IY
ENROLLEES	EH N R OW L IY Z
ENROLLER	EH N R OW L ER
ENROLLERS	EH N R OW L ER Z
ENROLLING	EH N R OW L IH NG
ENROLLMENT	EH N R OW L M AH N T
ENROLLMENTS	EH N R OW L M AH N T S
ENROLLS	EH N R OW L Z
ENSCROLL	IH N S R AO L
ENSCROLLED	IH N S R AA L D
ENSCROLLING	IH N S R AA L AH NG
ENSCROLLS	IH N S R AA L Z
ENSORCELL	EH N Z ER S EH L
ENSORCELLED	EH N Z ER S EH L D
ENSORCELLING	EH N Z ER S EH L IH NG
ENSORCELLMENT	EH N Z ER S EH L M AH N T
ENSORCELLMENTS	EH N Z ER S EH L M AH N T S
ENSORCELLS	EH N Z ER S EH L Z
ENTELLUS	IH N T EH L AH S
ENTELLUSES	EH N T EH L Y UW S IH Z
ENTERALLY	EH N T ER AH L IY
ENTHRALL	IH N TH R AE L
ENTHRALLED	EH N TH R AO L D
ENTHRALLING	IH N TH R AO L IH NG
ENTHRALLMENT	IH N TH R AE L M AH N T
ENTHRALLMENTS	IH N TH R AE L M AH N T S
ENTHRALLS	IH N TH R AE L Z
ENTHUSIASTICALLY	IH N TH UW Z IY AE S T IH K L IY
ENTOMOLOGICALLY	IH N T AH M AH L AA JH AH K AE L IY
ENTREPRENEURIALLY	AA N T R AH P R AH N ER IY AH L IY
ENTROPICALLY	EH N T R AA P IH K AH L IY
ENVIRONMENTALLY	IH N V AY R AH N M EH N T AH L IY
ENVIRONMENTALLY(2)	IH N V AY R AH N M EH N AH L IY
ENZYMATICALLY	EH N Z AH M AE T IH K AH L IY
ENZYMICALLY	EH N Z AY M IH K AH L IY
EPEIROGENICALLY	IY P AH R AH JH EH N AH K AE L IY
EPEXEGETICALLY	AH P EH K S AH JH EH T AH K AE L IY
EPHEMERALLY	IH F EH M AH R AH L IY
EPICALLY	EH P IH K AH L IY
EPIDEMICALLY	EH P AH D EH M IH K AH L IY
EPIDEMIOLOGICALLY	EH P AH D IY M IY AH L AA JH IH K L IY
EPIGENETICALLY	EH P AH JH AH N EH T IH K AH L IY
EPIGRAMMATICALLY	EH P IH G R AH M AE T IH K AH L IY
EPIGRAPHICALLY	EH P AH G R AE F IH K AH L IY
EPILEPTICALLY	EH P AH L EH P T IH K AH L IY
EPIPHENOMENALLY	EH P AH F AH N AA M AH N AE L IY
EPIPHYTICALLY	EH P AH F IH T AH K AE L IY
EPISCOPALLY	IH P IH S K AH P AH L IY
EPISODICALLY	EH P AH S OW D IH K AH L IY
EPISOMALLY	AH P IH S AH M AE L IY
EPISTEMICALLY	AH P IH S T EH M AH K AE L IY
EPISTEMOLOGICALLY	AH P IH S T AH M AH L AA JH AH K AE L IY
EPITAXIALLY	EH P AH T AE K S IY AE L IY
EPOCHALLY	EH P AH K AH L IY
EQUALLED	IY K W AH L D
EQUALLING	IY K W AH L IH NG
EQUALLY	IY K W AH L IY
EQUATIONALLY	IH K W EY SH AH N AH L IY
EQUIPOLLENCE	EH K W AH P AA L AH N S
EQUIPOLLENCES	EH K W AH P AA L EH N S AH Z
EQUIPOLLENT	EH K W AH P AA L AH N T
EQUIPOLLENTLY	EH K W AH P AA L EH N T L IY
EQUIPOLLENTS	EH K W AH P AA L AH N T S
EQUIVOCALLY	IH K W IH V AH K AH L IY
ERGONOMICALLY	ER G AH N AA M IH K L IY
ERISTICALLY	AH R IH S T AH K AE L IY
EROSIONALLY	IH R OW ZH AH N AH L IY
EROTICALLY	IH R AA T IH K AH L IY
ERRATICALLY	EH R AE T IH K L IY
ESCADRILLE	EH S K AH D R IH L
ESCADRILLES	EH S K AH D R IH L Z
ESCALLOP	EH S AE L AH P
ESCALLOPED	EH S AH L OW P T
ESCALLOPING	EH S AH L OW P AH NG
ESCALLOPS	EH S AE L AH P S
ESCHATOLOGICALLY	EH S AH T AH L AA JH AH K AE L IY
ESOTERICALLY	EH S AH T EH R IH K AH L IY
ESPADRILLE	EH S AE D R AH L
ESPADRILLES	EH S AE D R AH L Z
ESPECIALLY	AH S P EH SH L IY
ESPECIALLY(2)	AH S P EH SH AH L IY
ESSENTIALLY	EH S EH N SH AH L IY
ESSENTIALLY(2)	IY S EH N SH AH L IY
ESTROGENICALLY	EH S T R AH JH EH N AH K AE L IY
ETERNALLY	IH T ER N AH L IY
ETERNALLY(2)	IY T ER N AH L IY
ETHEREALLY	IH TH IH R IY AH L IY
ETHICALLY	EH TH IH K AH L IY
ETHNICALLY	EH TH N IH K L IY
ETHNOGRAPHICALLY	EH TH N AA G R AE F AH K AE L IY
ETIOLOGICALLY	IY T IY AH L AA JH AH K AE L IY
ETYMOLOGICALLY	EH T AH M AH L AA JH IH K AH L IY
EUDIOMETRICALLY	Y UW D IY AH M EH T R AH K AE L IY
EUGENICALLY	Y UH JH EH N IH K AH L IY
EULOGISTICALLY	Y UW L AH JH IH S T AH K AE L IY
EUPHEMISTICALLY	Y UW F AH M IH S T IH K L IY
EUPHONICALLY	Y UW F AA N AH K AE L IY
EUPHORICALLY	Y UH F AO R IH K AH L IY
EUPHUISTICALLY	Y UW F UW S T AH K AE L IY
EVANGELICALLY	IY V AE N JH EH L IH K AH L IY
EVANGELISTICALLY	IH V AE N JH AH L IH S T IH K AH L IY
EVENFALL	IY V AH N F AO L
EVENFALLS	IY V AH N F AO L Z
EVENTFULLY	IH V EH N T F AH L IY
EVENTUALLY	IH V EH N CH AH W AH L IY
EVENTUALLY(2)	IH V EH N SH AH L IY
EVENTUALLY(3)	IY V EH N CH AH W AH L IY
EVENTUALLY(4)	IY V EH N SH AH L IY
EVIDENTIALLY	EH V AH D EH N CH AH L IY
EVILLER	IY V AH L ER
EVILLEST	IY V AH L AH S T
EVILLY	IY V AH L IY
EXCELLED	IH K S EH L D
EXCELLENCE	EH K S AH L AH N S
EXCELLENCES	EH K S AH L AH N S IH Z
EXCELLENCIES	EH K S L EH N S IY Z
EXCELLENCY	EH K S L EH N S IY
EXCELLENT	EH K S AH L AH N T
EXCELLENTLY	EH K S AH L AH N T L IY
EXCELLING	EH K S EH L IH NG
EXCEPTIONALLY	IH K S EH P SH AH N AH L IY
EXCEPTIONALLY(2)	IH K S EH P SH N AH L IY
EXHIBITIONISTICALLY	EH K S AH B IH SH AH N IH S T IH K AH L IY
EXISTENTIALISTICALLY	EH G Z IH S T EH N CH AH L IH S T IH K AH L IY
EXISTENTIALLY	EH G Z IH S T EH N CH AH L IY
EXOTERICALLY	IH G Z AH T EH R AH K AE L IY
EXOTHERMALLY	EH K S AH DH ER M AE L IY IY
EXOTHERMICALLY	EH K S OW TH ER M IH K AH L IY
EXOTICALLY	IH G Z AA T IH K AH L IY
EXPELLABLE	IH K S P EH L AH B AH L
EXPELLED	IH K S P EH L D
EXPELLEE	IH K S P EH L IY
EXPELLEES	IH K S P EH L IY Z
EXPELLER	IH K S P EH L ER
EXPELLERS	IH K S P EH L ER Z
EXPELLING	IH K S P EH L IH NG
EXPERIENTIALLY	IH K S P IH R IY EH N CH AH L IY
EXPERIMENTALLY	IH K S P EH R AH M EH N T AH L IY
EXPONENTIALLY	EH K S P OW N EH N SH AH L IY
EXPRESSIONISTICALLY	IH K S P R EH SH AH N IH S T IH K AH L IY
EXTEMPORALLY	EH K S T EH M P AH R AH L IY
EXTENSIONALLY	IH K S T EH N CH AH N AH L IY
EXTERNALLY	IH K S T ER N AH L IY
EXTOLL	EH K S T OW L
EXTOLLED	IH K S T OW L D
EXTOLLER	EH K S T OW L ER
EXTOLLERS	EH K S T OW L ER Z
EXTOLLING	IH K S T OW L IH NG
EXTOLLS	EH K S T OW L Z
EXTRACELLULAR	EH K S T R AH S EH L Y AH L ER
EXTRACELLULARLY	EH K S T R AH S EH L Y AH L ER L IY
EXTRACORPOREALLY	EH K S T R AH K AO R P OW R IY AH L IY
EXTRAJUDICIALLY	EH K S T R AH JH UH D IH SH AH L IY
EXTRALEGALLY	EH K S T R AH L IY G AH L IY
EXTRALINGUISTICALLY	EH K S T R AH L IH NG G W IH S T IH K AH L IY
EXTRAMURALLY	EH K S T R AE M Y ER AH L IY
EXTRINSICALLY	IH K S T R IH N S AH K AE L IY
EYEBALL	AY B AO L
EYEBALLED	AY B AO L D
EYEBALLING	AY B AO L IH NG
EYEBALLS	AY B AO L Z
FACIALLY	F EY SH AH L IY
FACTIONALLY	F AE K SH AH N AH L IY
FACTUALLY	F AE K CH UW AH L IY
FAILLE	F EY L
FAILLES	F EY L Z
FAITHFULLY	F EY TH F AH L IY
FALL	F AO L
FALL(2)	F AA L
FALLACIES	F AE L AH S IY Z
FALLACIOUS	F AH L EY SH AH S
FALLACIOUSLY	F AH L EY SH AH S L IY
FALLACIOUSNESS	F AH L EY SH AH S N AH S
FALLACIOUSNESSES	F AH L EY SH AH S N AH S IH Z
FALLACY	F AE L AH S IY
FALLAL	F AE L AH L
FALLALERIES	F AE L AH L AH R IY Z
FALLALERY	F AE L AH L AH R IY
FALLALS	F AE L AH L Z
FALLAWAY	F AO L AH W EY
FALLAWAYS	F AO L AH W EY Z
FALLBACK	F AO L B AE K
FALLBACKS	F AO L B AE K S
FALLEN	F AA L AH N
FALLER	F AO L ER
FALLERS	F AE L ER Z
FALLFISH	F AO L F IH SH
FALLFISHES	F AO L F IH SH IH Z
FALLIBILITIES	F AE L AH B IH L AH T IY Z
FALLIBILITY	F AE L IH B IH L IH T IY
FALLIBLE	F AE L AH B AH L
FALLIBLY	F AE L AH B L IY
FALLING	F AA L IH NG
FALLOFF	F AO L AO F
FALLOFFS	F AO L AO F S
FALLOUT	F AO L AW T
FALLOUTS	F AO L AW T S
FALLOW	F AE L OW
FALLOWED	F AE L OW D
FALLOWING	F AE L OW IH NG
FALLOWNESS	F AE L OW N AH S
FALLOWNESSES	F AE L OW N AH S IH Z
FALLOWS	F AE L OW Z
FALLS	F AO L Z
FANATICALLY	F AH N AE T IH K AH L IY
FANATICALLY(2)	F AH N AE T IH K L IY
FANCIFULLY	F AE N S IY F AH L IY
FANTASTICALLY	F AE N T AE S T IH K L IY
FARCICALLY	F AA R S IH K AH L IY
FAREWELL	F EH R W EH L
FAREWELLED	F AE ER W EH L D
FAREWELLING	F AE ER W EH L IH NG
FAREWELLS	F EH R W EH L Z
FARFALLE	F AA R F AH L
FARFALLES	F AA R F AH L Z
FASCISTICALLY	F AE SH AH S T IH K AH L IY
FASTBALL	F AE S T B AO L
FASTBALLER	F AE S T B AO L ER
FASTBALLERS	F AE S T B AO L ER Z
FASTBALLS	F AE S T B AO L Z
FATALISTICALLY	F EY T AH L IH S T IH K AH L IY
FATALLY	F EY T AH L IY
FATEFULLY	F EY T F AH L IY
FAUNALLY	F AH N AE L IY
FAUNISTICALLY	F AH N IH S T AH K AE L IY
FAVELLA	F AH V EH L AH
FAVELLAS	F AH V EH L AH Z
FEARFULLER	F IH ER F AH L ER
FEARFULLEST	F IH ER F AH L AH S T
FEARFULLY	F IH ER F AH L IY
FEDERALLY	F EH D ER AH L IY
FEDERALLY(2)	F EH D R AH L IY
FELL	F EH L
FELLA	F EH L AH
FELLABLE	F EH L AH B AH L
FELLAH	F EH L AH
FELLAHEEN	F EH L AE HH IY AH N
FELLAHIN	F EH L AH HH AH N
FELLAHS	F EH L AH Z
FELLAS	F EH L AH S
FELLATE	F EH L AH T
FELLATED	F EH L EY T IH D
FELLATES	F EH L AH T S
FELLATING	F EH L EY T IH NG
FELLATIO	F AH L EY SH IY OW
FELLATION	F EH L EY SH AH N
FELLATIONS	F EH L EY SH AH N Z
FELLATIOS	F EH L EY T IY AH Z
FELLATOR	F EH L AH T ER
FELLATORS	F EH L AH T ER Z
FELLED	F EH L D
FELLER	F EH L ER
FELLERS	F EH L ER Z
FELLEST	F EH L AH S T
FELLIES	F EH L IY Z
FELLING	F EH L IH NG
FELLMONGER	F EH L M AH NG G ER
FELLMONGERED	F EH L M AH NG G ER D
FELLMONGERIES	F EH L M AH NG G ER IY Z
FELLMONGERING	F EH L M AH NG G ER IH NG
FELLMONGERINGS	F EH L M AH NG G ER IH NG Z
FELLMONGERS	F EH L M AH NG G ER Z
FELLMONGERY	F EH L M AH NG G ER IY
FELLNESS	F EH L N AH S
FELLNESSES	F EH L N AH S IH Z
FELLOE	F EH L OW
FELLOES	F EH L OW Z
FELLOW	F EH L OW
FELLOWED	F EH L OW D
FELLOWING	F EH L OW IH NG
FELLOWLY	F EH L OW L IY
FELLOWMAN	F EH L OW M AE N
FELLOWMEN	F EH L OW M EH N
FELLOWS	F EH L OW Z
FELLOWSHIP	F EH L OW SH IH P
FELLOWSHIPED	F EH L OW SH IH P T
FELLOWSHIPING	F EH L OW SH IH P IH NG
FELLOWSHIPPED	F EH L OW SH IH P T
FELLOWSHIPPING	F EH L OW SH IH P IH NG
FELLOWSHIPS	F EH L OW SH IH P S
FELLS	F EH L Z
FELLY	F EH L IY
FERRELLED	F EH R AH L D
FERRELLING	F EH R EH L AH NG
FERRIMAGNETICALLY	F EH R AH M AE G N EH T AH K AE L IY
FESTALLY	F EH S T AH L IY
FETISHISTICALLY	F EH T IH SH IH S T IH K AH L IY
FEUDALLY	F Y UW D AH L IY
FEUILLETON	F Y UW IH L AH T AH N
FEUILLETONISM	F Y UW IH L AH T AH N IH Z AH M
FEUILLETONISMS	F Y UW AH L EH T AH N AH Z AH M Z
FEUILLETONIST	F Y UW IH L EH T AH N AH S T
FEUILLETONISTS	F Y UW AH L EH T AH N AH S T S
FEUILLETONS	F Y UW IH L AH T AH N Z
FIBERFILL	F AY B ER F IH L
FIBERFILLS	F AY B ER F IH L Z
FIBREFILL	F IH B R AH F AH L
FIBREFILLS	F IH B R AH F AH L Z
FIBRILLA	F IH B R IH L AH
FIBRILLAE	F IH B R IH L IY
FIBRILLAR	F IH B R IH L AH R
FIBRILLATE	F IH B R AH L EY T
FIBRILLATED	F IH B R AH L EY T AH D
FIBRILLATES	F IH B R AH L EY T S
FIBRILLATING	F IH B R AH L EY T AH NG
FIBRILLATION	F IH B R IH L EY SH AH N
FIBRILLATIONS	F IH B R AH L EY T IY AH N Z
FICTIONALLY	F IH K SH AH N AH L IY
FIDUCIALLY	F IH D Y UW S IY AE L IY
FILIALLY	F IH L IY AH L IY
FILL	F IH L
FILLE	F IH L
FILLED	F IH L D
FILLER	F IH L ER
FILLERS	F IH L ER Z
FILLES	F IH L Z
FILLET	F AH L EY
FILLETED	F IH L AH T IH D
FILLETED(2)	F AH L EY D
FILLETING	F IH L IY T AH NG
FILLETS	F IH L IH T S
FILLIES	F IH L IY Z
FILLING	F IH L IH NG
FILLINGS	F IH L IH NG Z
FILLIP	F IH L AH P
FILLIPED	F IH L AH P T
FILLIPING	F IH L AH P IH NG
FILLIPS	F IH L AH P S
FILLO	F IH L OW
FILLOS	F IH L AA S
FILLS	F IH L Z
FILLY	F IH L IY
FILMICALLY	F IH L M IH K AH L IY
FINALLY	F AY N AH L IY
FINANCIALLY	F AH N AE N SH AH L IY
FINANCIALLY(2)	F IH N AE N SH AH L IY
FINANCIALLY(3)	F AY N AE N SH AH L IY
FINICALLY	F AY N IH K AH L IY
FIREBALL	F AY ER B AO L
FIREBALL(2)	F AY R B AO L
FIREBALLER	F AY ER B AO L ER
FIREBALLERS	F AY ER B AO L ER Z
FIREBALLING	F AY ER B AO L IH NG
FIREBALLS	F AY ER B AO L Z
FIREBALLS(2)	F AY R B AO L Z
FIREHALL	F AY ER HH AO L
FIREHALLS	F AY ER HH AO L Z
FIREWALL	F AY R W AA L
FIREWALLED	F AY ER W AO L D
FIREWALLING	F AY ER W AO L IH NG
FIREWALLS	F AY ER W AO L Z
FISCALLY	F IH S K AH L IY
FITFULLY	F IH T F AH L IY
FLABELLA	F L AH B EH L AH
FLABELLATE	F L AE B AH L EY T
FLABELLIFORM	F L AH B EH L AH F AH R M
FLABELLUM	F L AH B EH L AH M
FLAGELLA	F L AH JH EH L AH
FLAGELLANT	F L AE JH AH L AH N T
FLAGELLANTISM	F L AE JH AH L AH N T IH Z AH M
FLAGELLANTISMS	F L AE JH AH L AH N T IH Z AH M Z
FLAGELLANTS	F L AE JH AH L AH N T S
FLAGELLAR	F L AE JH AH L ER
FLAGELLATE	F L AE JH AH L EY T
FLAGELLATED	F L AE JH AH L EY T AH D
FLAGELLATES	F L AE JH AH L AH T S
FLAGELLATING	F L AE JH AH L EY T IH NG
FLAGELLATION	F L AE JH AH L EY SH AH N
FLAGELLATIONS	F L AE JH AH L EY SH AH N Z
FLAGELLIN	F L AH JH EH L AH N
FLAGELLINS	F L AH JH EH L AH N Z
FLAGELLUM	F L AH JH EH L AH M
FLAGELLUMS	F L AH JH EH L AH M Z
FLANNELLED	F L AE N AH L D
FLANNELLING	F L AE N AH L IH NG
FLANNELLY	F L AE N AH L IY
FLAVORFULLY	F L EY V ER F AH L IY
FLEXOGRAPHICALLY	F L EH K S AA G R AE F AH K AE L IY
FLORALLY	F L AO R AH L IY
FLORISTICALLY	F L OW R IH S T IH K AH L IY
FLOTILLA	F L OW T IH L AH
FLOTILLAS	F L OW T IH L AH Z
FLUIDALLY	F L UW AH D AH L IY
FLUOROSCOPICALLY	F L UW ER AA S K OW P IH K AH L IY
FOCALLY	F OW K AH L IY
FOLLES	F AA L Z
FOLLICLE	F AA L AH K AH L
FOLLICLE(2)	F AA L IH K AH L
FOLLICLES	F AA L IH K AH L Z
FOLLICULAR	F AH L IH K Y AH L ER
FOLLICULITIS	F AA L IH S AH L AY T AH S
FOLLICULITISES	F AA L AH K Y UW L AH T AY Z AH Z
FOLLIES	F AA L IY Z
FOLLIS	F AA L IH S
FOLLOW	F AA L OW
FOLLOWED	F AA L OW D
FOLLOWER	F AA L OW ER
FOLLOWERS	F AA L OW ER Z
FOLLOWERSHIP	F AA L OW ER SH IH P
FOLLOWERSHIPS	F AA L OW ER SH IH P S
FOLLOWING	F AA L OW IH NG
FOLLOWINGS	F AA L OW IH NG Z
FOLLOWS	F AA L OW Z
FOLLOWUP	F AA L OW AH P
FOLLOWUPS	F AA L OW AH P S
FOLLY	F AA L IY
FONTANELLE	F AA N T AH N AH L
FONTANELLES	F AA N T AH N AH L Z
FOOTBALL	F UH T B AO L
FOOTBALLER	F UH T B AO L ER
FOOTBALLERS	F UH T B AO L ER Z
FOOTBALLS	F UH T B AO L Z
FOOTFALL	F UH T F AO L
FOOTFALLS	F UH T F AO L Z
FOOTHILL	F UH T HH IH L
FOOTHILLS	F UH T HH IH L Z
FOOTWALL	F UH T W AO L
FOOTWALLS	F UH T W AO L Z
FORCEFULLY	F AO R S F AH L IY
FORENSICALLY	F ER EH N S IH K L IY
FORENSICALLY(2)	F ER EH N S IH K AH L IY
FORESTALL	F AO R S T AO L
FORESTALLED	F AO R S T AA L D
FORESTALLER	F AO R AH S T AH L ER
FORESTALLERS	F AO R AH S T AH L ER Z
FORESTALLING	F AO R S T AA L IH NG
FORESTALLMENT	F OW R S T AO L M AH N T
FORESTALLMENTS	F OW R S T AO L M AH N T S
FORESTALLS	F AO R S T AO L Z
FORETELL	F AO R T EH L
FORETELLER	F OW R T EH L ER
FORETELLERS	F OW R T EH L ER Z
FORETELLING	F AO R T EH L IH NG
FORETELLS	F OW R T EH L Z
FORETHOUGHTFULLY	F OW R TH AO T F AH L IY
FORGETFULLY	F AO R G EH T F AH L IY
FORKBALL	F AO R K B AO L
FORKBALLS	F AO R K B AO L Z
FORMALLY	F AO R M AH L IY
FORMULAICALLY	F AO R M Y AH L EY IH K AH L IY
FORTUNETELLER	F AO R CH AH N T EH L ER
FORTUNETELLERS	F AO R CH AH N T EH L ER Z
FORTUNETELLING	F AO R CH AH N T EH L IH NG
FORTUNETELLINGS	F AO R CH AH N T EH L IH NG Z
FOULLY	F AW L IY
FOUNDATIONALLY	F AW N D EY SH AH N AH L IY
FRACTIONALLY	F R AE K SH AH N AH L IY
FRACTIONALLY(2)	F R AE K SH N AH L IY
FRAGMENTALLY	F R AE G M AH N T AH L IY
FRAILLY	F R EY L IY
FRANTICALLY	F R AE N T AH K AH L IY
FRANTICALLY(2)	F R AE N T AH K L IY
FRANTICALLY(3)	F R AE N AH K AH L IY
FRANTICALLY(4)	F R AE N AH K L IY
FRATERNALLY	F R AH T AH R N AE L IY
FRAXINELLA	F R AE K S AH N EH L AH
FRAXINELLAS	F R AE K S AH N EH L AH Z
FREEWILL	F R IY W IH L
FRENETICALLY	F R IH N EH T IH K AH L IY
FRETFULLY	F R EH T F AH L IY
FRICTIONALLY	F R IH K SH AH N AH L IY
FRIGHTFULLY	F R AY T F AH L IY
FRILL	F R IH L
FRILLED	F R IH L D
FRILLER	F R IH L ER
FRILLERS	F R IH L ER Z
FRILLIER	F R IH L IY ER
FRILLIEST	F R IH L IY AH S T
FRILLING	F R IH L IH NG
FRILLINGS	F R IH L IH NG Z
FRILLS	F R IH L Z
FRILLY	F R IH L IY
FRITILLARIA	F R IH T AH L AE R IY AH
FRITILLARIAS	F R IH T AH L AE R IY AH Z
FRITILLARIES	F R AH T IH L AH R AY Z
FRITILLARY	F R IH T AH L EH R IY
FRIVOLLED	F R IH V AH L D
FRIVOLLER	F R IH V AH L ER
FRIVOLLERS	F R IH V AH L ER Z
FRIVOLLING	F R IH V AH L IH NG
FRONTALLY	F R AH N T AH L IY
FRUGALLY	F R UW G AH L IY
FRUITFULLER	F R UW T F AH L ER
FRUITFULLEST	F R UW T F AH L AH S T
FRUITFULLY	F R UW T F AH L IY
FUELLED	F Y UW AH L D
FUELLER	F Y UW AH L ER
FUELLERS	F Y UW AH L ER Z
FUELLING	F Y UW L IH NG
FUGALLY	F Y UW G AE L IY
FULFILL	F UH L F IH L
FULFILLED	F UH L F IH L D
FULFILLER	F UH L F IH L ER
FULFILLERS	F UH L F IH L ER Z
FULFILLING	F UH L F IH L IH NG
FULFILLMENT	F UH L F IH L M AH N T
FULFILLMENTS	F UH L F IH L M AH N T S
FULFILLS	F UH L F IH L Z
FULL	F UH L
FULLAM	F UH L AH M
FULLAMS	F UH L AH M Z
FULLBACK	F UH L B AE K
FULLBACKS	F UH L B AE K S
FULLED	F UH L D
FULLER	F UH L ER
FULLERED	F UH L ER D
FULLERENE	F UH L AH R IY N
FULLERENES	F UH L AH R IY N Z
FULLERIES	F UH L AH R IY Z
FULLERING	F UH L ER IH NG
FULLERS	F UH L ER Z
FULLERY	F UH L AH R IY
FULLEST	F UH L AH S T
FULLFACE	F UH L F EY S
FULLFACES	F UH L F EY S IH Z
FULLING	F UH L IH NG
FULLMOUTHED	F UH L M AW TH T
FULLNESS	F UH L N AH S
FULLNESSES	F UH L N AH S IH Z
FULLS	F UH L Z
FULLY	F UH L IY
FUNCTIONALLY	F AH NG K SH AH N AH L IY
FUNCTIONALLY(2)	F AH NG K SH N AH L IY
FUNDAMENTALLY	F AH N D AH M EH N T AH L IY
FUNDAMENTALLY(2)	F AH N D AH M EH N AH L IY
FUNEREALLY	F Y UW N AH R IY L IY
FUNGICIDALLY	F AH N JH AH S AY D AH L IY
FUNNELLED	F AH N AH L D
FUNNELLING	F AH N AH L IH NG
FUSILLADE	F Y UW S IH L EY D
FUSILLADES	F Y UW Z AH L EY D Z
FUSILLI	F Y UW S IH L IY
FUSILLIS	F Y UW Z AH L IY Z
FUTURISTICALLY	F Y UW CH ER IH S T IH K AH L IY
GABELLE	G AE B AH L
GABELLED	G AE B AH L D
GABELLES	G AE B AH L Z
GADWALL	G AE D W AO L
GADWALLS	G AE D W AO L Z
GAILLARDIA	G EY L AA R D IY AH
GAILLARDIAS	G EY L AA R D IY AH Z
GAINFULLY	G EY N F AH L IY
GALL	G AO L
GALLAMINE	G AO L AH M AY N
GALLAMINES	G AO L AH M AY N Z
GALLANT	G AE L AH N T
GALLANTED	G AE L AH N T IH D
GALLANTING	G AE L AH N T IH NG
GALLANTLY	G AE L AH N T L IY
GALLANTRIES	G AE L AH N T R IY Z
GALLANTRY	G AE L AH N T R IY
GALLANTS	G AE L AH N T S
GALLATE	G AO L AH T
GALLATES	G AO L AH T S
GALLBLADDER	G AO L B L AE D ER
GALLBLADDERS	G AO L B L AE D ER Z
GALLEASS	G AE L IY S
GALLEASSES	G AE L IY S AH Z
GALLED	G AO L D
GALLEIN	G AE L IY N
GALLEINS	G AE L IY N Z
GALLEON	G AE L IY AH N
GALLEONS	G AE L IY AH N Z
GALLERIA	G AE L ER IY AH
GALLERIAS	G AE L IY R IY AH Z
GALLERIED	G AE L AH R IY D
GALLERIES	G AE L ER IY Z
GALLERY	G AE L ER IY
GALLERYGOER	G AE L AH R IY G OW ER
GALLERYGOERS	G AE L AH R IY G OW ER Z
GALLERYING	G AE L AH R IY IH NG
GALLERYITE	G AE L EH R AY AY T
GALLERYITES	G AE L EH R AY AY T S
GALLET	G AE L IH T
GALLETA	G AE L AH T AH
GALLETAS	G AE L AH T AH Z
GALLETED	G AE L AH T IH D
GALLETING	G AE L AH T IH NG
GALLETS	G AE L AH T S
GALLEY	G AE L IY
