CI	S IY
GALLICISM	G AO L IH K S IH Z AH M
GALLICISMS	G AO L IH K S IH Z AH M Z
GALLICIZATION	G AO L IH K S AH Z EY SH AH N
GALLICIZATIONS	G AO L IH K S AH Z EY SH AH N Z
GALLICIZE	G AO L IH K S AY Z
GALLICIZED	G AO L IH K S AY Z D
GALLICIZES	G AO L IH K S AY Z IH Z
GALLICIZING	G AO L IH K S AY Z IH NG
GENETICIST	JH AH N EH T AH S AH S T
GENETICISTS	JH AH N EH T AH S IH S T S
GENOCIDAL	JH EH N AH S AY D AH L
GENOCIDE	JH EH N AH S AY D
GENOCIDES	JH EH N AH S AY D Z
GENTAMICIN	JH EH N T AE M AH S AH N
GENTAMICINS	JH EH N T AE M AH S AH N Z
GEOMANCIES	JH IY AH M AE N S AY Z
GEOMETRICIAN	JH IY AH M EH T R IH S IY AH N
GEOMETRICIANS	JH IY AH M AH T R IH S IY AH N Z
GEOPHYSICIST	JH IY AA F AH Z IH S AH S T
GEOPHYSICISTS	JH IY AH F IH S AH S AH S T S
GEOPOLITICIAN	JH IY AH P AA L AH T IH S IY AH N
GEOPOLITICIANS	JH IY AA P AH L AH T IH S IY AH N Z
GEOSCIENCE	JH IY AH SH AH N S
GEOSCIENCES	JH IY AH SH AH N S AH Z
GEOSCIENTIST	JH IY AH S IY N T AH S T
GEOSCIENTISTS	JH IY AH S IY N T AH S T S
GERIATRICIAN	JH EH R IY AH T R IH SH AH N
GERIATRICIANS	JH EH R IY AH T R IH SH AH N Z
GERMICIDAL	JH ER M IH K S AH D AH L
GERMICIDE	JH ER M AH S AY D
GERMICIDES	JH AH R M AH S AY D Z
GERONTOCRACIES	JH AH R AA N T AA K R AH S IY Z
GLACIAL	G L EY SH AH L
GLACIALLY	G L EY SH AH L IY
GLACIATE	G L EY SH IY EY T
GLACIATE(2)	G L EY S IY EY T
GLACIATED	G L EY SH IY EY T AH D
GLACIATED(2)	G L EY S IY EY T AH D
GLACIATES	G L AE S AY EY T S
GLACIATING	G L AE S AY EY T AH NG
GLACIATION	G L EY SH IY EY SH AH N
GLACIATIONS	G L EY S IY EY T IY AH N Z
GLACIER	G L EY SH ER
GLACIERS	G L EY SH ER Z
GLACIOLOGICAL	G L EY S IY AA L AH JH IH S AH L
GLACIOLOGIES	G L EY S IY AA L AH JH AY Z
GLACIOLOGIST	G L EY S IY AA L AH JH AH S T
GLACIOLOGISTS	G L EY S IY AA L AH JH AH S T S
GLACIOLOGY	G L EY S IY AA L AH JH IY
GLACIS	G L EY S AH S
GLACISES	G L AH S AY Z AH Z
GLANCING	G L AE N S IH NG
GLANCINGLY	G L AE N S IH NG L IY
GLUCINIC	G L UW S AH N AH K
GLUCINUM	G L UW S AH N AH M
GLUCINUMS	G L UW S AH N AH M Z
GLYCIN	G L IH S AH N
GLYCINE	G L AY S IY N
GLYCINE(2)	G L AY S AH N
GLYCINES	G L AH S AY N Z
GLYCINS	G L IH S AH N Z
GNOSTICISM	N AA S T IH S IH Z AH M
GNOSTICISMS	N AA S T AH S AH Z AH M Z
GOITROGENICITIES	G OY T R AH JH AH N IH S AH T AY Z
GOITROGENICITY	G OY T R AA JH AH N IH S AH T IY
GONOCOCCI	G AA N AH K AA K S IY
GOTHICIZE	G OW TH IH K S AY Z
GOTHICIZED	G OW TH IH K S AY Z D
GOTHICIZES	G OW TH IH K S AY Z IH Z
GOTHICIZING	G OW TH IH K S AY Z IH NG
GRACILE	G R AE S AH L
GRACILENESS	G R AH S AY L N AH S
GRACILENESSES	G R AH S IH L AH N EH S AH Z
GRACILES	G R EY S AH L Z
GRACILIS	G R EY S IY L IY Z
GRACILITIES	G R AH S IH L AH T AY Z
GRACILITY	G R EY S IH L AH T IY
GRACING	G R EY S IH NG
GRACIOSO	G R EY S IY AH S OW
GRACIOSOS	G R EY S IY AH S AH Z
GRACIOUS	G R EY SH AH S
GRACIOUSLY	G R EY SH AH S L IY
GRACIOUSNESS	G R EY SH AH S N AH S
GRACIOUSNESSES	G R EY SH AH S N AH S IH Z
GRAECIZE	G R IY S AY Z
GRAECIZED	G R IY S AY Z D
GRAECIZES	G R IY S AY Z AH Z
GRAECIZING	G R IY S AY Z AH NG
GRAMERCIES	G R AH M AH R S AY Z
GRAMICIDIN	G R AE M IH K S AH D IH N
GRAMICIDINS	G R AE M IH K S AH D IH N Z
GRECIANIZE	G R IY SH AH N AY Z
GRECIANIZED	G R IY SH AH N AY Z D
GRECIANIZES	G R IY SH AH N AY Z IH Z
GRECIANIZING	G R IY SH AH N AY Z IH NG
GRECIZE	G R IY S AY Z
GRECIZED	G R IY S AY Z D
GRECIZES	G R IY S AY Z AH Z
GRECIZING	G R IY S AY Z AH NG
GRIMACING	G R IH M AH S IH NG
GYNAECIA	JH AH N IY SH IY AH
GYNAECIUM	JH AH N IY S IY AH M
GYNECIA	JH AH N IY SH IY AH
GYNECIC	JH IH N AH S AH K
GYNECIUM	JH AH N IY S IY AH M
GYNECOCRACIES	JH IH N AH K AA K R AH S IY Z
GYNOECIA	JH IH N OW EH SH IY AH
GYNOECIUM	JH IH N OW EH S IY AH M
GYROFREQUENCIES	JH AY R OW F R IY K W AH N S IY Z
HACIENDA	HH AE S IY EH N D AH
HACIENDADO	HH EY S IY N D AH D OW
HACIENDADOS	HH EY S IY N D AH D AH Z
HACIENDAS	HH EY S IY N D AH Z
HALLUCINATE	HH AH L UW S AH N EY T
HALLUCINATED	HH AH L UW S AH N EY T IH D
HALLUCINATES	HH AH L UW S AH N EY T S
HALLUCINATING	HH AH L UW S AH N EY T IH NG
HALLUCINATING(2)	HH AH L UW S IH N EY T IH NG
HALLUCINATION	HH AH L UW S AH N EY SH AH N
HALLUCINATIONS	HH AH L UW S AH N EY SH AH N Z
HALLUCINATOR	HH AH L UW S AH N AH T ER
HALLUCINATORS	HH AH L UW S AH N AH T ER Z
HALLUCINATORY	HH AH L UW S AH N AH T AO R IY
HALLUCINOGEN	HH AE L AH S IH N AH JH AH N
HALLUCINOGENIC	HH AH L UW S AH N AH JH EH N IH K
HALLUCINOGENICS	HH AE L AH S AH N AA JH AH N AH S Z
HALLUCINOGENS	HH AE L AH S IH N AH JH AH N Z
HALLUCINOSES	HH AE L UW S AH N OW Z AH Z
HALLUCINOSIS	HH AE L UW S AH N OW S AH S
HARMONICIST	HH AA R M AA N IH K IH S T
HARMONICISTS	HH AA R M AA N IH K IH S T S
HELICITIES	HH AH L IH S AH T AY Z
HELICITY	HH IY L IH S AH T IY
HELLACIOUS	HH EH L EY SH AH S
HELLACIOUSLY	HH EH L EY SH AH S L IY
HEPATOTOXICITIES	HH AH P AE T AH T AA K S IH S AH T AY Z
HEPATOTOXICITY	HH AH P AE T AH T AA K S IH S AH T IY
HERBICIDAL	ER B IH K S AH D AH L
HERBICIDALLY	ER B IH K S AH D AH L IY
HERBICIDE	HH ER B IH S AY D
HERBICIDE(2)	ER B IH S AY D
HERBICIDES	ER B AH S AY D Z
HERBICIDES(2)	HH ER B AH S AY D Z
HERMETICISM	HH ER M EH T IH K IH Z AH M
HERMETICISMS	HH ER M EH T IH K IH Z AH M Z
HESITANCIES	HH EH Z AH T AH N S IY Z
HETEROECIOUS	HH EH T AH R OW AH SH AH S
HETEROECISM	HH AH T EH R OW AH S IH Z AH M
HETEROECISMS	HH EH T AH R OW AH S AH Z AH M Z
HEXADECIMAL	HH EH K S AH D EH S AH M AH L
HEXADECIMALS	HH EH K S AH D EH S AH M AH L Z
HEXYLRESORCINOL	HH EH K S IH L R AH S AO R S AH N AH L
HEXYLRESORCINOLS	HH EH K S IH L R AH S AO R S AH N AH L Z
HIRCINE	HH AH R S AY N
HISTORICISM	HH IH S T AO R AH S IH Z AH M
HISTORICISMS	HH IH S T AO R AH S IH Z AH M Z
HISTORICIST	HH IH S T AO R IH K IH S T
HISTORICISTS	HH IH S T AO R IH K IH S T S
HISTORICITIES	HH IH S T AH R IH S AH T IY Z
HISTORICITY	HH IH S T AH R IH S AH T IY
HISTORICIZE	HH IH S T AO R IH K AY Z
HISTORICIZED	HH IH S T AO R IH K AY Z D
HISTORICIZES	HH IH S T AO R IH K AY Z IH Z
HISTORICIZING	HH IH S T AO R IH K AY Z IH NG
HOMICIDAL	HH AA M AH S AY D AH L
HOMICIDALLY	HH AA M AH S AY D AH L IY
HOMICIDE	HH AA M AH S AY D
HOMICIDES	HH AA M AH S AY D Z
HOMOEROTICISM	HH OW M OW IH R AA T IH K IH Z AH M
HOMOEROTICISMS	HH OW M OW IH R AA T IH K IH Z AH M Z
HOMOSCEDASTICITIES	HH AH M AA S AH D AE S T IH S AH T AY Z
HOMOSCEDASTICITY	HH AH M AA S AH D AE S T IH S AH T IY
HOMOSOCIAL	HH OW M OW S OW SH AH L
HOMOSOCIALITIES	HH OW M OW S OW SH IY AE L AH T IY Z
HOMOSOCIALITY	HH OW M OW S OW SH IY AE L AH T IY
HYACINTH	HH AY AH S IH N TH
HYACINTHINE	HH AY AE S AH N TH AY N
HYACINTHS	HH AY AH S IH N TH S
HYDRACID	HH IH D R AH S AH D
HYDRACIDS	HH IH D R AH S AH D Z
HYDRODYNAMICIST	HH IH D R AH D IH N AH M IH S AH S T
HYDRODYNAMICISTS	HH IH D R AH D AH N AE M AH S AH S T S
HYDROELECTRICITIES	HH IH D R OW AH L EH K T R IH S AH T AY Z
HYDROELECTRICITY	HH IH D R OW AH L EH K T R IH S AH T IY
HYDROMANCIES	HH IH D R AH M AE N S AY Z
HYDROPHILICITIES	HH AY D R AH F IH L IH K AH T IY Z
HYDROPHILICITY	HH AY D R AH F IH L IH K AH T IY
HYDROPHOBICITIES	HH AY D R AH F OW B IH K AH T IY Z
HYDROPHOBICITY	HH AY D R AH F OW B IH K AH T IY
HYGROSCOPICITIES	HH IH G R AA S AH P IH S AH T AY Z
HYGROSCOPICITY	HH IH G R AA S AH P IH S AH T IY
HYOSCINE	HH AY AH S AY N
HYOSCINES	HH AY AH S AY N Z
HYPERACID	HH AY P ER AE S AH D
HYPERACIDITIES	HH AY P ER AH S IH D AH T IY Z
HYPERACIDITY	HH AY P ER AH S IH D AH T IY
HYPERCIVILIZED	HH AY P ER S IH V AH L AY Z D
HYPERCONSCIOUS	HH AY P ER K AA N SH AH S
HYPERCONSCIOUSNESS	HH AY P ER K AA N SH AH S N AH S
HYPERCONSCIOUSNESSES	HH AY P ER K AA N SH AH S N AH S IH Z
HYPERCRITICISM	HH AY P ER K R IH T AH S IH Z AH M
HYPERCRITICISMS	HH AY P ER K R IH T AH S IH Z AH M Z
HYPEREFFICIENT	HH AY P ER IH F IH SH AH N T
HYPEREXCITABILITIES	HH AY P ER IH K S AY T AH B IH L AH T EH Z
HYPEREXCITABILITY	HH AY P ER IH K S AY T AH B IH L AH T EH
HYPEREXCITABLE	HH AY P ER IH K S AY T AH B AH L
HYPEREXCITED	HH AY P ER IH K S AY T IH D
HYPEREXCITEMENT	HH AY P ER IH K S AY T M AH N T
HYPEREXCITEMENTS	HH AY P ER IH K S AY T M AH N T S
HYPERTONICITIES	HH AY P ER T AA N IH K AH T IY Z
HYPERTONICITY	HH AY P ER T AA N IH K AH T IY
HYPERVELOCITIES	HH AY P ER V AH L AA S AH T IY Z
HYPERVELOCITY	HH AY P ER V AH L AA S AH T IY
HYPOACID	HH AH P OW S AH D
HYPOTONICITIES	HH IH P AH T AH N IH S AH T AY Z
HYPOTONICITY	HH AH P AA T AH N IH S AH T IY
ICICLE	AY S IH K AH L
ICICLED	AY S IH K AH L D
ICICLES	AY S IH K AH L Z
ICIER	AY S IY ER
ICIEST	AY S IY AH S T
ICILY	AY S IH L IY
ICINESS	AY S IY N AH S
ICINESSES	AY S IY N AH S IH Z
ICING	AY S IH NG
ICINGS	AY S IH NG Z
ICONICITIES	IH K AH N IH S AH T AY Z
ICONICITY	IH K AH N IH S AH T IY
IDIOCIES	IH D IY AH S IY Z
ILLEGITIMACIES	IH L IH JH IH T AH M AH S IY Z
ILLICIT	IH L IH S AH T
ILLICITLY	IH L IH S IH T L IY
ILLICITNESS	IH L AH S IH T N AH S
ILLICITNESSES	IH L AH S IH T N EH S AH Z
ILLITERACIES	IH L IH T ER AH S IY Z
IMBECILE	IH M B AH S AH L
IMBECILE(2)	IH M B AH S AY L
IMBECILES	IH M B AH S AH L Z
IMBECILES(2)	IH M B AH S AY L Z
IMBECILIC	IH M B AH S AH L IH K
IMBECILITIES	IH M B AH S AH L AH T IY Z
IMBECILITY	IH M B AH S AH L AH T IY
IMMACULACIES	IH M AE K Y UW L AH S AY Z
IMMANENCIES	IH M AH N AH N S IY Z
IMMEDIACIES	IH M IY D IY AH S IY Z
IMMINENCIES	IH M AH N AH N S IY Z
IMMISCIBILITIES	IH M AH S AH B IH L AH T AY Z
IMMISCIBILITY	IH M IH S AH B IH L AH T IY
IMMISCIBLE	IH M IH S AH B AH L
IMMODERACIES	IH M OW D ER AH S IY Z
IMMUNODEFICIENCIES	IH M Y AH N AH D AH F AH S IY N S AY Z
IMMUNODEFICIENCY	IH M Y UW N OW D IH F IH SH AH N S IY
IMMUNODEFICIENT	IH M Y AH N AA D AH F IH S IY AH N T
IMMUNOGENETICIST	IH M Y AH N AH JH EH N AH T IH S AH S T
IMMUNOGENETICISTS	IH M Y UW N AH JH AH N EH T AH S AH S T S
IMMUNOGENICITIES	IH M Y UW N AH JH AH N IH S AH T AY Z
IMMUNOGENICITY	IH M Y AH N AA JH AH N IH S AH T IY
IMMUNOPRECIPITATE	IH M Y UW N AH P R AH S IH P AH T EY T
IMMUNOPRECIPITATED	IH M Y UW N AH P R AH S IH P AH T EY T AH D
IMMUNOPRECIPITATES	IH M Y UW N AH P R AH S IH P AH T EY T S
IMMUNOPRECIPITATING	IH M Y UW N AH P R AH S IH P AH T EY T AH NG
IMMUNOPRECIPITATION	IH M Y UW N AH P R AH S IH P AH T EY SH AH N
IMMUNOPRECIPITATIONS	IH M Y UW N AH P R EH S AH P AH T EY T IY AH N Z
IMPERCIPIENCE	IH M P AH R S IH P IY AH N S
IMPERCIPIENCES	IH M P AH R S IH P IY EH N S AH Z
IMPERCIPIENT	IH M P AH R S IH P IY AH N T
IMPERMANENCIES	IH M P ER M AH N AH N S IY Z
IMPERTINENCIES	IH M P ER T AH N AH N S IY Z
IMPLICIT	IH M P L IH S AH T
IMPLICITLY	IH M P L IH S AH T L IY
IMPLICITNESS	IH M P L IH S AH T N AH S
IMPLICITNESSES	IH M P L IH S AH T N AH S IH Z
IMPOLICIES	IH M P AA L AH S IY Z
IMPORTANCIES	IH M P OW R T AH N S IY Z
IMPOTENCIES	IH M P AH T AH N S IY Z
IMPRECISE	IH M P R AH S AY S
IMPRECISELY	IH M P R IH S AY S L IY
IMPRECISENESS	IH M P R IH S AY S N AH S
IMPRECISENESSES	IH M P R IH S AY S N AH S IH Z
IMPRECISION	IH M P R IH S AY ZH AH N
IMPRECISIONS	IH M P R IH S AY ZH AH N Z
IMPUDICITIES	IH M P Y AH D IH K SH AH T IY Z
IMPUDICITY	IH M P Y AH D IH K S AH T IY
INACCURACIES	IH N AE K Y ER AE S IY Z
INADEQUACIES	IH N AE D AH K W AH S IY Z
INADVERTENCIES	IH N AE D V ER T AH N S IY Z
INAPPRECIABLE	IH N AH P R IY SH AH B AH L
INAPPRECIABLY	IH N AH P R IY SH AH B L IY
INAPPRECIATIVE	IH N AH P R IY SH IY EY T IH V
INAPPRECIATIVELY	IH N AH P R IY SH IY EY T IH V L IY
INAPPRECIATIVENESS	IH N AH P R IY SH IY EY T IH V N AH S
INAPPRECIATIVENESSES	IH N AH P R IY SH IY EY T IH V N AH S IH Z
INARTICULACIES	IH N AA R T IH K Y AH L AH S IY Z
INAUSPICIOUS	IH N AW S P IH SH IH S
INAUSPICIOUSLY	IH N AO S P IH SH AH S L IY
INAUSPICIOUSNESS	IH N AO S P IH SH AH S N AH S
INAUSPICIOUSNESSES	IH N AO S P IH SH AH S N AH S IH Z
INAUTHENTICITIES	IH N AO TH EH N T IH S AH T IY Z
INAUTHENTICITY	IH N AO TH EH N T IH S AH T IY
INCANDESCING	IH N K AH N D EH S IH NG
INCAPACITATE	IH N K AH P AE S IH T EY T
INCAPACITATED	IH N K AH P AE S IH T EY T IH D
INCAPACITATES	IH N K AH P AE S AH T AH T S
INCAPACITATING	IH N K AH P AE S IH T EY T IH NG
INCAPACITATION	IH N K AH P AE S IH T EY SH AH N
INCAPACITATIONS	IH N K AH P AE S AH T EY SH AH N Z
INCAPACITIES	IH N K AH P AE S AH T IY Z
INCAPACITY	IH N K AH P AE S AH T IY
INCESSANCIES	IH N S EH S AH N S IY Z
INCIDENCE	IH N S AH D AH N S
INCIDENCE(2)	IH N S IH D AH N S
INCIDENCES	IH N S AH D AH N S IH Z
INCIDENT	IH N S AH D AH N T
INCIDENTAL	IH N S IH D EH N T AH L
INCIDENTALLY	IH N S IH D EH N T AH L IY
INCIDENTALLY(2)	IH N S IH D EH N T L IY
INCIDENTALS	IH N S IH D EH N T AH L Z
INCIDENTS	IH N S AH D AH N T S
INCINERATE	IH N S IH N ER EY T
INCINERATED	IH N S IH N ER EY T IH D
INCINERATES	IH N S IH N AH R EY T S
INCINERATING	IH N S IH N ER EY T IH NG
INCINERATION	IH N S IH N ER EY SH AH N
INCINERATIONS	IH N S IH N AH R EY SH AH N Z
INCINERATOR	IH N S IH N ER EY T ER
INCINERATORS	IH N S IH N ER EY T ER Z
INCIPIENCE	IH N S IH P IY AH N S
INCIPIENCES	IH N S IH P IY AH N S IH Z
INCIPIENCIES	IH N S IH P IY AH N S IY Z
INCIPIENCY	IH N S IH P IY AH N S IY
INCIPIENT	IH N S IH P IY AH N T
INCIPIENTLY	IH N S IH P IY AH N T L IY
INCIPIT	IH N S IH P AH T
INCIPITS	IH N S IH P AH T S
INCISAL	IH N S AY Z AH L
INCISE	IH N S AY Z
INCISED	IH N S AY Z D
INCISES	IH N S AY Z IH Z
INCISING	IH N S AY Z IH NG
INCISION	IH N S IH ZH AH N
INCISIONS	IH N S IH ZH AH N Z
INCISIVE	IH N S AY S IH V
INCISIVELY	IH N S AY S IH V L IY
INCISIVENESS	IH N S AY S IH V N AH S
INCISIVENESSES	IH N S AY S IH V N AH S IH Z
INCISOR	IH N S AY Z ER
INCISORS	IH N S AY Z ER Z
INCISORY	IH N S AY Z ER IY
INCISURE	IH N S AY ZH ER
INCISURES	IH N S AY ZH ER Z
INCITANT	IH N S AY T AH N T
INCITANTS	IH N S AY T AH N T S
INCITATION	IH N S AY T EY SH AH N
INCITATIONS	IH N S AY T EY SH AH N Z
INCITE	IH N S AY T
INCITED	IH N S AY T IH D
INCITEMENT	IH N S AY T M AH N T
INCITEMENTS	IH N S AY T M AH N T S
INCITER	IH N S AY T ER
INCITERS	IH N S AY T ER Z
INCITES	IH N S AY T S
INCITING	IH N S AY T IH NG
INCIVIL	IH N S IH V AH L
INCIVILITIES	IH N S AH V IH L AH T IY Z
INCIVILITY	IH N S IH V IH L IH T IY
INCLEMENCIES	IH N K L EH M AH N S IY Z
INCOERCIBLE	IH N K OW ER S AH B AH L
INCOMPETENCIES	IH N K AA M P AH T AH N S IY Z
INCONCINNITIES	IH N K AH N S IH N AH T AY Z
INCONCINNITY	IH N K AH N S IH N AH T IY
INCONSCIENT	IH N K AH N S AY AH N T
INCONSISTENCIES	IH NG K AA N S IH S T EH N S IY Z
INCONSTANCIES	IH N K AA N S T AH N S IY Z
INCONTINENCIES	IH N K AA N T AH N AH N S IY Z
INCONVENIENCIES	IH N K AH N V IY N Y AH N S IY Z
INCONVENIENCING	IH N K AH N V IY N Y AH N S IH NG
INCONVINCIBLE	IH N K AH N V IH N S AH B AH L
INCUMBENCIES	IH N K AH M B EH N S AY Z
INDECENCIES	IH N D IY S AH N S IY Z
INDECIPHERABLE	IH N D IY S AY F ER AH B AH L
INDECISION	IH N D IH S IH ZH AH N
INDECISIONS	IH N D IH S IH ZH AH N Z
INDECISIVE	IH N D IH S AY S IH V
INDECISIVELY	IH N D AH S AY S IH V L IY
INDECISIVENESS	IH N D EH S IH S IH V N AH S
INDECISIVENESSES	IH N D AH S AY S IH V N AH S IH Z
INDELICACIES	IH N D EH L IH K AH S IY Z
INDEPENDENCIES	IH N D IH P EH N D AH N S IY Z
INDETERMINACIES	IH N D IY T ER M AH N AH S IY Z
INDICIA	IH N D IH S Y AH
INDICIAS	IH N D IH S IY AH Z
INDICIUM	IH N D IH S IY AH M
INDICIUMS	IH N D IH S IY AH M Z
INDIFFERENCIES	IH N D IH F ER AH N S IY Z
INDISCIPLINABLE	IH N D IH S AH P L AH N AH B AH L
INDISCIPLINE	IH N D IH S AH P L AH N
INDISCIPLINED	IH N D IH S AH P L AH N D
INDISCIPLINES	IH N D IH S AH P L AH N Z
INDISSOCIABLE	IH N D IH S OW SH AH B AH L
INDISSOCIABLY	IH N D IH S OW SH AH B L IY
INDOCILE	IH N D AA S AH L
INDOCILITIES	IH N D AA S AH L AH T IY Z
INDOCILITY	IH N D AA S AH L AH T IY
INDOMETHACIN	IH N D AH M EH TH AH S AH N
INDOMETHACINS	IH N D AH M EH TH AH S AH N Z
INDUCIBILITIES	IH N D UW S AH B IH L AH T IY Z
INDUCIBILITY	IH N D UW S AH B IH L AH T IY
INDUCIBLE	IH N D UW S AH B AH L
INDUCING	IH N D UW S IH NG
INEFFICACIES	IH N EH F IH K AH S IY Z
INEFFICACIOUS	IH N EH F AH K EY SH AH S
INEFFICACIOUSLY	IH N EH F AH K EY SH AH S L IY
INEFFICACIOUSNESS	IH N EH F AH K EY SH AH S N AH S
INEFFICACIOUSNESSES	IH N EH F AH K EY SH AH S N AH S IH Z
INEFFICIENCIES	IH N IH F IH SH AH N S IY Z
INEFFICIENCY	IH N IH F IH SH AH N S IY
INEFFICIENT	IH N IH F IH SH AH N T
INEFFICIENTLY	IH N IH F IH SH AH N T L IY
INEFFICIENTS	IH N IH F IH SH AH N T S
INELASTICITIES	IH N IH L AE S T IH S AH T IY Z
INELASTICITY	IH N IH L AE S T IH S AH T IY
INERRANCIES	IH N EH ER AH N S IY Z
INEXPEDIENCIES	IH N IH K S P IY D IY AH N S IY Z
INEXPLICIT	IH N IH K S P L IH S AH T
INFANCIES	IH N F AH N S IY Z
INFANTICIDAL	IH N F AH N T IH K S AH D AH L
INFANTICIDE	IH N F AE N T AH S AY D
INFANTICIDES	IH N F AE N T AH S AY D Z
INFELICITIES	IH N F IH L IH S AH T IY Z
INFELICITOUS	IH N F IH L IH S AH T AH S
INFELICITOUSLY	IH N F IH L IH S AH T AH S L IY
INFELICITY	IH N F IH L IH S AH T IY
INFLUENCING	IH N F L UW AH N S IH NG
INFOMERCIAL	IH N F OW M ER SH AH L
INFOMERCIALS	IH N F OW M ER SH AH L Z
INFRASPECIFIC	IH N F R AH S P IH S IH F IH K
INFREQUENCIES	IH N F R IY K W AH N S IY Z
INHABITANCIES	IH N HH AE B AH T AH N S IY Z
INJUDICIOUS	IH N JH AH D IH SH AH S
INJUDICIOUSLY	IH N JH UH D IH SH AH S L IY
INJUDICIOUSNESS	IH N JH UH D IH SH AH S N AH S
INJUDICIOUSNESSES	IH N JH UH D IH SH AH S N AH S IH Z
INLACING	IH N L EY S IH NG
INNOCENCIES	IH N AH S AH N S IY Z
INNUMERACIES	IH N UW M ER AH S IY Z
INSECTICIDAL	IH N S EH K T AH S AY D AH L
INSECTICIDALLY	IH N S EH K T AH S AY D AH L IY
INSECTICIDE	IH N S EH K T AH S AY D
INSECTICIDES	IH N S EH K T AH S AY D Z
INSIGNIFICANCIES	IH N S IH G N IH F IH K AH N S IY Z
INSISTENCIES	IH N S IH S T AH N S IY Z
INSOCIABILITIES	IH N S OW SH AH B IH L AH T EH Z
INSOCIABILITY	IH N S OW SH AH B IH L AH T EH
INSOCIABLE	IH N S OW SH AH B AH L
INSOCIABLY	IH N S OW SH AH B L IY
INSOLVENCIES	IH N S AA L V AH N S IY Z
INSOUCIANCE	IH N S UW S IY AH N S
INSOUCIANCE(2)	IH N S UW S Y AH N S
INSOUCIANCES	IH N S UW S IY AH N S IH Z
INSOUCIANT	IH N S UW S Y AH N T
INSOUCIANTLY	IH N S UW S IY AH N T L IY
INSTANCIES	IH N S T AH N S IY Z
INSTANCING	IH N S T AH N S IH NG
INSUFFICIENCIES	IH N S AH F IH SH AH N S IY Z
INSUFFICIENCY	IH N S AH F IH SH AH N S IY
INSUFFICIENT	IH N S AH F IH SH AH N T
INSUFFICIENTLY	IH N S AH F IH SH AH N T L IY
INSURGENCIES	IH N S ER JH AH N S IY Z
INTERASSOCIATION	IH N T ER AH S OW S IY EY SH AH N
INTERASSOCIATIONS	IH N T ER AH S OW S IY EY SH AH N Z
INTERCITY	IH N T ER S IH T IY
INTERCITY(2)	IH N ER S IH T IY
INTERDEPENDENCIES	IH N T ER D IH P EH N D AH N S IY Z
INTERDISCIPLINARY	IH N T ER D IH S AH P L AH N EH R IY
INTERFACIAL	IH N T ER F EY SH AH L
INTERFACING	IH N T ER F EY S IH NG
INTERFACINGS	IH N T ER F EY S IH NG Z
INTERGLACIAL	IH N T ER G L EY SH AH L
INTERGLACIALS	IH N T ER G L EY SH AH L Z
INTERINFLUENCING	IH N T ER IH N F L UW AH N S IH NG
INTERLACING	IH N T ER L EY S IH NG
INTERMEDIACIES	IH N T ER M IY D IY AH S IY Z
INTERMITTENCIES	IH N T ER M IH T AH N S IY Z
INTERNECINE	IH N T ER N AH S IY N
INTERNUNCIAL	IH N T AH R N AH N CH AH L
INTERNUNCIO	IH N T AH R N AH N S IY OW
INTERNUNCIOS	IH N T AH R N AH N S IY AH Z
INTERPROVINCIAL	IH N T ER P R OW V IH N SH AH L
INTERRACIAL	IH N T ER R EY SH AH L
INTERRACIALLY	IH N T ER R EY SH AH L IY
INTERSOCIETAL	IH N T ER S AH S AY AH T AH L
INTERSOCIETY	IH N T ER S AH S AY AH T IY
INTERSPACING	IH N T ER S P EY S IH NG
INTERSPECIES	IH N T ER S P IY SH IY Z
INTERSPECIFIC	IH N T ER S P IH S IH F IH K
INTESTACIES	IH N T EH S T AH S IY Z
INTIMACIES	IH N T AH M AH S IY Z
INTRASPECIES	IH N T R AH S P IY SH IY Z
INTRASPECIFIC	IH N T R AH S P AH S IH F AH K
INTRATHORACIC	IH N T R AH TH AO R AH S AH K
INTRATHORACICALLY	IH N T R AH TH AH R AE S AH K AE L IY
INTRICACIES	IH N T R AH K AH S IY Z
INTRODUCING	IH N T R AH D UW S IH NG
INTRODUCING(2)	IH N T R OW D UW S IH NG
INVETERACIES	IH N V EH T ER AH S IY Z
INVINCIBILITIES	IH N V IH N S AH B IH L AH T AY Z
INVINCIBILITY	IH N V IH N S AH B IH L IH T IY
INVINCIBLE	IH N V IH N S AH B AH L
INVINCIBLENESS	IH N V IH N S AH B AH L N AH S
INVINCIBLENESSES	IH N V IH N S AH B AH L N AH S IH Z
INVINCIBLY	IH N V IH N S AH B AH L IY
INVIOLACIES	IH N V AY AH L AH S IY Z
INVISCID	IH N V IH S AH D
INVOICING	IH N V OY S IH NG
IONICITIES	AY AA N IH K AH T IY Z
IONICITY	AY AA N IH K AH T IY
IOTACISM	AY AH T AH S IH Z AH M
IOTACISMS	AY AA T AH S AH Z AH M Z
IRASCIBILITIES	AH R AE S AH B IH L AH T AY Z
IRASCIBILITY	AH R AE S AH B IH L AH T IY
IRASCIBLE	IH R AE S IH B AH L
IRASCIBLENESS	AH R AE S IH B L N AH S
IRASCIBLENESSES	IH R AH S IH B L AH N EH S AH Z
IRASCIBLY	IH R AE S IH B L IY
IRRECONCILABILITIES	IH R EH K AH N S AY L AH B IH L AH T EH Z
IRRECONCILABILITY	IH R EH K AH N S AY L AH B IH L AH T EH
IRRECONCILABLE	IH R EH K AH N S AY L AH B AH L
