DE	D IY
DEFLATIONARY	D IH F L EY SH AH N EH R IY
DEFLATIONS	D IH F L EY SH AH N Z
DEFLATOR	D IH F L EY T ER
DEFLATORS	D IH F L EY T ER Z
DEFLEA	D IY F L IY
DEFLEAED	D IY F L IY D
DEFLEAING	D IY F L IY IH NG
DEFLEAS	D IY F L IY Z
DEFLECT	D IH F L EH K T
DEFLECTABLE	D IH F L EH K T AH B AH L
DEFLECTED	D IH F L EH K T IH D
DEFLECTING	D IH F L EH K T IH NG
DEFLECTION	D IH F L EH K SH AH N
DEFLECTIONS	D IH F L EH K SH AH N Z
DEFLECTIVE	D IH F L EH K T IH V
DEFLECTOR	D IH F L EH K T ER
DEFLECTORS	D IH F L EH K T ER Z
DEFLECTS	D IH F L EH K T S
DEFLEXED	D IY F L EH K S T
DEFLORATION	D IY F L OW R EY SH AH N
DEFLORATIONS	D IY F L OW R EY SH AH N Z
DEFLOWER	D IY F L AW ER
DEFLOWERED	D IY F L AW ER D
DEFLOWERER	D IY F L AW ER ER
DEFLOWERERS	D IY F L AW ER ER Z
DEFLOWERING	D IY F L AW ER IH NG
DEFLOWERS	D IY F L AW ER Z
DEFOAM	D IY F OW M
DEFOAMED	D IY F OW M D
DEFOAMER	D IY F OW M ER
DEFOAMERS	D IY F OW M ER Z
DEFOAMING	D IY F OW M IH NG
DEFOAMS	D IY F OW M Z
DEFOCUS	D IY F OW K AH S
DEFOCUSED	D IY F OW K AH S T
DEFOCUSES	D IY F OW K AH S IH Z
DEFOCUSING	D IY F OW K AH S IH NG
DEFOCUSSED	D IY F OW K AH S T
DEFOCUSSES	D IY F OW K AH S IH Z
DEFOCUSSING	D IY F OW K AH S IH NG
DEFOG	D IY F AA G
DEFOGGED	D IY F AA G D
DEFOGGER	D IY F AA G ER
DEFOGGERS	D IY F AA G ER Z
DEFOGGING	D IY F AA G IH NG
DEFOGS	D IY F AA G Z
DEFOLIANT	D IH F OW L IY AH N T
DEFOLIANTS	D IH F OW L IY AH N T S
DEFOLIATE	D AH F AA L AY EY T
DEFOLIATED	D AH F AA L AY EY T AH D
DEFOLIATES	D AH F AA L AY EY T S
DEFOLIATING	D AH F AA L AY EY T AH NG
DEFOLIATION	D AH F AA L AY EY SH AH N
DEFOLIATIONS	D AH F OW L IY EY T IY AH N Z
DEFOLIATOR	D AH F AA L AY EY T AH R
DEFOLIATORS	D AH F AH L IY AH T AH R Z
DEFORCE	D IY F OW R S
DEFORCED	D IY F OW R S T
DEFORCEMENT	D IY F OW R S M AH N T
DEFORCEMENTS	D IY F OW R S M AH N T S
DEFORCES	D IY F OW R S IH Z
DEFORCING	D IY F OW R S IH NG
DEFOREST	D IH F AO R AH S T
DEFORESTATION	D IH F AO R IH S T EY SH AH N
DEFORESTATIONS	D IY F AO R AH S T EY SH AH N Z
DEFORESTED	D IY F AO R AH S T IH D
DEFORESTING	D IY F AO R AH S T IH NG
DEFORESTS	D IY F AO R AH S T S
DEFORM	D IY F AO R M
DEFORMABLE	D IY F AO R M AH B AH L
DEFORMALIZE	D IY F AO R M AH L AY Z
DEFORMALIZED	D IY F AO R M AH L AY Z D
DEFORMALIZES	D IY F AO R M AH L AY Z IH Z
DEFORMALIZING	D IY F AO R M AH L AY Z IH NG
DEFORMATION	D IY F AO R M EY SH AH N
DEFORMATIONAL	D IY F AO R M EY SH AH N AH L
DEFORMATIONS	D IY F AO R M EY SH AH N Z
DEFORMATIVE	D IY F AO R M AH T IH V
DEFORMED	D IH F AO R M D
DEFORMER	D IY F AO R M ER
DEFORMERS	D IY F AO R M ER Z
DEFORMING	D IY F AO R M IH NG
DEFORMITIES	D IH F AO R M AH T IY Z
DEFORMITY	D IH F AO R M AH T IY
DEFORMS	D IY F AO R M Z
DEFRAUD	D IH F R AO D
DEFRAUDED	D IH F R AO D IH D
DEFRAUDER	D IY F R AO D ER
DEFRAUDERS	D IY F R AO D ER Z
DEFRAUDING	D IH F R AO D IH NG
DEFRAUDS	D IY F R AO D Z
DEFRAY	D IH F R EY
DEFRAYABLE	D IH F R EY AH B AH L
DEFRAYAL	D IH F R EY AH L
DEFRAYALS	D IH F R EY AH L Z
DEFRAYED	D IH F R EY D
DEFRAYER	D IH F R EY ER
DEFRAYERS	D IH F R EY ER Z
DEFRAYING	D IH F R EY IH NG
DEFRAYS	D IH F R EY Z
DEFROCK	D IY F R AA K
DEFROCKED	D IY F R AA K T
DEFROCKING	D IY F R AA K IH NG
DEFROCKS	D IY F R AA K S
DEFROST	D IH F R AO S T
DEFROSTED	D IY F R AO S T IH D
DEFROSTER	D IY F R AO S T ER
DEFROSTERS	D IY F R AO S T ER Z
DEFROSTING	D IH F R AO S T IH NG
DEFROSTS	D IY F R AO S T S
DEFT	D EH F T
DEFTER	D EH F T ER
DEFTEST	D EH F T AH S T
DEFTLY	D EH F T L IY
DEFTNESS	D EH F T N AH S
DEFTNESSES	D EH F T N AH S IH Z
DEFUNCT	D IH F AH NG K T
DEFUND	D IY F AH N D
DEFUNDED	D IY F AH N D IH D
DEFUNDING	D IY F AH N D IH NG
DEFUNDS	D IY F AH N D Z
DEFUSE	D IH F Y UW Z
DEFUSED	D IH F Y UW Z D
DEFUSED(2)	D IY F Y UW Z D
DEFUSES	D IY F Y UW Z IH Z
DEFUSING	D IH F Y UW Z IH NG
DEFUZE	D IH F Y UW Z
DEFUZED	D IH F Y UW Z D
DEFUZES	D IH F Y UW Z AH Z
DEFUZING	D IH F Y UW Z AH NG
DEFY	D IH F AY
DEFYING	D IH F AY IH NG
DEGAGE	D IY G EY JH
DEGAME	D IY G EY M
DEGAMES	D IY G EY M Z
DEGAMI	D AH G AE M IY
DEGAMIS	D IY G EY M IY Z
DEGAS	D EY G AH S
DEGAS(2)	D EY G AH
DEGASES	D IY G AE S IH Z
DEGASSED	D IY G AE S T
DEGASSER	D IY G AE S ER
DEGASSERS	D IY G AE S ER Z
DEGASSES	D IY G AE S IH Z
DEGASSING	D IY G AE S IH NG
DEGAUSS	D IY G AW S
DEGAUSSED	D IY G AW S T
DEGAUSSER	D IY G AW S ER
DEGAUSSERS	D IY G AW S ER Z
DEGAUSSES	D IY G AW S IH Z
DEGAUSSING	D IY G AW S IH NG
DEGENERACIES	D IY JH EH N ER AH S IY Z
DEGENERACY	D IH JH EH N ER AH S IY
DEGENERATE	D IH JH EH N ER AH T
DEGENERATE(2)	D IH JH EH N ER EY T
DEGENERATED	D IH JH EH N ER EY T IH D
DEGENERATELY	D IY JH EH N ER AH T L IY
DEGENERATENESS	D IY JH EH N ER AH T N AH S
DEGENERATENESSES	D IY JH EH N ER AH T N AH S IH Z
DEGENERATES	D IH JH EH N ER AH T S
DEGENERATING	D IH JH EH N ER EY T IH NG
DEGENERATION	D IH JH EH N ER EY SH AH N
DEGENERATIONS	D IY JH EH N ER EY SH AH N Z
DEGENERATIVE	D IH JH EH N ER AH T IH V
DEGERM	D IY JH ER M
DEGERMED	D IY JH ER M D
DEGERMING	D IY JH ER M IH NG
DEGERMS	D IY JH ER M Z
DEGLACIATED	D IH G L AE S AY EY T AH D
DEGLACIATION	D IH G L AE S AY EY SH AH N
DEGLACIATIONS	D IH G L EY S IY EY T IY AH N Z
DEGLAMORIZATION	D IY G L AE M ER AH Z EY SH AH N
DEGLAMORIZATIONS	D IY G L AE M ER AH Z EY SH AH N Z
DEGLAMORIZE	D IY G L AE M ER AY Z
DEGLAMORIZED	D IY G L AE M ER AY Z D
DEGLAMORIZES	D IY G L AE M ER AY Z IH Z
DEGLAMORIZING	D IY G L AE M ER AY Z IH NG
DEGLAZE	D IY G L EY Z
DEGLAZED	D IY G L EY Z D
DEGLAZES	D IY G L EY Z IH Z
DEGLAZING	D IY G L EY Z IH NG
DEGLUTITION	D EH G L Y AH T IH SH AH N
DEGLUTITIONS	D IH G L AH T IH T IY AH N Z
DEGRADABLE	D IH G R EY D AH B AH L
DEGRADATION	D EH G R AH D EY SH AH N
DEGRADATIONS	D EH G R AH D EY SH AH N Z
DEGRADATIVE	D IY G R EY D AH T IH V
DEGRADE	D IH G R EY D
DEGRADED	D IH G R EY D AH D
DEGRADED(2)	D IH G R EY D IH D
DEGRADEDLY	D IY G R EY D AH D L IY
DEGRADER	D IY G R EY D ER
DEGRADERS	D IY G R EY D ER Z
DEGRADES	D IH G R EY D Z
DEGRADING	D IH G R EY D IH NG
DEGRADINGLY	D IY G R EY D IH NG L IY
DEGRANULATION	D IY G R AE N Y UW L EY SH AH N
DEGRANULATIONS	D IY G R AE N Y UW L EY SH AH N Z
DEGREASE	D IY G R IY S
DEGREASED	D IY G R IY S T
DEGREASER	D IY G R IY S ER
DEGREASERS	D IY G R IY S ER Z
DEGREASES	D IY G R IY S IH Z
DEGREASING	D IY G R IY S IH NG
DEGREE	D IH G R IY
DEGREED	D IH G R IY D
DEGREES	D IH G R IY Z
DEGRESSIVE	D IH G R EH S AH V
DEGRESSIVELY	D IH G R EH S AY V L IY
DEGRINGOLADE	D IY G R IH N G OW L EY D
DEGRINGOLADES	D IY G R IH N G OW L EY D Z
DEGUM	D IY G AH M
DEGUMMED	D IY G AH M D
DEGUMMING	D IY G AH M IH NG
DEGUMS	D IY G AH M Z
DEGUST	D IY G AH S T
DEGUSTATION	D IY G AH S T EY SH AH N
DEGUSTATIONS	D IY G AH S T EY SH AH N Z
DEGUSTED	D IY G AH S T IH D
DEGUSTING	D IY G AH S T IH NG
DEGUSTS	D IY G AH S T S
DEHISCE	D AH HH IH S
DEHISCED	D AH HH IH S T
DEHISCENCE	D AH HH IH S AH N S
DEHISCENCES	D AH HH IH S EH N S AH Z
DEHISCENT	D AH HH IH S AH N T
DEHISCES	D AH HH IH S AH Z
DEHISCING	D AH HH IH S AH NG
DEHORN	D IY HH AO R N
DEHORNED	D IY HH AO R N D
DEHORNER	D IY HH AO R N ER
DEHORNERS	D IY HH AO R N ER Z
DEHORNING	D IY HH AO R N IH NG
DEHORNS	D IY HH AO R N Z
DEHORT	D AH HH AO R T
DEHORTED	D AH HH AO R T AH D
DEHORTING	D AH HH AO R T AH NG
DEHORTS	D AH HH AO R T S
DEHUMANIZATION	D IY HH Y UW M AH N AH Z EY SH AH N
DEHUMANIZATIONS	D IY HH Y UW M EY N AH Z EY SH AH N Z
DEHUMANIZE	D IH HH Y UW M AH N AY Z
DEHUMANIZED	D IH HH Y UW M AH N AY Z D
DEHUMANIZES	D IY HH Y UW M EY N AY Z IH Z
DEHUMANIZING	D IY HH Y UW M AH N AY Z IH NG
DEHUMIDIFICATION	D IY HH Y UW M AH D AH F AH K EY SH AH N
DEHUMIDIFICATIONS	D IY HH Y UW M AH D AH F AH K EY SH AH N Z
DEHUMIDIFIED	D IY HH Y UW M IH D AH F AY D
DEHUMIDIFIER	D IY HH Y UW M IH D AH F AY ER
DEHUMIDIFIERS	D IY HH Y UW M IH D AH F AY ER Z
DEHUMIDIFIES	D IY HH Y UW M IH D AH F AY Z
DEHUMIDIFY	D IY HH Y UW M IH D AH F AY
DEHUMIDIFYING	D IY HH Y UW M IH D AH F AY IH NG
DEHYDRATE	D IH HH AY D R EY T
DEHYDRATED	D IH HH AY D R EY T AH D
DEHYDRATES	D IY HH AY D R EY T S
DEHYDRATING	D IY HH AY D R EY T IH NG
DEHYDRATION	D IY HH AY D R EY SH AH N
DEHYDRATIONS	D IY HH AY D R EY SH AH N Z
DEHYDRATOR	D IY HH AY D R EY T ER
DEHYDRATORS	D IY HH AY D R EY T ER Z
DEHYDROCHLORINASE	D AH HH AH D R AA K L AO R AH N EY Z
DEHYDROCHLORINASES	D AH HH AH D R AA K L AO R AH N EY Z AH Z
DEHYDROCHLORINATE	D AH HH IH D R AA K L AO R AH N EY T
DEHYDROCHLORINATED	D AH HH IH D R AA K L AO R AH N EY T AH D
DEHYDROCHLORINATES	D AH HH IH D R AA K L AO R AH N EY T S
DEHYDROCHLORINATING	D AH HH IH D R AA K L AO R AH N EY T AH NG
DEHYDROCHLORINATION	D AH HH IH D R AA K L AO R AH N EY SH AH N
DEHYDROCHLORINATIONS	D AH HH AH D R AA K L AH R AH N EY T IY AH N Z
DEHYDROGENASE	D AH HH IH D R AA JH AH N EY Z
DEHYDROGENASES	D AH HH IH D R AA JH AH N EY Z AH Z
DEHYDROGENATE	D IY HH AY D R AH JH AH N AH T
DEHYDROGENATED	D IY HH AY D R AH JH AH N EY T IH D
DEHYDROGENATES	D IY HH AY D R AH JH AH N AH T S
DEHYDROGENATING	D IY HH AY D R AH JH AH N EY T IH NG
DEHYDROGENATION	D IY HH AY D R AH JH AH N EY SH AH N
DEHYDROGENATIONS	D IY HH AY D R AH JH AH N EY SH AH N Z
DEICE	D IY AY S
DEICED	D IY AY S T
DEICER	D IY AY S ER
DEICERS	D IY AY S ER Z
DEICES	D IY AY S IH Z
DEICIDAL	D IY AY S AH D AH L
DEICIDE	D IY AH S AY D
DEICIDES	D IY AH S AY D Z
DEICING	D IY AY S IH NG
DEICTIC	D IY IH K T AH K
DEIFIC	D IY IH F AH K
DEIFICAL	D IY AH F IH S AH L
DEIFICATION	D IY AH F AH K EY SH AH N
DEIFICATIONS	D IY AH F AH K EY SH AH N Z
DEIFIED	D IY AH F AY D
DEIFIER	D IY IH F AY AH R
DEIFIERS	D IY AH F IY R Z
DEIFIES	D IY AH F AY Z
DEIFORM	D IY IH F AH R M
DEIFY	D IY AH F AY
DEIFYING	D IY IH F AY AH NG
DEIGN	D EY N
DEIGNED	D EY N D
DEIGNING	D EY N IH NG
DEIGNS	D EY N Z
DEIL	D IY IH L
DEILS	D IY AH L Z
DEINDUSTRIALIZATION	D IY IH N D AH S T R IY AH L AH Z EY SH AH N
DEINDUSTRIALIZATIONS	D IY IH N D AH S T R IY AH L AH Z EY SH AH N Z
DEINDUSTRIALIZE	D IY IH N D AH S T R IY AH L AY Z
DEINDUSTRIALIZED	D IY IH N D AH S T R IY AH L AY Z D
DEINDUSTRIALIZES	D IY IH N D AH S T R IY AH L AY Z IH Z
DEINDUSTRIALIZING	D IY IH N D AH S T R IY AH L AY Z IH NG
DEINONYCHUS	D IY AH N AA N AH CH AH S
DEINONYCHUSES	D IY AH N AA N AH CH UW Z AH Z
DEINSTITUTIONALIZATION	D IY IH N S T IH T UW SH AH N AH L AH Z EY SH AH N
DEINSTITUTIONALIZATIONS	D IY IH N S T AH T UW SH AH N AH L AH Z EY SH AH N Z
DEINSTITUTIONALIZE	D IY IH N S T IH T UW SH AH N AH L AY Z
DEINSTITUTIONALIZED	D IY IH N S T AH T UW SH AH N AH L AY Z D
DEINSTITUTIONALIZES	D IY IH N S T AH T UW SH AH N AH L AY Z IH Z
DEINSTITUTIONALIZING	D IY IH N S T AH T UW SH AH N AH L AY Z IH NG
DEIONIZATION	D IY IY AH N AH Z EY SH AH N
DEIONIZATIONS	D IY IY AH N AH Z EY SH AH N Z
DEIONIZE	D IY IY AH N AY Z
DEIONIZED	D IY IY AH N AY Z D
DEIONIZER	D IY IY AH N AY Z ER
DEIONIZERS	D IY IY AH N AY Z ER Z
DEIONIZES	D IY IY AH N AY Z IH Z
DEIONIZING	D IY IY AH N AY Z IH NG
DEISM	D IY IH Z AH M
DEISMS	D IY IH Z AH M Z
DEIST	D IY IH S T
DEISTIC	D IY IH S T AH K
DEISTICAL	D IY IH S T IH S AH L
DEISTICALLY	D IY IH S T AH K AE L IY
DEISTS	D IY IH S T S
DEITIES	D IY AH T IY Z
DEITY	D IY AH T IY
DEIXIS	D IY IH K S AH S
DEIXISES	D IY IH K S AY Z AH Z
DEJECT	D IH JH EH K T
DEJECTA	D AH JH EH K T AH
DEJECTED	D IH JH EH K T IH D
DEJECTEDLY	D IH JH EH K T AH D L IY
DEJECTEDNESS	D IH JH EH K T AH D N AH S
DEJECTEDNESSES	D IH JH EH K T AH D N AH S IH Z
DEJECTING	D IH JH EH K T IH NG
DEJECTION	D IH JH EH K SH AH N
DEJECTIONS	D IH JH EH K SH AH N Z
DEJECTS	D IH JH EH K T S
DEJEUNER	D AH JH UW N AH R
DEJEUNERS	D AH JH UW N AH R Z
DEKAGRAM	D AH K AE G R AH M
DEKAGRAMS	D AH K AE G R AH M Z
DEKALITER	D IH K AH L AY T AH R
DEKALITERS	D AH K AE L AH T AH R Z
DEKAMETER	D AH K AE M AH T AH R
DEKAMETERS	D AH K AE M AH T AH R Z
DEKAMETRIC	D AH K AE M AH T R AH K
DEKARE	D AH K AE R
DEKARES	D AH K AE R Z
DEKE	D AH K IY
DEKED	D IY K T
DEKES	D IY K S
DEKING	D IY K IH NG
DEKKO	D IH K OW
DEKKOS	D IH K AA Z
DEL	D EH L
DELAINE	D IH L EY N
DELAINES	D AH L EY N Z
DELAMINATE	D IY L AE M AH N AH T
DELAMINATED	D IY L AE M AH N EY T IH D
DELAMINATES	D IY L AE M AH N AH T S
DELAMINATING	D IY L AE M AH N EY T IH NG
DELAMINATION	D IY L AE M AH N EY SH AH N
DELAMINATIONS	D IY L AE M AH N EY SH AH N Z
DELATE	D IY L EY T
DELATED	D IY L EY T IH D
DELATES	D IY L EY T S
DELATING	D IY L EY T IH NG
DELATION	D IY L EY SH AH N
DELATIONS	D IY L EY SH AH N Z
DELATOR	D IY L EY T ER
DELATORS	D IY L EY T ER Z
DELAY	D IH L EY
DELAYED	D IH L EY D
DELAYER	D IY L EY ER
DELAYERS	D IY L EY ER Z
DELAYING	D IH L EY IH NG
DELAYS	D IH L EY Z
DELE	D IY L IY
DELEAD	D IY L IY D
DELEADED	D IY L EH D AH D
DELEADING	D IY L IY D IH NG
DELEADS	D IY L IY D Z
DELEAVE	D IY L IY V
DELEAVED	D IY L IY V D
DELEAVES	D IY L IY V Z
DELEAVING	D IY L IY V IH NG
DELECTABILITIES	D AH L EH K T AH B IH L AH T AY Z
DELECTABILITY	D AH L EH K T AH B IH L AH T IY
DELECTABLE	D IH L EH K T AH B AH L
DELECTABLES	D AH L EH K T AH B AH L Z
DELECTABLY	D AH L EH K T AH B L IY
DELECTATION	D IY L EH K T EY SH AH N
DELECTATIONS	D IY L EH K T EY SH AH N Z
DELED	D IY L EH D
DELEGABLE	D EH L IH G AH B AH L
DELEGACIES	D EH L IH G AH S IY Z
DELEGACY	D EH L IH G AH S IY
DELEGATE	D EH L AH G EY T
DELEGATE(2)	D EH L AH G AH T
DELEGATED	D EH L AH G EY T AH D
DELEGATEE	D IY L EH G AH T IY
DELEGATEES	D IY L EH G AH T IY Z
DELEGATES	D EH L AH G EY T S
DELEGATES(2)	D EH L AH G AH T S
DELEGATING	D EH L AH G EY T IH NG
DELEGATION	D EH L AH G EY SH AH N
DELEGATIONS	D EH L AH G EY SH AH N Z
DELEGATOR	D EH L IH G AH T ER
DELEGATORS	D EH L IH G AH T ER Z
DELEGITIMATION	D IY L IH JH IH T AH M EY SH AH N
DELEGITIMATIONS	D IY L IH JH IH T AH M EY SH AH N Z
DELEING	D AH L IY AH NG
DELES	D IY L Z
DELETE	D IH L IY T
DELETED	D IH L IY T AH D
DELETERIOUS	D EH L AH T IH R IY AH S
DELETERIOUSLY	D IY L EH T AH R IY AH S L IY
DELETERIOUSNESS	D IY L EH T AH R IY AH S N AH S
DELETERIOUSNESSES	D IY L EH T AH R IY AH S N AH S IH Z
DELETES	D IH L IY T S
DELETING	D IH L IY T IH NG
DELETION	D IH L IY SH AH N
DELETIONS	D IH L IY SH AH N Z
DELF	D EH L F
DELFS	D EH L F S
DELFT	D EH L F T
DELFTS	D EH L F T S
DELFTWARE	D EH L F T W EH R
DELFTWARES	D IH L F T W AE R Z
DELI	D EH L IY
DELIBERATE	D IH L IH B ER AH T
DELIBERATE(2)	D IH L IH B ER EY T
DELIBERATE(3)	D IH L IH B R AH T
DELIBERATED	D IH L IH B ER EY T IH D
DELIBERATELY	D IH L IH B ER AH T L IY
DELIBERATELY(2)	D IH L IH B R AH T L IY
DELIBERATENESS	D IH L IH B AH R AH T N AH S
DELIBERATENESSES	D IH L IH B AH R AH T N AH S IH Z
DELIBERATES	D IH L IH B ER EY T S
DELIBERATES(2)	D IH L IH B R EY T S
DELIBERATING	D IH L IH B ER EY T IH NG
DELIBERATION	D IH L IH B ER EY SH AH N
DELIBERATIONS	D IH L IH B ER EY SH AH N Z
DELIBERATIVE	D IH L IH B ER EY T IH V
DELIBERATIVE(2)	D IH L IH B R AH T IH V
DELIBERATIVELY	D IH L IH B AH R AH T IH V L IY
DELIBERATIVENESS	D IH L IH B AH R AH T IH V N AH S
DELIBERATIVENESSES	D IH L IH B AH R AH T IH V N AH S IH Z
DELICACIES	D EH L IH K AH S IY Z
DELICACY	D EH L AH K AH S IY
DELICACY(2)	D EH L IH K AH S IY
DELICATE	D EH L AH K AH T
DELICATELY	D EH L AH K AH T L IY
DELICATES	D EH L IH K AH T S
DELICATESSEN	D EH L IH K AH T EH S AH N
DELICATESSENS	D EH L IH K AH T EH S AH N Z
DELICIOUS	D IH L IH SH AH S
DELICIOUSLY	D IH L IH SH AH SH L IY
DELICIOUSNESS	D IH L IH SH AH S N AH S
DELICIOUSNESSES	D IH L IH SH AH S N AH S IH Z
DELICT	D AH L IH K T
DELICTS	D AH L IH K T S
DELIGHT	D IH L AY T
DELIGHTED	D IH L AY T AH D
DELIGHTED(2)	D IH L AY T IH D
DELIGHTEDLY	D IH L AY T AH D L IY
DELIGHTEDNESS	D IH L AY T AH D N AH S
DELIGHTEDNESSES	D IH L AY T AH D N AH S IH Z
DELIGHTER	D IH L AY T ER
DELIGHTERS	D IH L AY T ER Z
DELIGHTFUL	D IH L AY T F AH L
DELIGHTFULLY	D IH L AY T F AH L IY
DELIGHTFULNESS	D IH L AY T F AH L N AH S
DELIGHTFULNESSES	D IH L AY T F AH L N AH S IH Z
DELIGHTING	D IH L AY T IH NG
DELIGHTS	D IH L AY T S
DELIGHTSOME	D IH L AY T S AH M
DELIME	D IY L AY M
DELIMED	D IY L AY M D
DELIMES	D IY L AY M Z
DELIMING	D IY L AY M IH NG
DELIMIT	D IY L IH M AH T
DELIMITATION	D IY L IH M AH T EY SH AH N
DELIMITATIONS	D IY L IH M AH T EY SH AH N Z
DELIMITED	D IY L IH M AH T IH D
DELIMITER	D IY L IH M AH T ER
DELIMITERS	D IY L IH M AH T ER Z
DELIMITING	D IY L IH M AH T IH NG
DELIMITS	D IY L IH M AH T S
DELINEATE	D IH L IH N IY EY T
DELINEATED	D IH L IH N IY EY T IH D
DELINEATES	D IH L IH N IY EY T S
DELINEATING	D IH L IH N IY EY T IH NG
DELINEATION	D IH L IH N IY EY SH AH N
DELINEATIONS	D IY L IH N IY EY SH AH N Z
DELINEATIVE	D IH L IH N IY EY T IH V
DELINEATOR	D IH L IH N IY EY T ER
DELINEATORS	D IH L IH N IY EY T ER Z
DELINQUENCIES	D IH L IH NG K W AH N S IY Z
DELINQUENCY	D IH L IH NG K W AH N S IY
DELINQUENT	D IH L IH NG K W AH N T
DELINQUENTLY	D IH L IH NG K W AH N T L IY
DELINQUENTS	D IH L IH NG K W AH N T S
DELIQUESCE	D IH L AH K EH S
DELIQUESCED	D IH L AH K EH S T
DELIQUESCENCE	D IH L AH K EH S AH N S
DELIQUESCENCES	D IH L AH K AH S EH N S AH Z
DELIQUESCENT	D IH L AH K EH S AH N T
DELIQUESCES	D IH L AH K EH S AH Z
DELIQUESCING	D IH L AH K EH S AH NG
DELIRIA	D AH L IH R IY AH
DELIRIOUS	D IH L IH R IY AH S
DELIRIOUSLY	D AH L AH R IY OW AH S L IY
DELIRIOUSNESS	D AH L IH R IY AW Z N AH S
DELIRIOUSNESSES	D AH L IH R IY AW Z N EH S AH Z
DELIRIUM	D IH L IH R IY AH M
DELIRIUMS	D IH L IH R IY AH M Z
DELIS	D IY L AH S
DELIST	D IY L IH S T
DELISTED	D IY L IH S T IH D
DELISTING	D IY L IH S T IH NG
DELISTS	D IY L IH S T S
DELIVER	D IH L IH V ER
DELIVERABILITIES	D IH L IH V ER AH B IH L AH T EH Z
DELIVERABILITY	D IH L IH V ER AH B IH L AH T EH
DELIVERABLE	D IH L IH V ER AH B AH L
DELIVERABLE(2)	D IH L IH V R AH B AH L
DELIVERANCE	D IH L IH V ER AH N S
DELIVERANCE(2)	D IH L IH V R AH N S
DELIVERANCES	D IH L IH V ER AH N S IH Z
DELIVERED	D IH L IH V ER D
DELIVERER	D IH L IH V ER ER
DELIVERERS	D IH L IH V ER ER Z
DELIVERIES	D IH L IH V ER IY Z
DELIVERIES(2)	D IH L IH V R IY Z
DELIVERING	D IH L IH V ER IH NG
DELIVERS	D IH L IH V ER Z
DELIVERY	D IH L IH V ER IY
DELIVERYMAN	D IH L IH V AH R IY M AE N
DELIVERYMEN	D IH L IH V AH R IY M EH N
DELL	D EH L
DELLIES	D EH L IY Z
DELLS	D EH L Z
DELLY	D EH L IY
DELOCALIZATION	D IY L OW K AE L AH Z EY SH AH N
DELOCALIZATIONS	D IY L OW K AE L AH Z EY SH AH N Z
DELOCALIZE	D IY L OW K AE L AY Z
DELOCALIZED	D IY L OW K AE L AY Z D
DELOCALIZES	D IY L OW K AE L AY Z IH Z
DELOCALIZING	D IY L OW K AE L AY Z IH NG
DELOUSE	D IY L AW Z
DELOUSED	D IY L AW Z D
DELOUSER	D IY L AW S ER
DELOUSERS	D IY L AW S ER Z
DELOUSES	D IY L AW S IH Z
DELOUSING	D IY L AW S IH NG
DELPHIC	D EH L F IH K
DELPHICALLY	D IH L F AH K AE L IY
DELPHINIUM	D IH L F IH N IY AH M
DELPHINIUMS	D IH L F IH N IY AH M Z
DELS	D EH L Z
DELT	D EH L T
DELTA	D EH L T AH
DELTAIC	D EH L T EY IH K
DELTAS	D EH L T AH Z
DELTIC	D EH L T AH K
DELTOID	D EH L T OY D
DELTOIDEI	D IH L T OY D IY
DELTOIDEUS	D IH L T OY D IY AH S
DELTOIDS	D EH L T OY D Z
DELTS	D EH L T S
DELUDE	D IH L UW D
DELUDED	D IH L UW D IH D
DELUDER	D IH L UW D ER
DELUDERS	D IH L UW D ER Z
DELUDES	D IH L UW D Z
DELUDING	D IH L UW D IH NG
DELUGE	D EH L Y UW JH
DELUGED	D EH L Y UW JH D
DELUGES	D EH L Y UW JH IH Z
DELUGING	D EH L Y UW JH IH NG
DELUSION	D IH L UW ZH AH N
DELUSIONAL	D IH L UW ZH AH N AH L
DELUSIONARY	D IH L UW ZH AH N EH R IY
DELUSIONS	D IH L UW ZH AH N Z
DELUSIVE	D IY L AH S AH V
DELUSIVELY	D IH L AH S AY V L IY
DELUSIVENESS	D IH L AH S AY V N AH S
DELUSIVENESSES	D AH L AH S IH V AH N EH S AH Z
DELUSORY	D IY L AH S AO R IY
DELUSTER	D IY L AH S T ER
DELUSTERED	D IY L AH S T ER D
DELUSTERING	D IY L AH S T ER IH NG
DELUSTERS	D IY L AH S T ER Z
DELUXE	D AH L AH K S
DELVE	D EH L V
DELVED	D EH L V D
DELVER	D EH L V ER
DELVERS	D EH L V ER Z
DELVES	D EH L V Z
DELVING	D EH L V IH NG
DEMAGNETIZATION	D IY M AE G N AH T AH Z EY SH AH N
DEMAGNETIZATIONS	D IY M AE G N AH T AH Z EY SH AH N Z
DEMAGNETIZE	D IY M AE G N AH T AY Z
DEMAGNETIZED	D IY M AE G N AH T AY Z D
DEMAGNETIZER	D IY M AE G N AH T AY Z ER
DEMAGNETIZERS	D IY M AE G N AH T AY Z ER Z
DEMAGNETIZES	D IY M AE G N AH T AY Z IH Z
DEMAGNETIZING	D IY M AE G N AH T AY Z IH NG
DEMAGOG	D AH M AE G AH G
DEMAGOGED	D IH M AH G OW JH D
DEMAGOGIC	D EH M AH G AA JH IH K
DEMAGOGICALLY	D AH M AH G AA JH AH K AE L IY
DEMAGOGIES	D AH M AE G AH JH AY Z
DEMAGOGING	D IH M AH G OW JH AH NG
