TIO	T AY OW
DISPOSITIONAL	D IH S P AH Z IH SH AH N AH L
DISPOSITIONS	D IH S P AH Z IH SH AH N Z
DISPROPORTION	D IH S P R OW P OW R SH AH N
DISPROPORTIONAL	D IH S P R OW P OW R SH AH N AH L
DISPROPORTIONATE	D IH S P R AH P AO R SH AH N IH T
DISPROPORTIONATED	D IH S P R OW P OW R SH AH N EY T IH D
DISPROPORTIONATELY	D IH S P R AH P AO R SH AH N AH T L IY
DISPROPORTIONATES	D IH S P R OW P OW R SH AH N AH T S
DISPROPORTIONATING	D IH S P R OW P OW R SH AH N EY T IH NG
DISPROPORTIONATION	D IH S P R OW P OW R SH AH N EY SH AH N
DISPROPORTIONATIONS	D IH S P R OW P OW R SH AH N EY SH AH N Z
DISPROPORTIONED	D IH S P R OW P OW R SH AH N D
DISPROPORTIONING	D IH S P R OW P OW R SH AH N IH NG
DISPROPORTIONS	D IH S P R OW P OW R SH AH N Z
DISPUTATION	D IH S P Y UW T EY SH AH N
DISPUTATIONS	D IH S P Y UW T EY SH AH N Z
DISPUTATIOUS	D IH S P Y UW T AH T IY AH S
DISPUTATIOUSLY	D IH S P Y UW T AH T IY AH S L IY
DISPUTATIOUSNESS	D IH S P Y UW T AH T IY AH S N AH S
DISPUTATIOUSNESSES	D IH S P Y UW T AH T IY AH S N AH S IH Z
DISQUALIFICATION	D IH S K W AA L AH F AH K EY SH AH N
DISQUALIFICATIONS	D IH S K W AA L AH F AH K EY SH AH N Z
DISQUISITION	D IH S K W AH Z IH SH AH N
DISQUISITIONS	D IH S K W AH Z IH SH AH N Z
DISRELATION	D IH S R IY L EY SH AH N
DISRELATIONS	D IH S R IY L EY SH AH N Z
DISRUPTION	D IH S R AH P SH AH N
DISRUPTIONS	D IH S R AH P SH AH N Z
DISSATISFACTION	D IH S AE T IH S F AE K SH AH N
DISSATISFACTIONS	D IH S AE T AH S F AE K SH AH N Z
DISSECTION	D AY S EH K SH AH N
DISSECTIONS	D AY S EH K SH AH N Z
DISSEMINATION	D IH S EH M AH N EY SH AH N
DISSEMINATIONS	D IH S EH M AH N EY SH AH N Z
DISSENTION	D IH S EH N CH AH N
DISSENTIONS	D IH S EH N CH AH N Z
DISSENTIOUS	D IH S EH N CH AH S
DISSERTATION	D IH S ER T EY SH AH N
DISSERTATIONAL	D IH S AH R T AH T IY AH N AH L
DISSERTATIONS	D IH S AH R T EY T IY AH N Z
DISSIMILATION	D IH S IH M AH L IY EY SH AH N
DISSIMILATIONS	D IH S IH M AH L IY EY SH AH N Z
DISSIMULATION	D IH S IH M Y AH L EY SH AH N
DISSIMULATIONS	D IH S IH M Y AH L EY SH AH N Z
DISSIPATION	D IH S IH P EY SH AH N
DISSIPATIONS	D IH S AH P EY SH AH N Z
DISSOCIATION	D IH S OW S IY EY SH AH N
DISSOCIATIONS	D IH S OW SH EY SH AH N Z
DISSOLUTION	D IH S AH L UW SH AH N
DISSOLUTIONS	D IH S AH L UW SH AH N Z
DISTENTION	D IH S T AH N CH AH N
DISTENTIONS	D IH S T AH N CH AH N Z
DISTILLATION	D IH S T AH L EY SH AH N
DISTILLATIONS	D IH S T IH L EY SH AH N Z
DISTINCTION	D IH S T IH NG K SH AH N
DISTINCTIONS	D IH S T IH NG K SH AH N Z
DISTORTION	D IH S T AO R SH AH N
DISTORTIONAL	D IH S T AO R SH AH N AH L
DISTORTIONS	D IH S T AO R SH AH N Z
DISTRACTION	D IH S T R AE K SH AH N
DISTRACTIONS	D IH S T R AE K SH AH N Z
DISTRIBUTION	D IH S T R AH B Y UW SH AH N
DISTRIBUTIONAL	D IH S T R AH B Y UW SH AH N AH L
DISTRIBUTIONS	D IH S T R AH B Y UW SH AH N Z
DIVAGATION	D AY V IH JH EY SH AH N
DIVAGATIONS	D AY V IH JH EY SH AH N Z
DIVARICATION	D AY V ER IH K EY SH AH N
DIVARICATIONS	D AY V ER IH K EY SH AH N Z
DIVERSIFICATION	D AY V ER S AH F AH K EY SH AH N
DIVERSIFICATION(2)	D IH V ER S AH F AH K EY SH AH N
DIVERSIFICATIONS	D AY V ER S AH F AH K EY SH AH N Z
DIVERSIFICATIONS(2)	D IH V ER S AH F AH K EY SH AH N Z
DIVINATION	D IH V AH N EY SH AH N
DIVINATIONS	D IH V AH N EY SH AH N Z
DOCUMENTATION	D AA K Y AH M EH N T EY SH AH N
DOCUMENTATION(2)	D AA K Y UW M EH N T EY SH AH N
DOCUMENTATIONAL	D AA K Y AH M AH N T EY SH AH N AH L
DOCUMENTATIONS	D AA K Y AH M AH N T EY SH AH N Z
DOGMATIZATION	D AO G M EY T AH Z EY SH AH N
DOGMATIZATIONS	D AO G M EY T AH Z EY SH AH N Z
DOLOMITIZATION	D AA L AH M AH T AH Z EY SH AH N
DOLOMITIZATIONS	D AH L AA M AH T AH Z EY T IY AH N Z
DOMESTICATION	D AH M EH S T AH K EY SH AH N
DOMESTICATIONS	D AH M EH S T IH K EY SH AH N Z
DOMICILIATION	D AA M AH S AY L IY EY SH AH N
DOMICILIATIONS	D AA M AH S AY L IY EY SH AH N Z
DOMINATION	D AA M AH N EY SH AH N
DOMINATIONS	D AA M AH N EY SH AH N Z
DONATION	D OW N EY SH AH N
DONATIONS	D OW N EY SH AH N Z
DOTATION	D OW T EY SH AH N
DOTATIONS	D OW T EY SH AH N Z
DRAMATISATION	D R AE M AH T IY Z EY SH AH N
DRAMATISATIONS	D R AE M AH T IY Z EY SH AH N Z
DRAMATIZATION	D R AE M AH T AH Z EY SH AH N
DRAMATIZATIONS	D R AE M AH T AH Z EY SH AH N Z
DUBITATION	D Y UW B AH T EY SH AH N
DUBITATIONS	D Y UW B AH T EY T IY AH N Z
DUPLICATION	D Y UW P L AH K EY SH AH N
DUPLICATIONS	D UW P L IH K EY SH AH N Z
DURATION	D UH R EY SH AH N
DURATIONS	D UH R EY SH AH N Z
DYSFUNCTION	D IH S F AH NG K SH AH N
DYSFUNCTIONAL	D IH S F AH NG K SH AH N AH L
DYSFUNCTIONS	D IH S F AH NG K SH AH N Z
EBULLITION	EH B AH L IH SH AH N
EBULLITIONS	EH B AH L IH T IY AH N Z
ECHOLOCATION	EH K OW L OW K EY SH AH N
ECHOLOCATIONS	EH K OW L OW K EY SH AH N Z
EDIFICATION	EH D AH F AH K EY SH AH N
EDIFICATIONS	EH D AH F AH S EY SH AH N Z
EDITION	AH D IH SH AH N
EDITION(2)	IH D IH SH AH N
EDITIONS	IH D IH SH AH N Z
EDITORIALIZATION	EH D AH T OW R IY AH L AH Z EY SH AH N
EDITORIALIZATIONS	EH D AH T OW R IY AH L AH Z EY SH AH N Z
EDUCATION	EH JH AH K EY SH AH N
EDUCATION(2)	EH JH Y UW K EY SH AH N
EDUCATIONAL	EH JH AH K EY SH AH N AH L
EDUCATIONAL(2)	EH JH Y UW K EY SH AH N AH L
EDUCATIONALIST	EH JH AH K EY SH AH N AH L IH S T
EDUCATIONALISTS	EH JH AH K EY SH AH N AH L IH S T S
EDUCATIONALLY	EH JH AH K EY SH AH N AH L IY
EDUCATIONALLY(2)	EH JH AH K EY SH N AH L IY
EDUCATIONALLY(3)	EH JH Y UW K EY SH AH N AH L IY
EDUCATIONALLY(4)	EH JH Y UW K EY SH N AH L IY
EDUCATIONESE	EH D Y AH K EY T IY AH N IY Z
EDUCATIONESES	EH D Y AH K EY T IY AH N IY Z AH Z
EDUCATIONIST	EH JH AH K EY SH AH N IH S T
EDUCATIONISTS	EH JH AH K EY SH AH N IH S T S
EDUCATIONS	EH JH AH K EY SH AH N Z
EDUCATIONS(2)	EH JH Y UW K EY SH AH N Z
EDUCTION	AH D AH K AH N
EDUCTIONS	AH D AH K T IY AH N Z
EFFECTUATION	IH F EH K CH AH W EY SH AH N
EFFECTUATIONS	IH F EH K CH AH W EY SH AH N Z
EGESTION	IY JH EH S T IY AH N
EGESTIONS	AH JH EH S T IY AH N Z
EJACULATION	IY JH AE K Y UW L EY SH AH N
EJACULATIONS	IH JH AE K Y AH L EY SH AH N Z
EJECTION	IH JH EH K SH AH N
EJECTIONS	IH JH EH K SH AH N Z
ELABORATION	IH L AE B ER EY SH AH N
ELABORATIONS	IH L AE B AH R AH SH AH N Z
ELATION	IH L EY SH AH N
ELATIONS	IH L EY SH AH N Z
ELECTION	IH L EH K SH AH N
ELECTIONEER	IH L EH K SH AH N IH R
ELECTIONEERED	IH L EH K SH AH N IH R D
ELECTIONEERER	IH L EH K SH AH N IH R ER
ELECTIONEERERS	IH L EH K SH AH N IH R ER Z
ELECTIONEERING	IH L EH K SH AH N IH R IH NG
ELECTIONEERS	IH L EH K SH AH N IH R Z
ELECTIONS	IH L EH K SH AH N Z
ELECTRIFICATION	IH L EH K T R AH F IH K EY SH AH N
ELECTRIFICATIONS	IH L EH K T R AH F AH K EY SH AH N Z
ELECTROCUTION	IH L EH K T R AH K Y UW SH AH N
ELECTROCUTIONS	IH L EH K T R AH K Y UW SH AH N Z
ELECTRODEPOSITION	IH L EH K T R OW D P AH Z IH SH AH N
ELECTRODEPOSITIONS	IH L EH K T R OW D P AH Z IH SH AH N Z
ELECTRODESICCATION	IH L EH K T R OW D S IH K EY SH AH N
ELECTRODESICCATIONS	IH L EH K T R OW D S IH K EY SH AH N Z
ELEVATION	EH L AH V EY SH AH N
ELEVATIONS	EH L AH V EY SH AH N Z
ELICITATION	IH L IH S AH T EY SH AH N
ELICITATIONS	IH L IH S AH T EY SH AH N Z
ELIMINATION	IH L IH M AH N EY SH AH N
ELIMINATIONS	IH L IH M IH N EY SH AH N Z
ELOCUTION	EH L AH K Y UW SH AH N
ELOCUTIONARY	EH L AH K Y UW T IY AH N EH R IY
ELOCUTIONIST	AH L AA K Y AH T IY AH N AH S T
ELOCUTIONISTS	AH L AA K Y AH T IY AH N AH S T S
ELOCUTIONS	EH L AH K Y UW SH AH N Z
ELONGATION	IY L AO NG G EY SH AH N
ELONGATIONS	IH L AO NG G EY SH AH N Z
ELUCIDATION	IH L UW S AH D EY SH AH N
ELUCIDATIONS	IH L UW S AH D EY SH AH N Z
ELUCUBRATION	AH L UW K AH B R EY SH AH N
ELUCUBRATIONS	AH L UW K AH B R EY T IY AH N Z
ELUTION	IH L UW SH AH N
ELUTIONS	IH L UW SH AH N Z
ELUTRIATION	AH L AH T R AY EY SH AH N
ELUTRIATIONS	AH L AH T R IY EY T IY AH N Z
ELUVIATION	AH L UW V AY EY SH AH N
ELUVIATIONS	AH L UW V IY EY T IY AH N Z
EMACIATION	IH M EY SH IY EY SH AH N
EMACIATIONS	IH M EY SH IY EY SH AH N Z
EMANATION	EH M AH N EY SH AH N
EMANATIONS	EH M AH N EY SH AH N Z
EMANCIPATION	IH M AE N S AH P EY SH AH N
EMANCIPATIONIST	IH M AE N S AH P EY SH AH N IH S T
EMANCIPATIONISTS	IH M AE N S AH P EY SH AH N IH S T S
EMANCIPATIONS	IH M AE N S AH P EY SH AH N Z
EMARGINATION	AH M AA R JH AH N EY SH AH N
EMARGINATIONS	AH M AA R JH AH N EY T IY AH N Z
EMASCULATION	IH M AE S K Y AH L EY SH AH N
EMASCULATIONS	IH M AE S K Y AH L EY SH AH N Z
EMBARKATION	EH M B AA R K EY SH AH N
EMBARKATIONS	IH M B AA R K EY SH AH N Z
EMBOLIZATION	EH M B AH L AH Z EY SH AH N
EMBOLIZATIONS	IH M B AA L AH Z EY T IY AH N Z
EMBROCATION	IH M B R AH K EY SH AH N
EMBROCATIONS	IH M B R AH K EY T IY AH N Z
EMENDATION	IH M EH N D EY SH AH N
EMENDATIONS	IH M EH N D EY SH AH N Z
EMIGRATION	EH M AH G R EY SH AH N
EMIGRATIONS	EH M AH G R EY SH AH N Z
EMOTION	IH M OW SH AH N
EMOTION(2)	IY M OW SH AH N
EMOTIONAL	IH M OW SH AH N AH L
EMOTIONAL(2)	IY M OW SH AH N AH L
EMOTIONALISM	IY M OW SH AH N AH L IH Z AH M
EMOTIONALISM(2)	IY M OW SH N AH L IH Z AH M
EMOTIONALISMS	IH M OW SH AH N AH L IH Z AH M Z
EMOTIONALIST	IH M OW SH AH N AH L IH S T
EMOTIONALISTIC	IH M OW SH AH N AH L IH S T IH K
EMOTIONALISTS	IH M OW SH AH N AH L IH S T S
EMOTIONALITIES	IH M OW SH AH N AE L AH T IY Z
EMOTIONALITY	IH M OW SH AH N AE L AH T IY
EMOTIONALIZE	IH M OW SH AH N AH L AY Z
EMOTIONALIZED	IH M OW SH AH N AH L AY Z D
EMOTIONALIZES	IH M OW SH AH N AH L AY Z IH Z
EMOTIONALIZING	IH M OW SH AH N AH L AY Z IH NG
EMOTIONALLY	IH M OW SH N AH L IY
EMOTIONALLY(2)	IY M OW SH N AH L IY
EMOTIONLESS	IH M OW SH AH N L AH S
EMOTIONLESSLY	IH M OW SH AH N L AH S L IY
EMOTIONLESSNESS	IH M OW SH AH N L AH S N AH S
EMOTIONLESSNESSES	IH M OW SH AH N L AH S N AH S IH Z
EMOTIONS	IH M OW SH AH N Z
EMULATION	EH M Y AH L EY SH AH N
EMULATIONS	EH M Y AH L EY SH AH N Z
EMULSIFICATION	IH M AH L S AH F AH K EY SH AH N
EMULSIFICATIONS	IH M AH L S AH F AH K EY SH AH N Z
ENAMORATION	AH N AE M AH R EY SH AH N
ENAMORATIONS	AH N AE M AH R EY T IY AH N Z
ENANTIOMER	AH N AE N T AY OW M AH R
ENANTIOMERIC	AH N AH N T AY AA M AH R AH K
ENANTIOMERS	AH N AH N T AY AA M AH R Z
ENANTIOMORPH	AH N AH N T AY AA M AH R F
ENANTIOMORPHIC	AH N AH N T AY AA M AH R F AH K
ENANTIOMORPHISM	AH N AH N T AY AA M AH R F IH Z AH M
ENANTIOMORPHISMS	AH N AH N T AY AH M AO R F AH Z AH M Z
ENANTIOMORPHOUS	AH N AH N T AY AH M AO R F AH S
ENANTIOMORPHS	AH N AH N T AY AA M AH R F S
ENATION	EH N EY SH AH N
ENATIONS	EH N EY SH AH N Z
ENCAPSULATION	EH N K AE P S AH L EY SH AH N
ENCAPSULATIONS	EH N K AE P S AH L EY SH AH N Z
ENCRUSTATION	EH N K R AH S T EY SH AH N
ENCRUSTATIONS	EH N K R AH S T EY SH AH N Z
ENCRYPTION	EH N K R IH P SH AH N
ENCRYPTIONS	EH N K R IH P SH AH N Z
ENERGIZATION	AH N AH R JH AH Z EY SH AH N
ENERGIZATIONS	AH N AH R JH AH Z EY T IY AH N Z
ENERVATION	EH N ER V EY SH AH N
ENERVATIONS	EH N ER V EY SH AH N Z
ENUCLEATION	AH N AH K L IY EY SH AH N
ENUCLEATIONS	AH N AH K L IY T IY AH N Z
ENUMERATION	IH N UW M ER EY SH AH N
ENUMERATIONS	IH N UW M ER EY SH AH N Z
ENUNCIATION	IY N AH N S IY EY SH AH N
ENUNCIATIONS	IY N AH N S IY EY SH AH N Z
ENVENOMIZATION	EH N V EH N AH M AH Z EY SH AH N
ENVENOMIZATIONS	EH N V EH N AH M AH Z EY SH AH N Z
EPILATION	IY P AH L EY SH AH N
EPILATIONS	EH P AH L EY T IY AH N Z
EPITHELIALIZATION	EH P AH TH AH L IY AH L AH Z EY SH AH N
EPITHELIALIZATIONS	AH P AH TH AH L IY AH L AH Z EY T IY AH N Z
EPITHELIZATION	EH P AH TH AH L AH Z EY SH AH N
EPITHELIZATIONS	AH P IH TH AH L AH Z EY T IY AH N Z
EPIZOOTIOLOGIC	EH P AH Z AH T IY AH L AH JH AH K
EPIZOOTIOLOGICAL	EH P AH Z AH T IY AA L AH JH IH S AH L
EPIZOOTIOLOGIES	AH P AH Z AH T IY AA L AH JH AY Z
EPIZOOTIOLOGY	EH P AH Z AH T IY AA L AH JH IY
EPOXIDATION	AH P AA K S AH D EY SH AH N
EPOXIDATIONS	AH P AA K S AH D EY T IY AH N Z
EQUALIZATION	IY K W AH L IH Z EY SH AH N
EQUALIZATIONS	IY K W AH L AH Z EY SH AH N Z
EQUATION	IH K W EY ZH AH N
EQUATIONAL	IH K W EY SH AH N AH L
EQUATIONALLY	IH K W EY SH AH N AH L IY
EQUATIONS	IH K W EY ZH AH N Z
EQUILIBRATION	IH K W IH L AH B R EY SH AH N
EQUILIBRATIONS	IH K W IH L AH B R EY SH AH N Z
EQUITATION	EH K W AH T EY SH AH N
EQUITATIONS	EH K W AH T EY SH AH N Z
EQUIVOCATION	IH K W IH V AH K EY SH AH N
EQUIVOCATIONS	EH K W AH V AH K EY T IY AH N Z
ERADICATION	IH R AE D AH K EY SH AH N
ERADICATIONS	IH R AE D AH K EY SH AH N Z
ERECTION	IH R EH K SH AH N
ERECTIONS	IH R EH K SH AH N Z
EROTICIZATION	IH R AA T IH K AH Z EY SH AH N
EROTICIZATIONS	IH R AA T IH K AH Z EY SH AH N Z
EROTIZATION	EH R AH T AH Z EY SH AH N
EROTIZATIONS	EH R AH T AH Z EY T IY AH N Z
ERUCTATION	EH R AH K T EY SH AH N
ERUCTATIONS	EH R AH K T EY T IY AH N Z
ERUDITION	EH R AH D IH SH AH N
ERUDITIONS	EH R Y AH D IH SH AH N Z
ERUPTION	IY R AH P SH AH N
ERUPTION(2)	IH R AH P SH AH N
ERUPTIONS	IY R AH P SH AH N Z
ERUPTIONS(2)	IH R AH P SH AH N Z
ESCALATION	EH S K AH L EY SH AH N
ESCALATIONS	EH S K AH L EY SH AH N Z
ESTERIFICATION	EH S T ER AH F AH K EY SH AH N
ESTERIFICATIONS	EH S T ER AH F AH K EY SH AH N Z
ESTIMATION	EH S T AH M EY SH AH N
ESTIMATIONS	EH S T AH M EY SH AH N Z
ESTIVATION	EH S T AH V EY SH AH N
ESTIVATIONS	EH S T AH V EY T IY AH N Z
ETERNIZATION	IH T ER N AH Z EY SH AH N
ETERNIZATIONS	IH T ER N AH Z EY SH AH N Z
ETHEREALIZATION	IH TH IH R IY AH L AH Z EY SH AH N
ETHEREALIZATIONS	IH TH IH R IY AH L AH Z EY SH AH N Z
ETHERIZATION	IY TH ER AH Z EY SH AH N
ETHERIZATIONS	IY TH ER AH Z EY SH AH N Z
ETIOLATE	IY T IY AH L EY T
ETIOLATED	IY T IY AH L EY T AH D
ETIOLATES	IY T IY AH L EY T S
ETIOLATING	IY T IY AH L EY T AH NG
ETIOLATION	IY T IY AH L EY SH AH N
ETIOLATIONS	IY T IY AH L EY T IY AH N Z
ETIOLOGIC	IY T IY AH L AH JH AH K
ETIOLOGICAL	IY T IY AA L AH JH IH S AH L
ETIOLOGICALLY	IY T IY AH L AA JH AH K AE L IY
ETIOLOGIES	IY T IY AA L AH JH IY Z
ETIOLOGY	IY T IY AA L AH JH IY
EUTROPHICATION	Y UW T R AA F AH S EY SH AH N
EUTROPHICATIONS	Y UW T R AH F AH K EY T IY AH N Z
EVACUATION	IH V AE K Y AH W EY SH AH N
EVACUATION(2)	IY V AE K Y AH W EY SH AH N
EVACUATIONS	IH V AE K Y AH W EY SH AH N Z
EVACUATIONS(2)	IY V AE K Y AH W EY SH AH N Z
EVAGINATION	AH V AE JH AH N EY SH AH N
EVAGINATIONS	EH V AH JH AH N EY T IY AH N Z
EVALUATION	IH V AE L Y UW EY SH AH N
EVALUATION(2)	IY V AE L Y UW EY SH AH N
EVALUATIONS	IH V AE L Y UW EY SH AH N Z
EVALUATIONS(2)	IY V AE L Y UW EY SH AH N Z
EVANGELIZATION	IH V AE N JH AH L AH Z EY SH AH N
EVANGELIZATIONS	IH V AE N JH AH L AH Z EY SH AH N Z
EVAPORATION	IH V AE P ER EY SH AH N
EVAPORATION(2)	IY V AE P ER EY SH AH N
EVAPORATIONS	IH V AE P AH R EY SH AH N Z
EVAPOTRANSPIRATION	EH V AH P AH T R AE N S AH R EY SH AH N
EVAPOTRANSPIRATIONS	AH V AH P AH T R AE N S AH R EY T IY AH N Z
EVECTION	AH V EH K AH N
EVECTIONS	AH V EH K T IY AH N Z
EVICTION	IH V IH K SH AH N
EVICTIONS	IH V IH K SH AH N Z
EVISCERATION	AH V IH S AH R EY SH AH N
EVISCERATIONS	AH V IH S AH R EY T IY AH N Z
EVOCATION	IY V OW K EY SH AH N
EVOCATIONS	IY V OW K EY SH AH N Z
EVOLUTION	EH V AH L UW SH AH N
EVOLUTION(2)	IY V AH L UW SH AH N
EVOLUTION(3)	EH V OW L UW SH AH N
EVOLUTION(4)	IY V OW L UW SH AH N
EVOLUTIONARILY	EH V AH L UW SH AH N EH R IY L IY
EVOLUTIONARY	EH V AH L UW SH AH N EH R IY
EVOLUTIONARY(2)	IY V AH L UW SH AH N EH R IY
EVOLUTIONARY(3)	EH V OW L UW SH AH N EH R IY
EVOLUTIONARY(4)	IY V OW L UW SH AH N EH R IY
EVOLUTIONISM	EH V AH L UW SH AH N IH Z AH M
EVOLUTIONISMS	EH V AH L UW SH AH N IH Z AH M Z
EVOLUTIONIST	EH V AH L UW SH AH N IH S T
EVOLUTIONISTS	EH V AH L UW SH AH N IH S T S
EVOLUTIONS	EH V AH L UW SH AH N Z
EXACERBATION	IH G Z AE S ER B EY SH AH N
EXACERBATIONS	IH G Z AE S ER B EY SH AH N Z
EXACTION	IH G Z AE K SH AH N
EXACTIONS	IH G Z AE K SH AH N Z
EXAGGERATION	IH G Z AE JH ER EY SH AH N
EXAGGERATIONS	IH G Z AE JH ER EY SH AH N Z
EXALTATION	IH G Z AO L T EY SH AH N
EXALTATIONS	IH G Z AO L T EY SH AH N Z
EXAMINATION	IH G Z AE M AH N EY SH AH N
EXAMINATIONAL	EH G Z AE M AH N EY SH AH N AH L
EXAMINATIONS	IH G Z AE M AH N EY SH AH N Z
EXASPERATION	EH K S AE S P ER EY SH AH N
EXASPERATIONS	IH G Z AE S P AH R EY SH AH N Z
EXCAVATION	EH K S K AH V EY SH AH N
EXCAVATIONAL	EH K S K AH V EY SH AH N AH L
EXCAVATIONS	EH K S K AH V EY SH AH N Z
EXCEPTION	IH K S EH P SH AH N
EXCEPTIONABILITIES	IH K S EH P SH AH N AH B IH L AH T EH Z
EXCEPTIONABILITY	IH K S EH P SH AH N AH B IH L AH T EH
EXCEPTIONABLE	IH K S EH P SH AH N AH B AH L
EXCEPTIONABLY	IH K S EH P SH AH N AH B L IY
EXCEPTIONAL	IH K S EH P SH AH N AH L
EXCEPTIONALISM	IH K S EH P SH AH N AH L IH Z AH M
EXCEPTIONALISMS	IH K S EH P SH AH N AH L IH Z AH M Z
EXCEPTIONALITIES	IH K S EH P SH AH N AH L AH T IY Z
EXCEPTIONALITY	IH K S EH P SH AH N AH L AH T IY
EXCEPTIONALLY	IH K S EH P SH AH N AH L IY
EXCEPTIONALLY(2)	IH K S EH P SH N AH L IY
EXCEPTIONALNESS	IH K S EH P SH AH N AH L N AH S
EXCEPTIONALNESSES	IH K S EH P SH AH N AH L N AH S IH Z
EXCEPTIONS	IH K S EH P SH AH N Z
EXCERPTION	EH K S ER P SH AH N
EXCERPTIONS	EH K S ER P SH AH N Z
EXCITATION	EH K S AY T EY SH AH N
EXCITATIONS	IH K S AY T EY SH AH N Z
EXCLAMATION	EH K S K L AH M EY SH AH N
EXCLAMATIONS	EH K S K L AH M EY SH AH N Z
EXCOGITATION	IH K S AH JH AH T EY SH AH N
EXCOGITATIONS	IH K S AH JH AH T EY T IY AH N Z
EXCOMMUNICATION	EH K S K AH M Y UW N AH K EY SH AH N
EXCOMMUNICATIONS	EH K S K AH M Y UW N AH K EY SH AH N Z
EXCORIATION	EH K S K AO R IY EY SH AH N
EXCORIATIONS	EH K S K OW R IY EY SH AH N Z
EXCREMENTITIOUS	IH K S R AH M EH N T AH SH AH S
EXCRETION	IH K S K R IY SH AH N
EXCRETIONS	EH K S K R IY SH AH N Z
EXCRUCIATION	IH K S K R UW SH IY EY SH AH N
EXCRUCIATIONS	IH K S K R UW SH IY EY SH AH N Z
EXCULPATION	IH K S AH L P EY SH AH N
EXCULPATIONS	IH K S AH L P EY T IY AH N Z
EXECRATION	IH G Z EH K R EY SH AH N
EXECRATIONS	IH G Z EH K R EY T IY AH N Z
EXECUTION	EH K S AH K Y UW SH AH N
EXECUTIONER	EH K S AH K Y UW SH AH N ER
EXECUTIONERS	EH K S AH K Y UW SH AH N ER Z
EXECUTIONS	EH K S AH K Y UW SH AH N Z
EXEMPLIFICATION	IH G Z EH M P L AH F AH K EY SH AH N
EXEMPLIFICATIONS	IH G Z EH M P L AH F AH K EY SH AH N Z
EXEMPTION	IH G Z EH M P SH AH N
EXEMPTIONS	IH G Z EH M P SH AH N Z
EXENTERATION	EH K S EH N T ER EY SH AH N
EXENTERATIONS	EH K S EH N T ER EY SH AH N Z
EXERCITATION	IH G Z AH R S AH T EY SH AH N
EXERCITATIONS	IH G Z AH R S AH T EY T IY AH N Z
EXERTION	IH G Z ER SH AH N
EXERTIONS	IH G Z ER SH AH N Z
EXFOLIATION	EH K S F OW L IY EY SH AH N
EXFOLIATIONS	IH K S OW L IY EY T IY AH N Z
EXHALATION	EH K S HH AH L EY SH AH N
EXHALATIONS	EH K S HH EY L EY SH AH N Z
EXHAUSTION	IH G Z AO S CH AH N
EXHAUSTIONS	IH G Z AO S SH AH N Z
EXHIBITION	EH K S AH B IH SH AH N
EXHIBITIONER	EH K S AH B IH SH AH N ER
EXHIBITIONERS	EH K S AH B IH SH AH N ER Z
EXHIBITIONISM	EH K S AH B IH SH AH N IH Z AH M
EXHIBITIONISMS	EH K S AH B IH SH AH N IH Z AH M Z
EXHIBITIONIST	EH K S AH B IH SH AH N IH S T
EXHIBITIONISTIC	EH K S AH B IH SH AH N IH S T IH K
EXHIBITIONISTICALLY	EH K S AH B IH SH AH N IH S T IH K AH L IY
EXHIBITIONISTS	EH K S AH B IH SH AH N IH S T S
EXHIBITIONS	EH K S AH B IH SH AH N Z
EXHILARATION	IH G Z IH L ER EY SH AH N
EXHILARATIONS	IH G Z IH L ER EY SH AH N Z
EXHORTATION	EH G Z AO R T EY SH AH N
EXHORTATIONS	EH G Z AO R T EY SH AH N Z
EXHUMATION	EH K S HH Y UW M EY SH AH N
EXHUMATIONS	EH K S Y UW M EY SH AH N Z
EXONERATION	IH G Z AA N ER EY SH AH N
EXONERATIONS	IH G Z AA N AH R EY SH AH N Z
EXPATIATION	EH K S P EY SH EY SH AH N
EXPATIATIONS	EH K S P EY SH EY SH AH N Z
EXPATRIATION	EH K S P EY T R IY EY SH AH N
EXPATRIATIONS	EH K S P AE T R IY EY SH AH N Z
EXPECTATION	EH K S P EH K T EY SH AH N
EXPECTATIONAL	IH K S P EH K T EY SH AH N AH L
EXPECTATIONS	EH K S P EH K T EY SH AH N Z
EXPECTORATION	IH K S P EH K T ER EY SH AH N
EXPECTORATIONS	IH K S P EH K T ER EY SH AH N Z
EXPEDITION	EH K S P AH D IH SH AH N
EXPEDITIONARY	EH K S P AH D IH SH AH N EH R IY
EXPEDITIONS	EH K S P AH D IH SH AH N Z
EXPEDITIOUS	EH K S P AH D IH SH AH S
EXPEDITIOUSLY	EH K S P AH D IH SH AH S L IY
EXPEDITIOUSNESS	EH K S P AH D IH SH AH S N AH S
EXPEDITIOUSNESSES	EH K S P AH D IH SH AH S N AH S IH Z
EXPERIMENTATION	IH K S P EH R AH M AH N T EY SH AH N
EXPERIMENTATIONS	IH K S P EH R AH M AH N T EY SH AH N Z
EXPIATION	EH K S P IY EY SH AH N
EXPIATIONS	EH K S P IY EY SH AH N Z
EXPIRATION	EH K S P ER EY SH AH N
EXPIRATIONS	EH K S P ER EY SH AH N Z
EXPLANATION	EH K S P L AH N EY SH AH N
EXPLANATIONS	EH K S P L AH N EY SH AH N Z
EXPLANTATION	EH K S P L AE N T EY SH AH N
EXPLANTATIONS	EH K S P L AE N T EY SH AH N Z
EXPLICATION	EH K S P L AH K EY SH AH N
EXPLICATIONS	EH K S P L IH K EY SH AH N Z
EXPLOITATION	EH K S P L OY T EY SH AH N
