PH	P IY EY CH
MISEMPHASIZE	M IH S EH M F AH S AY Z
MISEMPHASIZED	M IH S EH M F AH S AY Z D
MISEMPHASIZES	M IH S EH M F AH S AY Z IH Z
MISEMPHASIZING	M IH S EH M F AH S AY Z IH NG
MISPHRASE	M IH S F R EY Z
MISPHRASED	M IH S F R EY Z D
MISPHRASES	M IH S F R EY Z IH Z
MISPHRASING	M IH S F R EY Z IH NG
MONADELPHOUS	M AA N AH D EH L F AH S
MONOGRAPH	M AA N AH G R AE F
MONOGRAPHED	M AA N AH G R AE F T
MONOGRAPHIC	M AA N AH G R AE F IH K
MONOGRAPHING	M AA N AH G R AE F IH NG
MONOGRAPHS	M AA N AH G R AE F S
MONOMORPHEMIC	M AA N OW M AO R F IY M IH K
MONOMORPHIC	M AA N OW M AO R F IH K
MONOMORPHISM	M AA N OW M AO R F IH Z AH M
MONOMORPHISMS	M AA N OW M AO R F IH Z AH M Z
MONOPHAGIES	M AH N AA F AH JH AY Z
MONOPHAGOUS	M AA N AH F EY JH AH S
MONOPHAGY	M AH N AA F AH JH IY
MONOPHONIC	M AA N AH F AA N IH K
MONOPHONICALLY	M AA N AH F AA N IH K AH L IY
MONOPHONIES	M AA N OW F OW N IY Z
MONOPHONY	M AA N OW F OW N IY
MONOPHTHONG	M AH N AA F TH AH NG
MONOPHTHONGAL	M AH N AA F TH AA N G AH L
MONOPHTHONGS	M AH N AA F TH AH NG Z
MONOPHYLETIC	M AH N AA F AH L AH T AH K
MONOPHYLIES	M AH N AA F AH L AY Z
MONOPHYLY	M AH N AA F AH L IY
MORPH	M AO R F
MORPHACTIN	M AO R F AE K T IH N
MORPHACTINS	M AO R F AE K T IH N Z
MORPHALLAXES	M AO R F AO L AE K S IH Z
MORPHALLAXIS	M AO R F AO L AE K S AH S
MORPHED	M AO R F T
MORPHEME	M AO R F IY M
MORPHEMES	M AO R F IY M Z
MORPHEMIC	M AO R F IY M IH K
MORPHEMICALLY	M AO R F IY M IH K AH L IY
MORPHEMICS	M AO R F IY M IH K S
MORPHIA	M AO R F IY AH
MORPHIAS	M AO R F IY AH Z
MORPHIC	M AO R F IH K
MORPHIN	M AO R F AH N
MORPHINE	M AO R F IY N
MORPHINES	M AO R F IY N Z
MORPHING	M AO R F IH NG
MORPHINISM	M AO R F IY N IH Z AH M
MORPHINISMS	M AO R F IY N IH Z AH M Z
MORPHINS	M AO R F IH N Z
MORPHO	M AO R F OW
MORPHOGEN	M AO R F AH JH AH N
MORPHOGENESES	M AO R F AA JH AH N IY Z AH Z
MORPHOGENESIS	M AO R F AH JH EH N AH S AH S
MORPHOGENETIC	M AO R F AA JH AH N AH T AH K
MORPHOGENETICALLY	M AO R F AH JH AH N EH T AH K AE L IY
MORPHOGENIC	M AO R F AH JH AH N AH K
MORPHOGENS	M AO R F AH JH AH N Z
MORPHOLOGIC	M AO R F AH L AH JH AH K
MORPHOLOGICAL	M AO R F AH L AA JH IH K AH L
MORPHOLOGICALLY	M AO R F AH L AA JH IH K AH L IY
MORPHOLOGIES	M AO R F AA L AH JH IY Z
MORPHOLOGIST	M AO R F AA L AH JH AH S T
MORPHOLOGISTS	M AO R F AA L AH JH AH S T S
MORPHOLOGY	M AO R F AA L AH JH IY
MORPHOMETRIC	M AO R F AH M AH T R AH K
MORPHOMETRICALLY	M AO R F AH M EH T R AH K AE L IY
MORPHOMETRIES	M AO R F AH M EH T R AY Z
MORPHOMETRY	M AO R F AH M EH T R IY
MORPHOPHONEMICS	M AO R F OW F AH N IY M IH K S
MORPHOS	M AO R F AA S
MORPHS	M AO R F S
MULTIPHASE	M AH L T AY F EY Z
MULTIPHASIC	M AH L T AY F EY Z IH K
MULTIPHOTON	M AH L T AH F AA T AH N
MURPHIES	M ER F IY Z
MURPHY	M ER F IY
MYCETOPHAGOUS	M AH S EH T AH F EY JH AH S
MYCOPHAGIES	M AH K AA F AH JH AY Z
MYCOPHAGIST	M AH K AA F AH JH AH S T
MYCOPHAGISTS	M AH K AA F AH JH AH S T S
MYCOPHAGOUS	M IH K AH F EY JH AH S
MYCOPHAGY	M AH K AA F AH JH IY
MYCOPHILE	M IH K AH F AY L
MYCOPHILES	M IH K AH F AY L Z
MYELENCEPHALA	M AY AH L AH N S EH F AH L AH
MYELENCEPHALIC	M AY AH L EH N S AH F AH L AH K
MYELENCEPHALON	M AY AH L AH N S EH F AH L AH N
MYELENCEPHALONS	M AY AH L AH N S EH F AH L AH N Z
MYOGRAPH	M AY AA G R AH F
MYOGRAPHS	M AY AA G R AH F S
MYRMECOPHILE	M AH R M EH K AH F AY L
MYRMECOPHILES	M AH R M EH K AH F AY L Z
MYRMECOPHILOUS	M AH R M EH K AH F AY L AH S
MYTHOGRAPHER	M AH TH AA G R AH F AH R
MYTHOGRAPHERS	M AH TH AA G R AH F AH R Z
MYTHOGRAPHIES	M AH TH AA G R AH F AY Z
MYTHOGRAPHY	M AH TH AA G R AH F IY
NALORPHINE	N AE L AH R F AY N
NALORPHINES	N AE L AH R F AY N Z
NAPHTHA	N AE F TH AH
NAPHTHALENE	N AE F TH AH L IY N
NAPHTHALENES	N AE F TH AH L IY N Z
NAPHTHAS	N AE F TH AH Z
NAPHTHENE	N AE F TH IY N
NAPHTHENES	N AE F TH IY N Z
NAPHTHENIC	N AE F TH AH N AH K
NAPHTHOL	N AE F TH AH L
NAPHTHOLS	N AE F TH AH L Z
NAPHTHYL	N AE F TH AH L
NAPHTHYLAMINE	N AE F TH IH L AH M AY N
NAPHTHYLAMINES	N AE F TH IH L AH M AY N Z
NAPHTHYLS	N AE F TH AH L Z
NAPHTOL	N AE F T AH L
NAPHTOLS	N AE F T AH L Z
NASOPHARYNGEAL	N AH S AA F AH R IH N JH IY AH L
NASOPHARYNGES	N AH S AA F AH R IH N JH AH Z
NASOPHARYNX	N AH S AA F ER IH NG K S
NASOPHARYNXES	N AH S AA F AH R AH NG K S
NECROPHAGOUS	N EH K R AH F EY JH AH S
NECROPHILIA	N EH K R AH F IH L Y AH
NECROPHILIAC	N EH K R AH F IH L IY AH K
NECROPHILIACS	N EH K R AH F IH L IY AH S
NECROPHILIAS	N EH K R AH F IH L Y AH Z
NECROPHILIC	N EH K R AH F AY L AH K
NECROPHILISM	N EH K R AH F AH L IH Z AH M
NECROPHILISMS	N EH K R AA F AH L AH Z AH M Z
NEGROPHOBE	N EH G R AH F OW B
NEGROPHOBES	N EH G R AH F OW B Z
NEGROPHOBIA	N EH G R AH F OW B IY AH
NEGROPHOBIAS	N EH G R AH F OW B IY AH Z
NEMOPHILA	N AH M AA F AH L AH
NEMOPHILAS	N AH M AA F AH L AH Z
NEOMORPH	N IY OW M AO R F
NEOMORPHS	N IY OW M AO R F S
NEOPHILIA	N IY AH F IH L Y AH
NEOPHILIAC	N IY AH F IH L IY AH K
NEOPHILIACS	N IY AH F IH L IY AH S
NEOPHILIAS	N IY AH F IH L Y AH Z
NEOPHYTE	N IY AH F AY T
NEOPHYTES	N IY AH F AY T S
NEPHELINE	N EH F AH L AY N
NEPHELINES	N EH F AH L AY N Z
NEPHELINIC	N EH F AH L AH N AH K
NEPHELINITE	N AH F EH L AH N AY T
NEPHELINITES	N AH F EH L AH N AY T S
NEPHELINITIC	N AH F EH L AH N AH T AH K
NEPHELITE	N EH F AH L AY T
NEPHELITES	N EH F AH L AY T S
NEPHELOMETER	N EH F AH L AA M AH T AH R
NEPHELOMETERS	N EH F AH L AA M AH T AH R Z
NEPHELOMETRIC	N AH F EH L AH M AH T R AH K
NEPHELOMETRICALLY	N EH F AH L AH M EH T R AH K AE L IY
NEPHELOMETRIES	N EH F AH L AH M EH T R AY Z
NEPHELOMETRY	N EH F AH L AH M EH T R IY
NEPHEW	N EH F Y UW
NEPHEWS	N EH F Y UW Z
NEPHOSCOPE	N EH F AH S OW P
NEPHOSCOPES	N EH F AH S OW P S
NEPHRECTOMIES	N EH F R EH K T AH M AY Z
NEPHRECTOMIZE	N EH F R EH K T AH M AY Z
NEPHRECTOMIZED	N EH F R EH K T AH M AY Z D
NEPHRECTOMIZES	N EH F R EH K T AH M AY Z AH Z
NEPHRECTOMIZING	N EH F R EH K T AH M AY Z AH NG
NEPHRECTOMY	N EH F R EH K T AH M IY
NEPHRIC	N EH F R AH K
NEPHRIDIA	N EH F R IH D IY AH
NEPHRIDIAL	N EH F R IH D IY AH L
NEPHRIDIUM	N AH F R IH D IY AH M
NEPHRISM	N EH F R AH Z AH M
NEPHRISMS	N EH F R AH Z AH M Z
NEPHRITE	N EH F R AY T
NEPHRITES	N EH F R AY T S
NEPHRITIC	N EH F R AH T AH K
NEPHRITIDES	N EH F R AH T AY D Z
NEPHRITIS	N EH F R AY T AH S
NEPHROLOGIES	N EH F R AA L AH JH AY Z
NEPHROLOGIST	N EH F R AA L AH JH AH S T
NEPHROLOGISTS	N EH F R AA L AH JH AH S T S
NEPHROLOGY	N EH F R AA L AH JH IY
NEPHRON	N EH F R AA N
NEPHRONS	N EH F R AH N Z
NEPHROPATHIC	N EH F R AH P AH TH AH K
NEPHROPATHIES	N EH F R AA P AH TH AY Z
NEPHROPATHY	N EH F R AA P AH TH IY
NEPHROSES	N EH F R OW Z AH Z
NEPHROSIS	N AH F R OW S AH S
NEPHROSTOME	N EH F R AH S T OW M
NEPHROSTOMES	N EH F R AH S T OW M Z
NEPHROTIC	N EH F R AH T AH K
NEPHROTICS	N EH F R AH T AH S Z
NEPHROTOXIC	N EH F R AH T AH K S AH K
NEPHROTOXICITIES	N EH F R AH T AA K S IH S AH T AY Z
NEPHROTOXICITY	N EH F R AH T AA K S IH S AH T IY
NEUROHYPOPHYSEAL	N Y UH R AH HH IH P AH F IH Z IY AH L
NEUROHYPOPHYSES	N Y AH R AH HH IH P AH F AY Z AH Z
NEUROHYPOPHYSIAL	N Y UH R AH HH IH P AH F IH Z IY AH L
NEUROHYPOPHYSIS	N Y UH R AH HH AH P AA F AH S AH S
NEUROPHARMACOLOGIC	N Y UH R AH F AH R M AE K AH L AH JH AH K
NEUROPHARMACOLOGICAL	N Y UH R AH F AA R M AH K AA L AH JH IH S AH L
NEUROPHARMACOLOGIES	N Y AH R AH F AA R M AH K AA L AH JH AY Z
NEUROPHARMACOLOGIST	N Y UH R AH F AA R M AH K AA L AH JH AH S T
NEUROPHARMACOLOGISTS	N Y AH R AH F AA R M AH K AA L AH JH AH S T S
NEUROPHARMACOLOGY	N Y UH R AH F AA R M AH K AA L AH JH IY
NEUROPHYSIOLOGIC	N Y UH R AH F AH S IY AH L AH JH AH K
NEUROPHYSIOLOGICAL	N Y AH R AA F AH S IY AA L AH JH IH S AH L
NEUROPHYSIOLOGICALLY	N Y AH R AH F IH S IY AH L AA JH AH K AE L IY
NEUROPHYSIOLOGIES	N Y AH R AA F AH S IY AA L AH JH AY Z
NEUROPHYSIOLOGIST	N Y AH R AA F AH S IY AA L AH JH AH S T
NEUROPHYSIOLOGISTS	N Y AH R AA F AH S IY AA L AH JH AH S T S
NEUROPHYSIOLOGY	N Y AH R AA F AH S IY AA L AH JH IY
NEUTROPHIL	N UW T R AH F IH L
NEUTROPHILIC	N UW T R AH F IH L IH K
NEUTROPHILS	N UW T R AH F IH L Z
NOMOGRAPH	N AH M AA G R AH F
NOMOGRAPHIC	N AH M AA G R AH F AH K
NOMOGRAPHIES	N AH M AA G R AH F AY Z
NOMOGRAPHS	N AH M AA G R AH F S
NOMOGRAPHY	N AH M AA G R AH F IY
NONALPHABETIC	N AA N AE L F AH B EH T IH K
NONBIBLIOGRAPHIC	N AA N B IH B L IY AH G R AE F IH K
NONBIOGRAPHICAL	N AA N B AY AH G R AE F IH K AH L
NONEMPHATIC	N AA N IH M F AE T IH K
NONMETAPHORICAL	N AA N M EH T AH F AO R IH K AH L
NONPHILOSOPHER	N AA N F AH L AA S AH F ER
NONPHILOSOPHERS	N AA N F AH L AA S AH F ER Z
NONPHILOSOPHICAL	N AA N F IH L AH S AA F IH K AH L
NONPHONEMIC	N AA N F OW N IY M IH K
NONPHONETIC	N AA N F AH N EH T IH K
NONPHOSPHATE	N AA N F AA S F EY T
NONPHOSPHATES	N AA N F AA S F EY T S
NONPHOTOGRAPHIC	N AA N F OW T AH G R AE F IH K
NONPHYSICAL	N AA N F IH Z AH K AH L
NONPHYSICIAN	N AA N F AH Z IH SH AH N
NONPHYSICIANS	N AA N F AH Z IH SH AH N Z
NONSCHIZOPHRENIC	N AA N S K IH T S AH F R EH N IH K
NONSPHERICAL	N AA N S F IH ER IH K AH L
NOOSPHERE	N UW S AH R
NOOSPHERES	N UW S IY R Z
NOREPINEPHRINE	N AH R AH P IH N AH F R AY N
NOREPINEPHRINES	N AH R AH P IH N AH F R AY N Z
NUCLEOPHILE	N AH K L IY AH F AY L
NUCLEOPHILES	N AH K L IY AH F AY L Z
NUCLEOPHILIC	N AH K L IY AH F AY L AH K
NUCLEOPHILICALLY	N AH K L IY AH F IH L AH K AE L IY
NUCLEOPHILICITIES	N AH K L IY AH F AH L IH S AH T AY Z
NUCLEOPHILICITY	N AH K L IY AH F AH L IH S AH T IY
NYMPH	N IH M F
NYMPHA	N IH M F AH
NYMPHAE	N IH M F IY
NYMPHAL	N IH M F AH L
NYMPHALID	N IH M F AH L AH D
NYMPHALIDS	N IH M F AH L AH D Z
NYMPHEAN	N IH M F IY AH N
NYMPHET	N IH M F AH T
NYMPHETS	N IH M F AH T S
NYMPHETTE	N IH M F EH T
NYMPHETTES	N IH M F EH T S
NYMPHO	N IH M F OW
NYMPHOLEPSIES	N IH M F AH L EH P S AY Z
NYMPHOLEPSY	N IH M F AH L EH P S IY
NYMPHOLEPT	N IH M F AH L AH P T
NYMPHOLEPTIC	N IH M F AH L AH P T AH K
NYMPHOLEPTS	N IH M F AH L AH P T S
NYMPHOMANIA	N IH M F AH M EY N Y AH
NYMPHOMANIAC	N IH M F OW M EY N IY AE K
NYMPHOMANIACAL	N IH M F AH M EY N IY AE K AH L
NYMPHOMANIACS	N IH M F OW M EY N IY AE K S
NYMPHOMANIAS	N IH M F AH M EY N Y AH Z
NYMPHOS	N IH M F AA S
NYMPHS	N IH M F S
OCEANOGRAPHER	OW SH AH N AA G R AH F ER
OCEANOGRAPHERS	OW S AH N AA G R AH F AH R Z
OCEANOGRAPHIC	OW SH AH N AH G R AE F IH K
OCEANOGRAPHICAL	OW SH AH N AH G R AE F IH K AH L
OCEANOGRAPHICALLY	OW SH AH N AH G R AE F IH K AH L IY
OCEANOGRAPHIES	OW SH AH N AA G R AH F IY Z
OCEANOGRAPHY	OW SH AH N AA G R AH F IY
ODOGRAPH	AH D AA G R AH F
ODOGRAPHS	AH D AA G R AH F S
OENOPHILE	IY N AH F AY L
OENOPHILES	OW EH N AH F AY L Z
OESOPHAGI	OW AH S AA F AH JH IY
OESOPHAGUS	OW AH S AA F AH JH AH S
OLEOGRAPH	OW L IY AA G R AH F
OLEOGRAPHS	OW L IY AA G R AH F S
OLIGOPHAGIES	AA L AH G AA F AH JH AY Z
OLIGOPHAGOUS	AH L IH G AH F EY JH AH S
OLIGOPHAGY	AA L AH G AA F AH JH IY
OLIGOTROPHIC	AA L AH G AA T R AH F AH K
OMOPHAGIES	AH M AA F AH JH AY Z
OMOPHAGY	AH M AA F AH JH IY
OMPHALI	AA M F AH L IY
OMPHALOS	AA M F AH L AH Z
OMPHALOSES	AA M F AH L OW Z AH Z
OMPHALOSKEPSES	AA M F AH L AA S EH P S AH Z
OMPHALOSKEPSIS	AA M F AH L AA S EH P S AH S
ONYCHOPHORAN	AA N AH CH AA F AH R AH N
ONYCHOPHORANS	AA N AH CH AA F AH R AH N Z
OOMPH	UW M F
OOMPHS	UW M F S
OOPHORECTOMIES	UW F AH R EH K T AH M AY Z
OOPHORECTOMY	UW F AH R EH K T AH M IY
OOPHYTE	UW F AY T
OOPHYTES	UW F AY T S
OOPHYTIC	UW F AH T AH K
OOSPHERE	UW S AH R
OOSPHERES	UW S IY R Z
OPHIDIAN	AH F IH D IY AH N
OPHIDIANS	AH F IH D IY AH N Z
OPHITE	AH F AY T
OPHITES	AH F AY T S
OPHITIC	AA F AH T AH K
OPHIUROID	AH F AY Y AH R OY D
OPHIUROIDS	AA F IY AH R OY D Z
OPHTHALMIA	AA F TH AE L M IY AH
OPHTHALMIAS	AA F TH AE L M IY AH Z
OPHTHALMIC	AA F TH AE L M IH K
OPHTHALMOLOGIC	AA F TH AE L M AH L AH JH AH K
OPHTHALMOLOGICAL	AA F TH AE L M AA L AH JH IH S AH L
OPHTHALMOLOGICALLY	AA F TH AE L M AH L AA JH AH K AE L IY
OPHTHALMOLOGIES	AA F TH AE L M AA L AH JH AY Z
OPHTHALMOLOGIST	AA P TH AH M AA L AH JH IH S T
OPHTHALMOLOGIST(2)	AA F TH AH M AA L AH JH IH S T
OPHTHALMOLOGISTS	AA P TH AH M AA L AH JH IH S T S
OPHTHALMOLOGISTS(2)	AA P TH AH M AA L AH JH IH S
OPHTHALMOLOGISTS(3)	AA F TH AH M AA L AH JH IH S T S
OPHTHALMOLOGISTS(4)	AA F TH AH M AA L AH JH IH S
OPHTHALMOLOGY	AA P TH AH M AA L AH JH IY
OPHTHALMOLOGY(2)	AA F TH AH M AA L AH JH IY
OPHTHALMOSCOPE	AA F TH AE L M AH S K OW P
OPHTHALMOSCOPES	AA F TH AE L M AH S OW P S
OPHTHALMOSCOPIC	AA F TH AH L M AA S AH P AH K
OPHTHALMOSCOPIES	AA F TH AH L M AA S AH P AY Z
OPHTHALMOSCOPY	AA F TH AH L M AA S AH P IY
ORGANOPHOSPHATE	AO R G AH N AA F AH S EY T
ORGANOPHOSPHATES	AO R G AH N AA F AH S EY T S
ORGANOPHOSPHOROUS	AO R G AH N AH F AA S AH R AH S
ORGANOPHOSPHORUS	AO R G AH N AH F AA S AH R AH S
ORGANOPHOSPHORUSES	AO R G AH N AH F AA S AH R UW Z AH Z
OROGRAPHIC	AO R AH G R AE F IH K
OROGRAPHICAL	AH R AA G R AH F IH S AH L
OROGRAPHIES	AH R AA G R AH F AY Z
OROGRAPHY	AH R AA G R AH F IY
OROPHARYNGEAL	AH R AA F AH R IH N JH IY AH L
OROPHARYNGES	AH R AA F AH R IH N JH AH Z
OROPHARYNX	AH R AA F AH R AH NG K S
OROPHARYNXES	AH R AA F AH R AH NG K S
ORPHAN	AO R F AH N
ORPHANAGE	AO R F AH N AH JH
ORPHANAGES	AO R F AH N IH JH IH Z
ORPHANED	AO R F AH N D
ORPHANHOOD	AO R F AH N HH UH D
ORPHANHOODS	AO R F AH N HH UH D Z
ORPHANING	AO R F AH N IH NG
ORPHANS	AO R F AH N Z
ORPHIC	AO R F IH K
ORPHICAL	AO R F IH K AH L
ORPHICALLY	AO R F IH K AH L IY
ORPHREY	AO R F R IY
ORPHREYS	AO R F R EY Z
ORTHOGRAPHIC	AO R TH AH G R AE F IH K
ORTHOGRAPHICAL	AO R TH AH G R AE F IH K AH L
ORTHOGRAPHICALLY	AO R TH AH G R AE F IH K AH L IY
ORTHOGRAPHIES	AO R TH AA G R AH F IY Z
ORTHOGRAPHY	AO R TH AA G R AH F IY
ORTHOPHOSPHATE	AO R TH AH F AA S F EY T
ORTHOPHOSPHATES	AO R TH AH F AA S F EY T S
OSCILLOGRAPH	AA S AH L AA G R AH F
OSCILLOGRAPHIC	AA S AH L AA G R AH F AH K
OSCILLOGRAPHICALLY	AA S IH L AA G R AE F AH K AE L IY
OSCILLOGRAPHIES	AA S AH L AA G R AH F AY Z
OSCILLOGRAPHS	AA S AH L AA G R AH F S
OSCILLOGRAPHY	AA S AH L AA G R AH F IY
OUPH	UW F
OUPHE	UW F
OUPHES	UW F S
OUPHS	UW F S
OVEREMPHASES	OW V ER EH M F AH S IY Z
OVEREMPHASIS	OW V AH R EH M F AH S AH S
OVEREMPHASIZE	OW V ER EH M F AH S AY Z
OVEREMPHASIZED	OW V ER EH M F AH S AY Z D
OVEREMPHASIZES	OW V ER EH M F AH S AY Z IH Z
OVEREMPHASIZING	OW V ER EH M F AH S AY Z IH NG
OVEREMPHATIC	OW V ER IH M F AE T IH K
OVERSOPHISTICATED	OW V ER S AA F IH S T IH K EY T IH D
OXYPHENBUTAZONE	AA K S AH F AH N B Y UW T AH Z OW N
OXYPHENBUTAZONES	AA K S AH F AH N B Y UW T AH Z OW N Z
OXYPHIL	AA K S AH F AH L
OXYPHILE	AA K S AH F AY L
OXYPHILES	AA K S AH F AY L Z
OXYPHILIC	AA K S AH F AY L AH K
OXYPHILS	AA K S AH F AY L Z
OZONOSPHERE	AA Z AH N AA S AH R
OZONOSPHERES	AH Z AA N AH S IY R Z
PAEDOMORPHIC	P IY D AH M AH R F AH K
PAEDOMORPHISM	P IY D AH M AH R F IH Z AH M
PAEDOMORPHISMS	P IY D AH M AO R F AH Z AH M Z
PAEDOMORPHOSES	P IY D AA M AH R F OW Z AH Z
PAEDOMORPHOSIS	P IY D AH M AH R F OW S AH S
PALEOGEOGRAPHIC	P EY L IY OW JH IY AA G R AH F AH K
PALEOGEOGRAPHICAL	P EY L IY OW JH IY AA G R AH F IH S AH L
PALEOGEOGRAPHICALLY	P EY L IY OW JH IY AA G R AE F AH K AE L IY
PALEOGEOGRAPHIES	P EY L IY OW JH IY AA G R AH F AY Z
PALEOGEOGRAPHY	P EY L IY OW JH IY AA G R AH F IY
PALEOGRAPHER	P EY L IY AA G R AH F AH R
PALEOGRAPHERS	P EY L IY AA G R AH F AH R Z
PALEOGRAPHIC	P EY L IY AA G R AH F AH K
PALEOGRAPHICAL	P EY L IY AA G R AH F IH S AH L
PALEOGRAPHICALLY	P EY L IY AA G R AE F AH K AE L IY
PALEOGRAPHIES	P EY L IY AA G R AH F AY Z
PALEOGRAPHY	P EY L IY AA G R AH F IY
PAMPHLET	P AE M F L AH T
PAMPHLETEER	P AE M F L AH T IH R
PAMPHLETEERED	P AE M F L AH T IH R D
PAMPHLETEERING	P AE M F L AH T IH R IH NG
PAMPHLETEERS	P AE M F L AH T IH R Z
PAMPHLETS	P AE M F L AH T S
PANSOPHIES	P AE N S AH F AY Z
PANSOPHY	P AE N S AH F IY
PANTOGRAPH	P AE N T AA G R AH F
PANTOGRAPHIC	P AE N T AA G R AH F AH K
PANTOGRAPHS	P AE N T AA G R AH F S
PAPHIAN	P AE F IY AH N
PAPHIANS	P AE F IY AH N Z
PARAGRAPH	P AE R AH G R AE F
PARAGRAPH(2)	P EH R AH G R AE F
PARAGRAPHED	P AE R AH G R AE F T
PARAGRAPHER	P AE R AH G R AE F ER
PARAGRAPHERS	P AE R AH G R AE F ER Z
PARAGRAPHIC	P AE R AH G R AE F IH K
PARAGRAPHING	P AE R AH G R AE F IH NG
PARAGRAPHS	P AE R AH G R AE F S
PARAGRAPHS(2)	P EH R AH G R AE F S
PARANYMPH	P AA R AH N IH M F
PARANYMPHS	P AA R AH N IH M F S
PARAPH	P AE R AH F
PARAPHERNALIA	P EH R AH F AH N EY L Y AH
PARAPHRASABLE	P AE R AH F R EY Z AH B AH L
PARAPHRASE	P EH R AH F R EY Z
PARAPHRASED	P AE R AH F R EY Z D
PARAPHRASER	P AE R AH F R EY Z ER
PARAPHRASERS	P AE R AH F R EY Z ER Z
PARAPHRASES	P AE R AH F R EY Z IH Z
PARAPHRASING	P EH R AH F R EY Z IH NG
PARAPHRASTIC	P AH R AE F R AH S T AH K
PARAPHRASTICALLY	P AE R AH F R AE S T AH K AE L IY
PARAPHS	P AE R AH F S
PARAPHYSES	P AE R AH F AY Z AH Z
PARAPHYSIS	P AH R AE F AH S AH S
PARATYPHOID	P AA R AH T AY F OY D
PARATYPHOIDS	P AA R AH T AY F OY D Z
PATHOPHYSIOLOGIC	P AE TH AH F AH S IY AH L AH JH AH K
PATHOPHYSIOLOGICAL	P AH TH AA F AH S IY AA L AH JH IH S AH L
PATHOPHYSIOLOGIES	P AH TH AA F AH S IY AA L AH JH AY Z
PATHOPHYSIOLOGY	P AH TH AA F AH S IY AA L AH JH IY
PEDOPHILE	P EH D OW F AY L
PEDOPHILE(2)	P EH D AH F IH L
PEDOPHILES	P EH D OW F AY L Z
PEDOPHILES(2)	P EH D AH F IH L Z
PEDOPHILIA	P EH D AH F IH L Y AH
PEDOPHILIAC	P EH D AH F IH L Y AE K
PEDOPHILIAS	P EH D AH F IH L Y AH Z
PEDOPHILIC	P EH D OW F IH L IH K
PEEPHOLE	P IY P HH OW L
PEEPHOLES	P IY P HH OW L Z
PEMPHIGUS	P EH M F AH G AH S
PEMPHIGUSES	P EH M F AH G Y UW Z AH Z
PEMPHIX	P EH M F AH K S
PEMPHIXES	P EH M F AH K S
PENTACHLOROPHENOL	P EH N T AE K L AH R AA F AH N AH L
PENTACHLOROPHENOLS	P EH N T AE K L AH R AA F AH N AH L Z
PERILYMPH	P AH R IH L AH M F
PERILYMPHS	P AH R IH L AH M F S
PERIPHERAL	P ER IH F ER AH L
PERIPHERAL(2)	P ER IH F R AH L
PERIPHERALLY	P ER IH F ER AH L IY
PERIPHERALLY(2)	P ER IH F R AH L IY
PERIPHERALS	P ER IH F ER AH L Z
PERIPHERALS(2)	P ER IH F R AH L Z
PERIPHERIES	P AH R IH F ER IY Z
PERIPHERY	P ER IH F ER IY
PERIPHRASES	P AH R IH F R EY Z AH Z
PERIPHRASIS	P AH R IH F R AH S AH S
PERIPHRASTIC	P EH R AH F R AE S T IH K
PERIPHRASTICALLY	P EH R AH F R AE S T IH K AH L IY
PERIPHYTIC	P AH R IH F AH T AH K
PERIPHYTON	P AH R IH F AH T AH N
PERIPHYTONS	P AH R IH F AH T AH N Z
PERPHENAZINE	P AH R F EH N AH Z AY N
PERPHENAZINES	P AH R F EH N AH Z AY N Z
PETROGLYPH	P EH T R OW G L IH F
PETROGLYPHS	P EH T R OW G L IH F S
PETROGRAPHER	P EH T R AA G R AH F AH R
PETROGRAPHERS	P EH T R AA G R AH F AH R Z
PETROGRAPHIC	P EH T R AA G R AH F AH K
PETROGRAPHICAL	P EH T R AA G R AH F IH S AH L
PETROGRAPHICALLY	P EH T R AA G R AE F AH K AE L IY
PETROGRAPHIES	P EH T R AA G R AH F AY Z
PETROGRAPHY	P EH T R AA G R AH F IY
PHAETON	F IY T AH N
PHAETONS	F IY T AH N Z
PHAGE	F EY JH
PHAGES	F EY JH AH Z
PHAGOCYTE	F AE G AH S AY T
PHAGOCYTES	F AE G AH S AY T S
PHAGOCYTIC	F AE G AH S AY T IH K
PHAGOCYTIZE	F AE G AH S AY T AY Z
PHAGOCYTIZED	F AE G AH S AY T AY Z D
PHAGOCYTIZES	F AE G AH S AY T AY Z IH Z
PHAGOCYTIZING	F AE G AH S AY T AY Z IH NG
PHAGOCYTOSE	F AH G AA S AH T OW Z
PHAGOCYTOSED	F AH G AA S AH T OW Z D
PHAGOCYTOSES	F AH G AA S AH T OW Z AH Z
PHAGOCYTOSING	F AH G AA S AH T OW Z AH NG
PHAGOCYTOSIS	F AE G AH S AH T OW S AH S
PHAGOCYTOTIC	F AH G AA S AH T AH T AH K
PHALANGE	F AH L AE N JH
PHALANGE(2)	F AH L EY N JH
PHALANGEAL	F AH L AE N JH IY AH L
PHALANGER	F AE L AH NG AH R
PHALANGERS	F AH L AE N JH AH R Z
PHALANGES	F AH L AE N JH IY Z
PHALANGES(2)	F AH L EY N JH IH Z
PHALANSTERIES	F AH L AE N S T AH R AY Z
PHALANSTERY	F AE L AH N S T EH R IY
PHALANX	F EY L AE NG K S
PHALANXES	F EY L AE NG K S IH Z
PHALAROPE	F AE L AH R OW P
PHALAROPES	F AE L AH R OW P S
PHALLI	F AE L IY
PHALLIC	F AE L IH K
PHALLICALLY	F AE L AH K AE L IY
PHALLICISM	F AE L AH S IH Z AH M
PHALLICISMS	F AE L AH S AH Z AH M Z
PHALLISM	F AE L AH Z AH M
