LE	L AH
CORRUPTIBLE	K ER AH P T IH B AH L
CORSELET	K AA R S L EH T
CORSELETS	K AA R S EH L AH T S
CORSELETTE	K AA R S AH L EH T
CORSELETTES	K AA R S AH L EH T S
CORSLET	K AO R S L AH T
CORSLETS	K AA R S L EH T S
CORULER	K OW R UW L ER
CORULERS	K OW R UW L ER Z
COSTLESS	K AO S T L AH S
COSTLESSLY	K AO S T L AH S L IY
COTTERLESS	K AA T ER L AH S
COTYLEDON	K AA T IY L EH D AO N
COTYLEDONARY	K AA T IY L EH D AO N EH R IY
COTYLEDONS	K AA T IY L EH D AO N Z
COULEE	K UW L IY
COULEES	K OW Y AH L IY Z
COUNSELED	K AW N S AH L D
COUNSELEE	K AW N S AH L IY
COUNSELEES	K AW N S AH L IY Z
COUNSELLED	K AW N S AH L D
COUNTABLE	K AW N T AH B AH L
COUNTEREXAMPLE	K AW N T ER IH G Z AE M P AH L
COUNTEREXAMPLES	K AW N T ER IH G Z AE M P AH L Z
COUNTERPLEA	K AW N T ER P L IY
COUNTERPLEAS	K AW N T ER P L IY Z
COUNTERSTYLE	K AW N T ER S T AY L
COUNTERSTYLES	K AW N T ER S T AY L Z
COUNTERVAILED	K AW N T ER V EY L D
COUNTERVIOLENCE	K AW N T ER V AY AH L AH N S
COUNTERVIOLENCES	K AW N T ER V AY AH L AH N S IH Z
COUNTLESS	K AW N T L AH S
COUNTLESSLY	K AW N T L AH S L IY
COUPLE	K AH P AH L
COUPLED	K AH P AH L D
COUPLEMENT	K AH P AH L M AH N T
COUPLEMENTS	K AH P AH L M AH N T S
COUPLER	K AH P L ER
COUPLERS	K AH P L ER Z
COUPLES	K AH P AH L Z
COUPLET	K UW L AH T
COUPLETS	K UW L AH T S
COVALENCE	K OW V EY L AH N S
COVALENCES	K OW V EY L AH N S IH Z
COVALENCIES	K OW V EY L AH N S IY Z
COVALENCY	K OW V EY L AH N S IY
COVALENT	K OW V EY L AH N T
COVALENTLY	K OW V EY L AH N T L IY
COVERABLE	K OW V EH R AH B AH L
COVERALLED	K OW V EH R AH L D
COVERLESS	K OW V EH R L AH S
COVERLET	K OW V EH R L AH T
COVERLETS	K OW V EH R L AH T S
COVETABLE	K AH V AH T AH B AH L
COWLED	K AW L D
CRAALED	K R AA L D
CRACKLE	K R AE K AH L
CRACKLED	K R AE K AH L D
CRACKLES	K R AE K AH L Z
CRACKLEWARE	K R AE K AH L W EH R
CRACKLEWARES	K R AE K AH L W EH R Z
CRADLE	K R EY D AH L
CRADLED	K R EY D AH L D
CRADLER	K R EY D AH L ER
CRADLERS	K R EY D AH L ER Z
CRADLES	K R EY D AH L Z
CRADLESONG	K R EY D AH L S AO NG
CRADLESONGS	K R EY D AH L S AO NG Z
CRAFTSPEOPLE	K R AE F T S P IY P AH L
CRAFTSPEOPLE(2)	K R AE F S P IY P AH L
CRANKLE	K R AE NG K AH L
CRANKLED	K R AE NG K L EH D
CRANKLES	K R AE NG K AH L Z
CRATERLET	K R EY T ER L AH T
CRATERLETS	K R EY T ER L AH T S
CRAWLED	K R AO L D
CRAWLER	K R AO L ER
CRAWLERS	K R AO L ER Z
CREASELESS	K R IY S L AH S
CREDENTIALED	K R AH D EH N SH AH L D
CREDENTIALLED	K R IH D EH N CH AH L D
CREDIBLE	K R EH D AH B AH L
CREDITABLE	K R EH D AH T AH B AH L
CREDITABLENESS	K R EH D AH T AH B AH L N AH S
CREDITABLENESSES	K R EH D AH T AH B AH L N AH S IH Z
CREELED	K R IY L D
CRENELED	K R AH N IY L D
CRENELLE	K R EH N AH L
CRENELLED	K R EH N AH L D
CRENELLES	K R EH N AH L Z
CREOLE	K R IY OW L
CREOLES	K R IY OW L Z
CREPUSCLE	K R EH P AH S AH L
CREPUSCLES	K R EH P AH S AH L Z
CREPUSCULE	K R EH P AH S Y UW L
CREPUSCULES	K R EH P AH S Y UW L Z
CRESTFALLEN	K R EH S T F AO L AH N
CRESTFALLENLY	K R EH S T F AE L AH N L IY
CRESTFALLENNESS	K R EH S T F AE L AH N AH S
CRESTFALLENNESSES	K R EH S T F AE L AH N AH S IH Z
CRESTLESS	K R EH S T L AH S
CREVALLE	K R EH V AH L
CREVALLES	K R EH V AH L Z
CREWLESS	K R UW L AH S
CRIBBLED	K R IH B L EH D
CRIMELESS	K R AY M L AH S
CRIMPLE	K R IH M P AH L
CRIMPLED	K R IH M P AH L D
CRIMPLES	K R IH M P AH L Z
CRINGLE	K R IH N G AH L
CRINGLES	K R IH N G AH L Z
CRINKLE	K R IH NG K AH L
CRINKLED	K R IH NG K AH L D
CRINKLES	K R IH NG K AH L Z
CRIPPLE	K R IH P AH L
CRIPPLED	K R IH P AH L D
CRIPPLER	K R IH P AH L ER
CRIPPLERS	K R IH P AH L ER Z
CRIPPLES	K R IH P AH L Z
CRITICIZABLE	K R IH T AH S AY Z AH B AH L
CROCODILE	K R AA K AH D AY L
CROCODILES	K R AA K AH D AY L Z
CROMLECH	K R AA M L AH CH
CROMLECHS	K R AA M L AH CH S
CROPLESS	K R AA P L AH S
CROQUIGNOLE	K R AA K W AH G N OW L
CROQUIGNOLES	K R AA K W AH G N OW L Z
CROSSABLE	K R AO S AH B AH L
CROSSLET	K R AO S L AH T
CROSSLETS	K R AO S L AH T S
CROWNLESS	K R AW N L AH S
CRUCIBLE	K R UW S AH B AH L
CRUCIBLES	K R UW S AH B AH L Z
CRUELER	K R UW AH L ER
CRUELEST	K R UW L AH S T
CRUELLER	K R UW AH L ER
CRUELLEST	K R UW AH L AH S T
CRULLER	K R AH L AH R
CRULLERS	K R AH L AH R Z
CRUMBLE	K R AH M B AH L
CRUMBLED	K R AH M B AH L D
CRUMBLES	K R AH M B AH L Z
CRUMPLE	K R AH M P AH L
CRUMPLED	K R AH M P AH L D
CRUMPLES	K R AH M P AH L Z
CRUNCHABLE	K R AH N CH AH B AH L
CRUSHABLE	K R AH SH AH B AH L
CRUSTLESS	K R AH S T L AH S
CRYSTALLIZABLE	K R IH S T AH L AY Z AH B AH L
CUBBYHOLE	K AH B IY HH OW L
CUBBYHOLES	K AH B IY HH OW L Z
CUBICLE	K Y UW B IH K AH L
CUBICLES	K Y UW B IH K AH L Z
CUDDLE	K AH D AH L
CUDDLED	K AH D AH L D
CUDDLER	K AH D L AH R
CUDDLERS	K AH D L AH R Z
CUDDLES	K AH D AH L Z
CUDDLESOME	K AH D L S AH M
CUDGELED	K AH JH AH L D
CUDGELER	K AH JH AH L ER
CUDGELERS	K AH JH AH L ER Z
CUDGELLED	K AH JH AH L D
CUFFLESS	K AH F L AH S
CUITTLE	K IH T AH L
CUITTLED	K IH T AH L D
CUITTLES	K IH T AH L Z
CULET	K Y UW L AH T
CULETS	K Y UW L AH T S
CULEX	K Y UW L EH K S
CULEXES	K Y UW L AH K S
CULLED	K AH L D
CULLENDER	K AH L EH N D AH R
CULLENDERS	K AH L EH N D AH R Z
CULLER	K AH L ER
CULLERS	K AH L ER Z
CULLET	K AH L AH T
CULLETS	K AH L AH T S
CULPABLE	K AH L P AH B AH L
CULPABLENESS	K AH L P AE B L N AH S
CULPABLENESSES	K AH L P AE B L AH N EH S AH Z
CULTIVABLE	K AH L T IH V AH B AH L
CULTIVATABLE	K AH L T IH V AH T AH B AH L
CUPELED	K Y UW P IY L D
CUPELER	K Y UW P IY L AH R
CUPELERS	K Y UW P AH L AH R Z
CUPELLED	K Y UW P AH L D
CUPELLER	K Y UW P EH L AH R
CUPELLERS	K Y UW P EH L AH R Z
CUPULE	K Y UW P Y UW L
CUPULES	K Y UW P Y UW L Z
CURABLE	K Y UH R AH B AH L
CURABLENESS	K Y UH R AH B AH L N AH S
CURABLENESSES	K Y UH R AH B AH L N AH S IH Z
CURBABLE	K ER B AH B AH L
CURDLE	K ER D AH L
CURDLED	K ER D AH L D
CURDLER	K ER D AH L ER
CURDLERS	K ER D AH L ER Z
CURDLES	K ER D AH L Z
CURELESS	K Y UH R L AH S
CURLED	K ER L D
CURLER	K ER L ER
CURLERS	K ER L ER Z
CURLEW	K AH R L UW
CURLEWS	K AH R L UW Z
CURRICLE	K AH R AH K AH L
CURRICLES	K AH R AH K AH L Z
CURTAILED	K ER T EY L D
CURTAILER	K ER T EY L ER
CURTAILERS	K ER T EY L ER Z
CURTAINLESS	K ER T AH N L AH S
CURULE	K Y AH R UW L
CURVEBALLED	K ER V B AO L D
CUSHIONLESS	K UH SH AH N L AH S
CUTICLE	K Y UW T AH K AH L
CUTICLE(2)	K Y UW T IH K AH L
CUTICLES	K Y UW T AH K AH L Z
CUTLER	K AH T L ER
CUTLERIES	K AH T L AH R AY Z
CUTLERS	K AH T L AH R Z
CUTLERY	K AH T L ER IY
CUTLET	K AH T L AH T
CUTLETS	K AH T L AH T S
CUTTABLE	K AH T AH B AH L
CUTTLE	K AH T AH L
CUTTLEBONE	K AH T L AH B OW N
CUTTLEBONES	K AH T L AH B OW N Z
CUTTLED	K AH T AH L D
CUTTLEFISH	K AH T AH L F IH SH
CUTTLEFISHES	K AH T L EH F AH SH AH Z
CUTTLES	K AH T AH L Z
CYCLE	S AY K AH L
CYCLECAR	S AY K AH L K AA R
CYCLECARS	S AY K AH L K AA R Z
CYCLED	S AY K AH L D
CYCLER	S AY K AH L ER
CYCLERIES	S AY K AH L AH R IY Z
CYCLERS	S AY K AH L ER Z
CYCLERY	S AY K AH L AH R IY
CYCLES	S AY K AH L Z
CYCLOOLEFIN	S IH K L UW L AH F AH N
CYCLOOLEFINIC	S IH K L UW L AH F AH N AH K
CYCLOOLEFINS	S IH K L UW L AH F AH N Z
CYCLOSTYLE	S IH K L AH S T AY L
CYCLOSTYLED	S IH K L AH S T AY L D
CYCLOSTYLES	S IH K L AH S T AY L Z
CYMBALER	S IH M B EY L AH R
CYMBALERS	S IH M B AH L AH R Z
CYTOSKELETAL	S AH T AA S EH L AH T AH L
CYTOSKELETON	S IH T AH S EH L AH T AH N
CYTOSKELETONS	S IH T AH S EH L AH T AH N Z
DABBLE	D AE B AH L
DABBLED	D AE B AH L D
DABBLER	D AE B AH L ER
DABBLERS	D AE B AH L ER Z
DABBLES	D AE B AH L Z
DADDLE	D AE D AH L
DADDLED	D AE D AH L D
DADDLES	D AE D AH L Z
DAGGLE	D AE G AH L
DAGGLED	D AE G AH L D
DAGGLES	D AE G AH L Z
DALE	D EY L
DALEDH	D AE L AH D
DALEDHS	D AE L AH D Z
DALES	D EY L Z
DALESMAN	D EY L Z M AE N
DALESMEN	D EY L Z M EH N
DALETH	D AA L EH TH
DALETHS	D EY L IH TH S
DALLES	D AO L Z
DAMNABLE	D AE M AH B AH L
DAMNABLENESS	D AE M AH B AH L N AH S
DAMNABLENESSES	D AE M AH B AH L N AH S IH Z
DANCEABLE	D AE N S AH B AH L
DANDLE	D AE N D AH L
DANDLED	D AE N D AH L D
DANDLER	D AE N D L AH R
DANDLERS	D AE N D L AH R Z
DANDLES	D AE N D AH L Z
DANGLE	D AE NG G AH L
DANGLED	D AE NG G AH L D
DANGLER	D AE NG G AH L ER
DANGLER(2)	D AE NG G L ER
DANGLERS	D AE NG G AH L ER Z
DANGLES	D AE NG G AH L Z
DAPPLE	D AE P AH L
DAPPLED	D AE P AH L D
DAPPLES	D AE P AH L Z
DARIOLE	D AE R IY OW L
DARIOLES	D AE R IY OW L Z
DARKLE	D AA R K AH L
DARKLED	D AA R K L EH D
DARKLES	D AA R K AH L Z
DARTLE	D AA R T AH L
DARTLED	D AA R T L EH D
DARTLES	D AA R T AH L Z
DATABLE	D EY T AH B AH L
DATEABLE	D EY T AH B AH L
DATELESS	D EY T L AH S
DAUGHTERLESS	D AO T ER L AH S
DAUNTLESS	D AO N T L AH S
DAUNTLESSLY	D AO N T L AH S L IY
DAUNTLESSNESS	D AO N T L AH S N AH S
DAUNTLESSNESSES	D AO N T L AH S N AH S IH Z
DAWDLE	D AO D AH L
DAWDLED	D AO D AH L D
DAWDLER	D AO D L AH R
DAWDLERS	D AO D L AH R Z
DAWDLES	D AO D AH L Z
DAZZLE	D AE Z AH L
DAZZLED	D AE Z AH L D
DAZZLER	D AE Z AH L ER
DAZZLERS	D AE Z AH L ER Z
DAZZLES	D AE Z AH L Z
DEALER	D IY L ER
DEALERS	D IY L ER Z
DEALERSHIP	D IY L ER SH IH P
DEALERSHIPS	D IY L ER SH IH P S
DEATHLESS	D EH TH L AH S
DEATHLESSLY	D EH TH L AH S L IY
DEATHLESSNESS	D EH TH L AH S N AH S
DEATHLESSNESSES	D EH TH L AH S N AH S IH Z
DEBACLE	D AH B AA K AH L
DEBACLES	D EY B AA K AH L Z
DEBATABLE	D AH B EY T AH B AH L
DEBTLESS	D EH T L AH S
DECASYLLABLE	D AH K AH S IH L AH B AH L
DECASYLLABLES	D AH K AH S IH L AH B AH L Z
DECATHLETE	D IY K AE TH L IY T
DECATHLETES	D AH K AE TH L IY T S
DECEIVABLE	D IH S IY V AH B AH L
DECELERATE	D IH S EH L ER EY T
DECELERATED	D IH S EH L ER EY T IH D
DECELERATES	D IY S EH L AH R EY T S
DECELERATING	D IH S EH L ER EY T IH NG
DECELERATION	D IH S EH L ER EY SH AH N
DECELERATIONS	D IY S EH L AH R EY SH AH N Z
DECELERATOR	D IY S EH L AH R EY T ER
DECELERATORS	D IY S EH L AH R EY T ER Z
DECIDABLE	D IH S AY D AH B AH L
DECILE	D IY S AH L
DECILES	D IY S AH L Z
DECIPHERABLE	D IY S AY F ER AH B AH L
DECKLE	D IH K AH L
DECKLES	D EH K AH L Z
DECLARABLE	D IY K L AE R AH B AH L
DECLENSION	D IH K L EH N Z IY AH N
DECLENSIONAL	D IH K L EH N S IY AH N AH L
DECLENSIONS	D IH K L EH N S IY AH N Z
DECLINABLE	D IH K L AY N AH B AH L
DECOLLETAGE	D EY K AA L AH T AA ZH
DECOLLETAGES	D EY K AA L AH T AA ZH IH Z
DECOLLETE	D IH K AH L IY T
DECOLLETES	D IH K AH L IY T S
DECOMPOSABLE	D IY K AH M P OW Z AH B AH L
DECONTROLLED	D IY K AH N T R OW L D
DECOUPLE	D IY K AH P AH L
DECOUPLED	D IY K AH P AH L D
DECOUPLES	D IY K AH P AH L Z
DECUPLE	D IH K Y UW P AH L
DECUPLED	D IY K AH P L EH D
DECUPLES	D AH K AH P AH L Z
DEDUCIBLE	D IH D UW S AH B AH L
DEDUCTIBLE	D IH D AH K T AH B AH L
DEDUCTIBLES	D IH D AH K T AH B AH L Z
DEEDLESS	D IY D L AH S
DEFEASIBLE	D IY F IY Z AH B AH L
DEFENDABLE	D IY F EH N D AH B AH L
DEFENSELESS	D IH F EH N S L AH S
DEFENSELESSLY	D IH F EH N S L AH S L IY
DEFENSELESSNESS	D IH F EH N S L AH S N AH S
DEFENSELESSNESSES	D IH F EH N S L AH S N AH S IH Z
DEFENSIBLE	D IH F EH N S AH B AH L
DEFERRABLE	D IH F ER AH B AH L
DEFERRABLES	D IH F ER AH B AH L Z
DEFILE	D IY F AY L
DEFILED	D IY F AY L D
DEFILEMENT	D IY F AY L M AH N T
DEFILEMENTS	D IY F AY L M AH N T S
DEFILER	D IY F AY L ER
DEFILERS	D IY F AY L ER Z
DEFILES	D IY F AY L Z
DEFINABLE	D IH F AY N AH B AH L
DEFLEA	D IY F L IY
DEFLEAED	D IY F L IY D
DEFLEAING	D IY F L IY IH NG
DEFLEAS	D IY F L IY Z
DEFLECT	D IH F L EH K T
DEFLECTABLE	D IH F L EH K T AH B AH L
DEFLECTED	D IH F L EH K T IH D
DEFLECTING	D IH F L EH K T IH NG
DEFLECTION	D IH F L EH K SH AH N
DEFLECTIONS	D IH F L EH K SH AH N Z
DEFLECTIVE	D IH F L EH K T IH V
DEFLECTOR	D IH F L EH K T ER
DEFLECTORS	D IH F L EH K T ER Z
DEFLECTS	D IH F L EH K T S
DEFLEXED	D IY F L EH K S T
DEFORMABLE	D IY F AO R M AH B AH L
DEFRAYABLE	D IH F R EY AH B AH L
DEGRADABLE	D IH G R EY D AH B AH L
DELE	D IY L IY
DELEAD	D IY L IY D
DELEADED	D IY L EH D AH D
DELEADING	D IY L IY D IH NG
DELEADS	D IY L IY D Z
DELEAVE	D IY L IY V
DELEAVED	D IY L IY V D
DELEAVES	D IY L IY V Z
DELEAVING	D IY L IY V IH NG
DELECTABILITIES	D AH L EH K T AH B IH L AH T AY Z
DELECTABILITY	D AH L EH K T AH B IH L AH T IY
DELECTABLE	D IH L EH K T AH B AH L
DELECTABLES	D AH L EH K T AH B AH L Z
DELECTABLY	D AH L EH K T AH B L IY
DELECTATION	D IY L EH K T EY SH AH N
DELECTATIONS	D IY L EH K T EY SH AH N Z
DELED	D IY L EH D
DELEGABLE	D EH L IH G AH B AH L
DELEGACIES	D EH L IH G AH S IY Z
DELEGACY	D EH L IH G AH S IY
DELEGATE	D EH L AH G EY T
DELEGATE(2)	D EH L AH G AH T
DELEGATED	D EH L AH G EY T AH D
DELEGATEE	D IY L EH G AH T IY
DELEGATEES	D IY L EH G AH T IY Z
DELEGATES	D EH L AH G EY T S
DELEGATES(2)	D EH L AH G AH T S
DELEGATING	D EH L AH G EY T IH NG
DELEGATION	D EH L AH G EY SH AH N
DELEGATIONS	D EH L AH G EY SH AH N Z
DELEGATOR	D EH L IH G AH T ER
DELEGATORS	D EH L IH G AH T ER Z
DELEGITIMATION	D IY L IH JH IH T AH M EY SH AH N
DELEGITIMATIONS	D IY L IH JH IH T AH M EY SH AH N Z
DELEING	D AH L IY AH NG
DELES	D IY L Z
DELETE	D IH L IY T
DELETED	D IH L IY T AH D
DELETERIOUS	D EH L AH T IH R IY AH S
DELETERIOUSLY	D IY L EH T AH R IY AH S L IY
DELETERIOUSNESS	D IY L EH T AH R IY AH S N AH S
DELETERIOUSNESSES	D IY L EH T AH R IY AH S N AH S IH Z
DELETES	D IH L IY T S
DELETING	D IH L IY T IH NG
DELETION	D IH L IY SH AH N
DELETIONS	D IH L IY SH AH N Z
DELIVERABLE	D IH L IH V ER AH B AH L
DELIVERABLE(2)	D IH L IH V R AH B AH L
DEMANDABLE	D IH M AE N D AH B AH L
DEMOISELLE	D AH M OY S AH L
DEMOISELLES	D AH M OY S AH L Z
DEMONSTRABLE	D EH M AH N S T R AH B AH L
DEMOUNTABLE	D IY M AW N T AH B AH L
DEMULTIPLEXER	D AH M AH L T AH P L EH K S AH R
DEMULTIPLEXERS	D AH M AH L T AH P L EH K S AH R Z
DENIABLE	D IH N AY AH B AH L
DENTICLE	D IH N T IH K AH L
DENTICLES	D IH N T IH K AH L Z
DENTILED	D EH N T AY L D
DENUCLEARIZATION	D IY N UW K L IY ER AH Z EY SH AH N
DENUCLEARIZATIONS	D IY N UW K L IY ER AH Z EY SH AH N Z
DENUCLEARIZE	D IY N UW K L IY ER AY Z
DENUCLEARIZED	D IH N UW K L IY ER AY Z D
DENUCLEARIZED(2)	D IY N UW K L IY ER AY Z D
DENUCLEARIZES	D IY N UW K L IY ER AY Z IH Z
DENUCLEARIZING	D IY N UW K L IY ER AY Z IH NG
DENUMERABLE	D IY N UW M ER AH B AH L
DEOXYRIBONUCLEASE	D IY AH K S AH R AH B AA N AH K L IY Z
DEOXYRIBONUCLEASES	D IY AH K S AH R AH B AA N AH K L IY Z AH Z
DEOXYRIBONUCLEOTIDE	D IY AH K S AH R AH B AH N AH K L IY AH T AY D
DEOXYRIBONUCLEOTIDES	D IY AH K S AH R AH B AH N AH K L IY AH T AY D Z
DEPENDABLE	D IH P EH N D AH B AH L
DEPENDABLENESS	D IH P EH N D AH B AH L N AH S
DEPENDABLENESSES	D IH P EH N D AH B AH L N AH S IH Z
DEPLETABLE	D IH P L IY T AH B AH L
DEPLETE	D IH P L IY T
DEPLETED	D IH P L IY T IH D
DEPLETES	D IH P L IY T S
DEPLETING	D IH P L IY T IH NG
DEPLETION	D IH P L IY SH AH N
DEPLETIONS	D IH P L IY SH AH N Z
DEPLETIVE	D IH P L IY T IH V
DEPLORABLE	D IH P L AO R AH B AH L
DEPLORABLENESS	D IH P L OW R AH B AH L N AH S
DEPLORABLENESSES	D IH P L OW R AH B AH L N AH S IH Z
DEPLOYABLE	D IH P L OY AH B AH L
DEPORTABLE	D IY P OW R T AH B AH L
DEPRECIABLE	D IH P R IH SH AH B AH L
DEPRESSIBLE	D IY P R EH S AH B AH L
DEPTHLESS	D EH P TH L AH S
DERAILED	D IH R EY L D
DERAILLEUR	D AH R EY L AH R
DERAILLEURS	D AH R EY L IY Y AH R Z
DERIVABLE	D IH R AY V AH B AH L
DESCENDIBLE	D IH S EH N D AH B AH L
DESCRAMBLE	D IY S K R AE M B AH L
DESCRAMBLED	D IY S K R AE M B AH L D
DESCRAMBLER	D IY S K R AE M B AH L ER
DESCRAMBLERS	D IY S K R AE M B AH L ER Z
DESCRAMBLES	D IY S K R AE M B AH L Z
DESCRIBABLE	D IH S K R AY B AH B AH L
DESELECT	D IY S AH L EH K T
DESELECTED	D IY S AH L EH K T IH D
DESELECTING	D IY S AH L EH K T IH NG
DESELECTS	D IY S AH L EH K T S
DESHABILLE	D AH SH AE B AH L
DESHABILLES	D AH SH AE B AH L Z
DESIRABLE	D IH Z AY R AH B AH L
DESIRABLE(2)	D IH Z AY ER AH B AH L
DESIRABLENESS	D IH Z AY ER AH B AH L N AH S
DESIRABLENESSES	D IH Z AY ER AH B AH L N AH S IH Z
DESIRABLES	D IH Z AY ER AH B AH L Z
DESPICABLE	D IH S P IH K AH B AH L
DESPICABLENESS	D IY S P AY S AH B AH L N AH S
DESPICABLENESSES	D IY S P AY S AH B AH L N AH S IH Z
DESPOILED	D IY S P OY L D
DESPOILER	D IY S P OY L ER
DESPOILERS	D IY S P OY L ER Z
DESTRUCTIBLE	D IH S T R AH K T AH B AH L
DETACHABLE	D IH T AE CH AH B AH L
DETACHABLE(2)	D IY T AE CH AH B AH L
DETAILED	D IH T EY L D
DETAILEDLY	D IH T EY L AH D L IY
DETAILEDNESS	D IH T EY L AH D N AH S
DETAILEDNESSES	D IH T EY L AH D N AH S IH Z
DETAILER	D IY T EY L ER
DETAILERS	D IH T EY L ER Z
DETASSELED	D IY T AE S AH L D
DETASSELLED	D IY T AE S AH L D
DETECTABLE	D IH T EH K T AH B AH L
DETERMINABLE	D IH T ER M AH N AH B AH L
DETERMINABLENESS	D IY T ER M AH N AH B AH L N AH S
DETERMINABLENESSES	D IY T ER M AH N AH B AH L N AH S IH Z
DETERRABLE	D IY T EH R AH B AH L
DETESTABLE	D IH T EH S T AH B AH L
DETESTABLENESS	D IH T EH S T AH B AH L N AH S
DETESTABLENESSES	D IH T EH S T AH B AH L N AH S IH Z
DETONABLE	D EH T AH N AH B AH L
DETONATABLE	D EH T AH N AH T AH B AH L
DEVELED	D AH V IY L D
DEVELOPABLE	D IH V EH L AH P AH B AH L
DEVILED	D EH V AH L D
DEVILLED	D EH V AH L D
DEVISABLE	D IY V IH Z AH B AH L
DEWLESS	D UW L AH S
DEWOOLED	D IY W UH L D
DHOLE	D OW L
DHOLES	D HH OW L Z
DIABLERIE	D AY AH B AH L ER IY
DIABLERIES	D AY AH B AH L AH R IY Z
DIABLERY	D AY AH B AH L AH R IY
DIAGNOSABLE	D AY IH G N OW S AH B AH L
DIAGNOSEABLE	D AY IH G N OW S AH B AH L
DIAGONALIZABLE	D AY AE G AH N AH L AY Z AH B AH L
DIAGRAMMABLE	D AY AH G R AE M AH B AH L
DIALECT	D AY AH L EH K T
DIALECTAL	D AY AH L EH K T AH L
DIALECTALLY	D AY AH L EH K T AH L IY
DIALECTIC	D AY AH L EH K T IH K
DIALECTICAL	D AY AH L EH K T IH K AH L
DIALECTICALLY	D AY AH L EH K T IH K AH L IY
DIALECTICIAN	D AY AH L EH K T IH S IY AH N
DIALECTICIANS	D AY AH L AH K T IH S IY AH N Z
DIALECTICS	D AY AH L EH K T IH K S
DIALECTOLOGICAL	D AY AH L EH K T AA L AH JH IH S AH L
DIALECTOLOGICALLY	D AY AH L EH K T AH L AA JH AH K AE L IY
DIALECTOLOGIES	D AY AH L EH K T AA L AH JH IY Z
DIALECTOLOGIST	D AY AH L EH K T AA L AH JH AH S T
DIALECTOLOGISTS	D AY AH L EH K T AA L AH JH AH S T S
DIALECTOLOGY	D AY AH L EH K T AA L AH JH IY
DIALECTS	D AY AH L EH K T S
DIALED	D AY AH L D
DIALER	D AY AH L ER
DIALERS	D AY AH L ER Z
DIALLED	D AY AH L D
DIALLEL	D AY AE L AH L
DIALLER	D AY AH L ER
DIALLERS	D AY AH L ER Z
DIALYZABLE	D AY AH L AY Z AH B AH L
DIASTOLE	D AY AE S T AH L IY
DIASTOLES	D AY AH S T OW L Z
DIAZOLE	D AY AH Z OW L
DIAZOLES	D AY AH Z OW L Z
DIBBLE	D IH B AH L
DIBBLED	D IH B AH L D
DIBBLER	D IH B L AH R
DIBBLERS	D IH B L AH R Z
DIBBLES	D IH B AH L Z
DICOTYLEDON	D IH K AH T IH L AH D AH N
DICOTYLEDONOUS	D IH K AH T AH L EH D AH N AH S
DICOTYLEDONS	D IH K AH T IH L AH D AH N Z
DICTYOSTELE	D IH K T AY AH S T IY L
DICTYOSTELES	D IH K T AY AH S T IY L Z
DIDDLE	D IH D AH L
DIDDLED	D IH D AH L D
DIDDLER	D IH D AH L ER
DIDDLERS	D IH D AH L ER Z
DIDDLES	D IH D AH L Z
DIDDLEY	D IH D L IY
DIDDLEYS	D IH D AH L IY Z
DIELECTRIC	D IY L AH K T R AH K
DIELECTRICS	D IY L EH K T R AH S Z
DIESELED	D IY Z AH L D
DIFFERENTIABLE	D IH F AH R EH N CH IY AH B AH L
DIFFICILE	D IY F IH S IY L
DIFFUSIBLE	D IH F Y UW S AH B AH L
DIGESTIBLE	D AY JH EH S T AH B AH L
DILATABLE	D AY L EY T AH B AH L
DILEMMA	D IH L EH M AH
DILEMMAS	D AH L EH M AH Z
DILEMMATIC	D AH L EH M AH T AH K
DILEMMIC	D IH L AH M AH K
DILETTANTE	D IH L AH T AA N T
DILETTANTES	D IH L AH T AA N T S
DILETTANTI	D IH L AH T AE N T IY
DILETTANTISH	D IH L AH T AA N T IH SH
DILETTANTISM	D IH L AH T AA N T IH Z AH M
DILETTANTISMS	D IH L AH T AA N T IH Z AH M Z
DILLED	D IH L D
DIMENSIONLESS	D AH M EH N CH AH N L AH S
DIMINISHABLE	D AH M IH N IH SH AH B AH L
DIMMABLE	D IH M AH B AH L
DIMPLE	D IH M P AH L
DIMPLED	D IH M P AH L D
DIMPLES	D IH M P AH L Z
DINDLE	D IH N D AH L
DINDLED	D IH N D AH L D
DINDLES	D IH N D AH L Z
DINGLE	D IH NG G AH L
DINGLEBERRIES	D IH N G L AH B EH R AY Z
DINGLEBERRY	D IH N G L AH B EH R IY
DINGLES	D IH N G AH L Z
DINNERLESS	D IH N ER L AH S
DINUCLEOTIDE	D AH N AH K L IY AH T AY D
DINUCLEOTIDES	D AH N AH K L IY AH T AY D Z
DIOLEFIN	D AY AA L AH F AH N
DIOLEFINS	D AY AA L AH F AH N Z
DIPHYLETIC	D IH F AH L AH T AH K
DIPLEGIA	D IH P L IY JH IY AH
DIPLEGIAS	D IH P L IY JH IY AH Z
DIPLEX	D IH P L AH K S
DIPLEXER	D IH P L EH K S AH R
DIPLEXERS	D IH P L EH K S AH R Z
DIPOLE	D AY P OW L
DIPOLES	D AY P OW L Z
DIPPABLE	D IH P AH B AH L
DIRECTIONLESS	D ER EH K SH AH N L AH S
DIRECTIONLESS(2)	D IY R EH K SH IH N L AH S
DIRECTIONLESS(3)	D AY R EH K SH IH N L AH S
DIRECTIONLESS(4)	D IH R EH K SH IH N L AH S
DIRECTIONLESSNESS	D AH R EH K SH AH N L AH S N AH S
DIRECTIONLESSNESSES	D AH R EH K SH AH N L AH S N AH S IH Z
