RE	R EY
DECREPITATED	D IH K R EH P AH T EY T AH D
DECREPITATES	D IH K R EH P AH T EY T S
DECREPITATING	D IH K R EH P AH T EY T AH NG
DECREPITATION	D IH K R EH P AH T EY SH AH N
DECREPITATIONS	D IH K R EH P AH T EY T IY AH N Z
DECREPITLY	D AH K R EH P IH T L IY
DECREPITUDE	D IY K R EY P AH T UW D
DECREPITUDES	D IY K R EY P AH T UW D Z
DECRESCENDO	D IY K R IH SH EH N D OW
DECRESCENDOS	D IY K R IH SH EH N D OW Z
DECRESCENT	D IY K R EH S AH N T
DECRETAL	D IH K R IY T AH L
DECRETALS	D IH K R EH T AH L Z
DECRETIVE	D IH K R IY T AH V
DECRETORY	D IH K R AH T AO R IY
DECURRENT	D IY K ER AH N T
DEDIFFERENTIATE	D IY D IH F AH R EH N CH IY AH T
DEDIFFERENTIATED	D IY D IH F AH R EH N CH IY EY T IH D
DEDIFFERENTIATES	D IY D IH F AH R EH N CH IY AH T S
DEDIFFERENTIATING	D IY D IH F AH R EH N CH IY EY T IH NG
DEDIFFERENTIATION	D IY D IH F AH R EH N CH IY EY SH AH N
DEDIFFERENTIATIONS	D IY D IH F AH R EH N CH IY EY SH AH N Z
DEFEATURE	D IH F IY CH ER
DEFEATURES	D IH F IY CH ER Z
DEFERENCE	D EH F ER AH N S
DEFERENCE(2)	D EH F R AH N S
DEFERENCES	D EH F AH R AH N S IH Z
DEFERENT	D EH F AH R AH N T
DEFERENTIAL	D EH F ER EH N CH AH L
DEFERENTIAL(2)	D EH F ER EH N SH AH L
DEFERENTIALLY	D EH F AH R AH N T IY AH L IY
DEFERENTS	D EH F AH R AH N T S
DEFERRED	D IH F ER D
DEFERRER	D IH F ER ER
DEFERRERS	D IH F ER ER Z
DEFLOWERED	D IY F L AW ER D
DEFLOWERER	D IY F L AW ER ER
DEFLOWERERS	D IY F L AW ER ER Z
DEFOREST	D IH F AO R AH S T
DEFORESTATION	D IH F AO R IH S T EY SH AH N
DEFORESTATIONS	D IY F AO R AH S T EY SH AH N Z
DEFORESTED	D IY F AO R AH S T IH D
DEFORESTING	D IY F AO R AH S T IH NG
DEFORESTS	D IY F AO R AH S T S
DEGREASE	D IY G R IY S
DEGREASED	D IY G R IY S T
DEGREASER	D IY G R IY S ER
DEGREASERS	D IY G R IY S ER Z
DEGREASES	D IY G R IY S IH Z
DEGREASING	D IY G R IY S IH NG
DEGREE	D IH G R IY
DEGREED	D IH G R IY D
DEGREES	D IH G R IY Z
DEGRESSIVE	D IH G R EH S AH V
DEGRESSIVELY	D IH G R EH S AY V L IY
DEKARE	D AH K AE R
DEKARES	D AH K AE R Z
DELFTWARE	D EH L F T W EH R
DELFTWARES	D IH L F T W AE R Z
DELIVERED	D IH L IH V ER D
DELIVERER	D IH L IH V ER ER
DELIVERERS	D IH L IH V ER ER Z
DELUSTERED	D IY L AH S T ER D
DEMERGERED	D IY M ER JH ER D
DEMIREP	D AH M IH R AH P
DEMIREPS	D AH M IH R AH P S
DEMURE	D IH M Y UH R
DEMURELY	D IH M Y UH R L IY
DEMURENESS	D IH M Y UH R N AH S
DEMURENESSES	D IH M Y UH R N AH S IH Z
DEMURER	D IH M Y UH R ER
DEMUREST	D IH M Y UH R AH S T
DEMURRED	D IH M ER D
DEMURRER	D IH M ER ER
DEMURRERS	D IH M ER ER Z
DENATURE	D IH N EY CH ER
DENATURED	D IH N EY CH ER D
DENATURES	D IY N EY CH ER Z
DENTURE	D EH N CH ER
DENTURES	D EH N CH ER Z
DEPARTURE	D IH P AA R CH ER
DEPARTURES	D IH P AA R CH ER Z
DEPLORE	D IH P L AO R
DEPLORED	D IH P L AO R D
DEPLORER	D IH P L OW R ER
DEPLORERS	D IH P L OW R ER Z
DEPLORES	D IH P L AO R Z
DEPRECATE	D EH P R AH K EY T
DEPRECATED	D EH P R AH K EY T AH D
DEPRECATES	D EH P R AH K EY T S
DEPRECATING	D EH P R AH K EY T IH NG
DEPRECATINGLY	D IY P R IY K EY T IH NG L IY
DEPRECATION	D IY P R IY K EY SH AH N
DEPRECATIONS	D IY P R IY K EY SH AH N Z
DEPRECATORILY	D EH P R IH K AH T OW R IY L IY
DEPRECATORY	D EH P R IH K AH T OW R IY
DEPRECIABLE	D IH P R IH SH AH B AH L
DEPRECIATE	D IH P R IY SH IY EY T
DEPRECIATED	D IH P R IY SH IY EY T IH D
DEPRECIATES	D IH P R IY SH IY EY T S
DEPRECIATING	D IH P R IY SH IY EY T IH NG
DEPRECIATINGLY	D IH P R IY SH IY EY T IH NG L IY
DEPRECIATION	D IH P R IY SH IY EY SH AH N
DEPRECIATIONS	D IH P R IY SH IY EY SH AH N Z
DEPRECIATIVE	D IH P R IY SH IY EY T IH V
DEPRECIATOR	D IH P R IY SH IY EY T ER
DEPRECIATORS	D IH P R IY SH IY EY T ER Z
DEPRECIATORY	D IH P R IY SH IY EY T ER IY
DEPREDATE	D EH P R AH D EY T
DEPREDATED	D EH P R AH D EY T IH D
DEPREDATES	D EH P R AH D EY T S
DEPREDATING	D EH P R AH D EY T IH NG
DEPREDATION	D EH P R AH D EY SH AH N
DEPREDATIONS	D EH P R AH D EY SH AH N Z
DEPREDATOR	D EH P R AH D EY T ER
DEPREDATORS	D EH P R AH D EY T ER Z
DEPREDATORY	D EH P R AH D EY T ER IY
DEPRESS	D IH P R EH S
DEPRESSANT	D IH P R EH S AH N T
DEPRESSANTS	D IH P R EH S AH N T S
DEPRESSED	D IH P R EH S T
DEPRESSES	D IH P R EH S AH Z
DEPRESSES(2)	D IH P R EH S IH Z
DEPRESSIBLE	D IY P R EH S AH B AH L
DEPRESSING	D IH P R EH S IH NG
DEPRESSINGLY	D IH P R EH S IH NG L IY
DEPRESSION	D IH P R EH SH AH N
DEPRESSIONS	D IH P R EH SH AH N Z
DEPRESSIVE	D IH P R EH S IH V
DEPRESSIVELY	D IY P R EH S IH V L IY
DEPRESSIVES	D IY P R EH S IH V Z
DEPRESSOR	D IY P R EH S ER
DEPRESSORS	D IY P R EH S ER Z
DEPRESSURIZATION	D IY P R EH SH ER AH Z EY SH AH N
DEPRESSURIZATIONS	D IY P R EH SH ER AH Z EY SH AH N Z
DEPRESSURIZE	D IH P R EH SH ER AY Z
DEPRESSURIZED	D IH P R EH SH ER AY Z D
DEPRESSURIZES	D IH P R EH SH ER AY Z IH Z
DEPRESSURIZING	D IH P R EH SH ER AY Z IH NG
DERE	D IY R IY
DEREALIZATION	D IY R IY L AH Z EY SH AH N
DEREALIZATIONS	D IY R IY L AH Z EY SH AH N Z
DEREGULATE	D IY R EH G Y AH L EY T
DEREGULATED	D IY R EH G Y AH L EY T IH D
DEREGULATES	D IY R EH G Y AH L AH T S
DEREGULATING	D IY R EH G Y AH L EY T IH NG
DEREGULATION	D IY R EH G Y AH L EY SH AH N
DEREGULATIONS	D IY R EH G Y AH L EY SH AH N Z
DERELICT	D EH R AH L IH K T
DERELICTION	D EH R AH L IH K SH AH N
DERELICTIONS	D EH R AH L IH K SH AH N Z
DERELICTS	D EH R AH L IH K T S
DERELICTS(2)	D EH R AH L IH K S
DEREPRESS	D IY R IY P R EH S
DEREPRESSED	D IY R IY P R EH S T
DEREPRESSES	D IY R IY P R EH S IH Z
DEREPRESSING	D IY R IY P R EH S IH NG
DEREPRESSION	D IY R IY P R EH SH AH N
DEREPRESSIONS	D IY R IY P R EH SH AH N Z
DERRIERE	D EH R IY EH ER
DERRIERES	D EH R IY EH ER Z
DESEGREGATE	D IH S EH G R AH G EY T
DESEGREGATED	D IH S EH G R IH G EY T IH D
DESEGREGATES	D IY S EH G R IH G EY T S
DESEGREGATING	D IY S EH G R IH G EY T IH NG
DESEGREGATION	D IH S EH G R AH G EY SH AH N
DESEGREGATION(2)	D IY S EH G R AH G EY SH AH N
DESEGREGATIONS	D IY S EH G R IH G EY SH AH N Z
DESILVERED	D IY S IH L V ER D
DESIRE	D IH Z AY ER
DESIRED	D IH Z AY ER D
DESIRER	D IH Z AY ER ER
DESIRERS	D IH Z AY ER ER Z
DESIRES	D IH Z AY ER Z
DESPAIRED	D IH S P EH R D
DESPAIRER	D IH S P EH R ER
DESPAIRERS	D IH S P EH R ER Z
DESUGARED	D IY SH UH G ER D
DESULFURED	D IY S AH L F ER D
DETERRED	D IH T ER D
DETERRENCE	D IH T ER AH N S
DETERRENCES	D IY T EH R AH N S IH Z
DETERRENT	D IH T ER R AH N T
DETERRENTLY	D IY T EH R AH N T L IY
DETERRENTS	D IH T ER AH N T S
DETERRER	D IY T EH R ER
DETERRERS	D IY T EH R ER Z
DETOURED	D IY T UH R D
DEVOURED	D IH V AW ER D
DEVOURER	D IH V AW ER ER
DEVOURERS	D IH V AW ER ER Z
DEWATERED	D IY W AO T ER D
DEWATERER	D IY W AO T ER ER
DEWATERERS	D IY W AO T ER ER Z
DIAERESES	D AY AH AH R IY Z AH Z
DIAERESIS	D AY AE IH R AH S AH S
DIAERETIC	D AY AE AH R AH T AH K
DIAPERED	D AY P ER D
DIAPHORESES	D AY AE F AH R IY Z AH Z
DIAPHORESIS	D AY AH F AO R AH S AH S
DIAPHORETIC	D AY AE F AH R AH T AH K
DIAPHORETICS	D AY AH F AO R AH T AH S Z
DIASPORE	D AY AE S AH R
DIASPORES	D AY AE S AH R Z
DIASTEREOISOMER	D AY AH S T IY R IY OY S AH M AH R
DIASTEREOISOMERIC	D AY AH S T IY R IY OY S AH M AH R AH K
DIASTEREOISOMERISM	D AY AH S T IY R IY OY S AH M AH R IH Z AH M
DIASTEREOISOMERISMS	D AY AH S T IY R IY OY S AA M AH R AH Z AH M Z
DIASTEREOISOMERS	D AY AH S T IY R IY OY S AH M AH R Z
DIASTEREOMER	D AY AH S T IY R IY OW M AH R
DIASTEREOMERIC	D AY AE S T AH R IY AH M AH R AH K
DIASTEREOMERS	D AY AE S T AH R IY AH M AH R Z
DICKERED	D IH K ER D
DIERESES	D IY R IY Z AH Z
DIERESIS	D IY R AH S AH S
DIERETIC	D IY R AH T AH K
DIFFERED	D IH F ER D
DIFFERENCE	D IH F ER AH N S
DIFFERENCE(2)	D IH F R AH N S
DIFFERENCED	D IH F ER AH N S T
DIFFERENCES	D IH F ER AH N S IH Z
DIFFERENCES(2)	D IH F R AH N S AH Z
DIFFERENCING	D IH F ER AH N S IH NG
DIFFERENT	D IH F ER AH N T
DIFFERENT(2)	D IH F R AH N T
DIFFERENTIA	D IH F AH R EH N CH IY AH
DIFFERENTIABILITIES	D IH F AH R EH N CH IY AH B IH L AH T EH Z
DIFFERENTIABILITY	D IH F AH R EH N CH IY AH B IH L AH T EH
DIFFERENTIABLE	D IH F AH R EH N CH IY AH B AH L
DIFFERENTIAE	D IH F AH R EH N T IY IY
DIFFERENTIAL	D IH F ER EH N SH AH L
DIFFERENTIALLY	D IH F AH R EH N CH AH L IY
DIFFERENTIALS	D IH F ER EH N SH AH L Z
DIFFERENTIATE	D IH F ER EH N SH IY EY T
DIFFERENTIATE(2)	D IH F ER EH N CH IY EY T
DIFFERENTIATED	D IH F ER EH N SH IY EY T IH D
DIFFERENTIATED(2)	D IH F ER EH N CH IY EY T AH D
DIFFERENTIATES	D IH F ER EH N SH IY EY T S
DIFFERENTIATES(2)	D IH F ER EH N CH IY EY T S
DIFFERENTIATING	D IH F ER EH N SH IY EY T IH NG
DIFFERENTIATING(2)	D IH F ER EH N CH IY EY T IH NG
DIFFERENTIATION	D IH F ER EH N SH IY EY SH AH N
DIFFERENTIATION(2)	D IH F ER EH N CH IY EY SH AH N
DIFFERENTIATIONS	D IH F AH R EH N CH IY EY SH AH N Z
DIFFERENTLY	D IH F R AH N T L IY
DIFFERENTLY(2)	D IH F ER EH N T L IY
DIFFERENTNESS	D IH F ER AH N T N AH S
DIFFERENTNESSES	D IH F ER AH N T N AH S IH Z
DIGRESS	D AY G R EH S
DIGRESSED	D AY G R EH S T
DIGRESSES	D AY G R EH S IH Z
DIGRESSING	D AY G R EH S IH NG
DIGRESSION	D AY G R EH SH AH N
DIGRESSIONAL	D AY G R EH SH AH N AH L
DIGRESSIONARY	D AY G R EH SH AH N EH R IY
DIGRESSIONS	D AY G R EH SH AH N Z
DIGRESSIVE	D AY G R EH S IH V
DIGRESSIVELY	D AY G R EH S IH V L IY
DIGRESSIVENESS	D AY G R EH S IH V N AH S
DIGRESSIVENESSES	D AY G R EH S IH V N AH S IH Z
DINNERWARE	D IH N ER W EH R
DINNERWARES	D IH N ER W EH R Z
DIOPTRE	D AY AA P T AH R
DIOPTRES	D AY AA P T AH R Z
DIRE	D AY R
DIRE(2)	D AY ER
DIRECT	D ER EH K T
DIRECT(2)	D AY R EH K T
DIRECT(3)	D IH R EH K T
DIRECTED	D ER EH K T AH D
DIRECTED(2)	D ER EH K T IH D
DIRECTED(3)	D AY R EH K T IH D
DIRECTED(4)	D IH R EH K T IH D
DIRECTEDNESS	D AH R EH K T AH D N AH S
DIRECTEDNESSES	D AH R EH K T AH D N AH S IH Z
DIRECTER	D AH R EH K T ER
DIRECTEST	D AH R EH K T AH S T
DIRECTING	D ER EH K T IH NG
DIRECTING(2)	D IY R EH K T IH NG
DIRECTING(3)	D AY R EH K T IH NG
DIRECTING(4)	D IH R EH K T IH NG
DIRECTION	D ER EH K SH AH N
DIRECTION(2)	D IY R EH K SH IH N
DIRECTION(3)	D AY R EH K SH IH N
DIRECTION(4)	D IH R EH K SH IH N
DIRECTIONAL	D ER EH K SH AH N AH L
DIRECTIONAL(2)	D IY R EH K SH IH N AH L
DIRECTIONAL(3)	D AY R EH K SH IH N AH L
DIRECTIONAL(4)	D IH R EH K SH IH N AH L
DIRECTIONALITIES	D AH R EH K SH AH N AH L AH T IY Z
DIRECTIONALITY	D AH R EH K SH AH N AH L AH T IY
DIRECTIONLESS	D ER EH K SH AH N L AH S
DIRECTIONLESS(2)	D IY R EH K SH IH N L AH S
DIRECTIONLESS(3)	D AY R EH K SH IH N L AH S
DIRECTIONLESS(4)	D IH R EH K SH IH N L AH S
DIRECTIONLESSNESS	D AH R EH K SH AH N L AH S N AH S
DIRECTIONLESSNESSES	D AH R EH K SH AH N L AH S N AH S IH Z
DIRECTIONS	D ER EH K SH AH N Z
DIRECTIONS(2)	D IY R EH K SH IH N Z
DIRECTIONS(3)	D AY R EH K SH IH N Z
DIRECTIONS(4)	D IH R EH K SH IH N Z
DIRECTIVE	D ER EH K T IH V
DIRECTIVE(2)	D IY R EH K T IH V
DIRECTIVE(3)	D AY R EH K T IH V
DIRECTIVE(4)	D IH R EH K T IH V
DIRECTIVES	D AY R EH K T IH V Z
DIRECTIVES(2)	D IY R EH K T IH V Z
DIRECTIVES(3)	D ER EH K T IH V Z
DIRECTIVES(4)	D IH R EH K T IH V Z
DIRECTIVITIES	D AH R EH K T IH V AH T IY Z
DIRECTIVITY	D AH R EH K T IH V AH T IY
DIRECTLY	D ER EH K T L IY
DIRECTLY(2)	D IY R EH K L IY
DIRECTLY(3)	D AY R EH K L IY
DIRECTLY(4)	D IH R EH K L IY
DIRECTNESS	D ER EH K T N AH S
DIRECTNESS(2)	D IY R EH K N AH S
DIRECTNESS(3)	D AY R EH K N AH S
DIRECTNESS(4)	D IH R EH K N AH S
DIRECTNESSES	D AH R EH K T N AH S IH Z
DIRECTOR	D ER EH K T ER
DIRECTOR(2)	D AY R EH K T ER
DIRECTOR(3)	D IY R EH K T ER
DIRECTOR(4)	D IH R EH K T ER
DIRECTORATE	D ER EH K T ER AH T
DIRECTORATE(2)	D AY R EH K T ER AH T
DIRECTORATE(3)	D IY R EH K T ER AH T
DIRECTORATE(4)	D IH R EH K T ER AH T
DIRECTORATES	D AH R EH K T ER AH T S
DIRECTORIAL	D ER EH K T AO R IY AH L
DIRECTORIAL(2)	D AY R EH K T AO R IY AH L
DIRECTORIAL(3)	D IY R EH K T AO R IY AH L
DIRECTORIAL(4)	D IH R EH K T AO R IY AH L
DIRECTORIES	D AY R EH K T ER IY Z
DIRECTORIES(2)	D ER EH K T ER IY Z
DIRECTORIES(3)	D IY R EH K T ER IY Z
DIRECTORIES(4)	D IH R EH K T ER IY Z
DIRECTORS	D ER EH K T ER Z
DIRECTORS(2)	D AY R EH K T ER Z
DIRECTORS(3)	D IY R EH K T ER Z
DIRECTORS(4)	D IH R EH K T ER Z
DIRECTORSHIP	D ER EH K T ER SH IH P
DIRECTORSHIP(2)	D AY R EH K T ER SH IH P
DIRECTORSHIP(3)	D IY R EH K T ER SH IH P
DIRECTORSHIP(4)	D IH R EH K T ER SH IH P
DIRECTORSHIPS	D ER EH K T ER SH IH P S
DIRECTORSHIPS(2)	D AY R EH K T ER SH IH P S
DIRECTORSHIPS(3)	D IY R EH K T ER SH IH P S
DIRECTORSHIPS(4)	D IH R EH K T ER SH IH P S
DIRECTORY	D ER EH K T ER IY
DIRECTORY(2)	D AY R EH K T ER IY
DIRECTORY(3)	D IY R EH K T ER IY
DIRECTORY(4)	D IH R EH K T ER IY
DIRECTRESS	D AH R EH K T R AH S
DIRECTRESSES	D AH R EH K T R EH S AH Z
DIRECTRICE	D AH R EH K T R AY S
DIRECTRICES	D AH R EH K T R AY S IH Z
DIRECTRIX	D AH R EH K T R AH K S
DIRECTRIXES	D AH R EH K T R AH K S
DIRECTS	D ER EH K T S
DIRECTS(2)	D AY R EH K T S
DIRECTS(3)	D IY R EH K T S
DIRECTS(4)	D IH R EH K T S
DIREFUL	D AY ER F AH L
DIREFULLY	D AY ER F AH L IY
DIRELY	D AY ER L IY
DIRENESS	D AY ER N AH S
DIRENESSES	D AY ER N AH S IH Z
DIRER	D AY ER ER
DIREST	D AY R AH S T
DISAGGREGATE	D IH S AE G R IH G AH T
DISAGGREGATED	D IH S AE G R IH G AH T IH D
DISAGGREGATES	D IH S AE G R IH G AH T S
DISAGGREGATING	D IH S AE G R IH G AH T IH NG
DISAGGREGATION	D IH S AE G R IH G AH SH AH N
DISAGGREGATIONS	D IH S AE G R IH G AH SH AH N Z
DISAGGREGATIVE	D IH S AE G R IH G AH T IH V
DISAGREE	D IH S AH G R IY
DISAGREEABLE	D IH S AH G R IY AH B AH L
DISAGREEABLENESS	D IH S AH G R IY AH B AH L N AH S
DISAGREEABLENESSES	D IH S AH G R IY AH B AH L N AH S IH Z
DISAGREEABLY	D IH S AH G R IY AH B L IY
DISAGREED	D IH S AH G R IY D
DISAGREEING	D IH S AH G R IY IH NG
DISAGREEMENT	D IH S AH G R IY M AH N T
DISAGREEMENTS	D IH S AH G R IY M AH N T S
DISAGREES	D IH S AH G R IY Z
DISAPPEARED	D IH S AH P IH R D
DISAPPEARED(2)	D IH S AH P IY R D
DISBARRED	D IH S B AA R D
DISCLOSURE	D IH S K L OW ZH ER
DISCLOSURES	D IH S K L OW ZH ER Z
DISCOLORED	D IH S K AH L ER D
DISCOMFITURE	D IH S K AH M F IH CH ER
DISCOMFITURES	D IH S K AH M F IH CH ER Z
DISCOMPOSURE	D IH S K AH M P OW ZH ER
DISCOMPOSURES	D IH S K AH M P OW ZH ER Z
DISCOVERED	D IH S K AH V ER D
DISCOVERER	D IH S K AH V AH R ER
DISCOVERERS	D IH S K AH V AH R ER Z
DISCREDIT	D IH S K R EH D AH T
DISCREDITABLE	D IH S K R EH D AH T AH B AH L
DISCREDITABLY	D IH S K R EH D AH T AH B L IY
DISCREDITED	D IH S K R EH D IH T IH D
DISCREDITING	D IH S K R EH D AH T IH NG
DISCREDITS	D IH S K R EH D AH T S
DISCREET	D IH S K R IY T
DISCREETER	D IH S K R IY T ER
DISCREETEST	D IH S K R IY T AH S T
DISCREETLY	D IH S K R IY T L IY
DISCREETNESS	D IH S K R IY T N AH S
DISCREETNESSES	D IH S K R IY T N AH S IH Z
DISCREPANCIES	D IH S K R EH P AH N S IY Z
DISCREPANCY	D IH S K R EH P AH N S IY
DISCREPANT	D IH S K R EH P AH N T
DISCREPANTLY	D IH S K R EH P AH N T L IY
DISCRETE	D IH S K R IY T
DISCRETELY	D IH S K R IY T L IY
DISCRETENESS	D IH S K R IY T N AH S
DISCRETENESSES	D IH S K R IY T N AH S IH Z
DISCRETION	D IH S K R EH SH AH N
DISCRETIONARY	D IH S K R EH SH AH N EH R IY
DISCRETIONS	D IH S K R EH SH AH N Z
DISENCUMBERED	D IH S EH N K AH M B ER D
DISFAVORED	D IH S F EY V ER D
DISFIGURE	D IH S F IH G Y ER
DISFIGURED	D IH S F IH G Y ER D
DISFIGUREMENT	D IH S F IH G Y ER M EH N T
DISFIGUREMENTS	D IH S F IH G Y ER M AH N T S
DISFIGURES	D IH S F IH G Y ER Z
DISHONORED	D IH S AA N ER D
DISHONORER	D IH S AA N ER ER
DISHONORERS	D IH S AA N ER ER Z
DISHWARE	D IH SH W EH R
DISHWARES	D IH SH W EH R Z
DISINTEREST	D IH S IH N T ER AH S T
DISINTERESTED	D IH S IH N T R IH S T IH D
DISINTERESTED(2)	D IH S IH N R IH S T IH D
DISINTERESTEDLY	D IH S IH N T R AH S T AH D L IY
DISINTERESTEDNESS	D IH S IH N T R AH S T AH D N AH S
DISINTERESTEDNESSES	D IH S IH N T R AH S T AH D N AH S IH Z
DISINTERESTING	D IH S IH N T R AH S T IH NG
DISINTERESTS	D IH S IH N T R AH S T S
DISINTERRED	D IH S IH N T ER R EH D
DISJUNCTURE	D IH S JH AH NG K CH ER
DISJUNCTURES	D IH S JH AH NG K CH ER Z
DISMEMBERED	D IH S M EH M B ER D
DISORDERED	D IH S AO R D ER D
DISORDEREDLY	D IH S AO R D ER AH D L IY
DISORDEREDNESS	D IH S AO R D ER AH D N AH S
DISORDEREDNESSES	D IH S AO R D ER AH D N AH S IH Z
DISPLEASURE	D IH S P L EH ZH ER
DISPLEASURES	D IH S P L EH ZH ER Z
DISPOSURE	D IH S P OW ZH ER
DISPOSURES	D IH S P OW ZH ER Z
DISPREAD	D IH S R IY AE D
DISPREADING	D IH S R IY EY D AH NG
DISPREADS	D IH S R IY AE D Z
DISREGARD	D IH S R IH G AA R D
DISREGARDED	D IH S R IH G AA R D IH D
DISREGARDFUL	D IH S R IH G AA R D F AH L
DISREGARDING	D IH S R IH G AA R D IH NG
DISREGARDS	D IH S R IH G AA R D Z
DISRELATED	D IH S R IH L EY T IH D
DISRELATION	D IH S R IY L EY SH AH N
DISRELATIONS	D IH S R IY L EY SH AH N Z
DISRELISH	D IH S R EH L IH SH
DISRELISHED	D IH S R EH L IH SH T
DISRELISHES	D IH S R EH L IH SH IH Z
DISRELISHING	D IH S R EH L IH SH IH NG
DISREMEMBER	D IH S R IH M EH M B ER
DISREMEMBERED	D IH S R IH M EH M B ER D
DISREMEMBERING	D IH S R IH M EH M B ER IH NG
DISREMEMBERS	D IH S R IH M EH M B ER Z
DISREPAIR	D IH S R IH P EH R
DISREPAIRS	D IH S R IH P EH R Z
DISREPUTABILITIES	D IH S R IH P Y UW T AH B IH L AH T EH Z
DISREPUTABILITY	D IH S R IH P Y UW T AH B IH L AH T EH
DISREPUTABLE	D IH S R EH P Y AH T AH B AH L
DISREPUTABLENESS	D IH S R EH P Y AH T AH B AH L N AH S
DISREPUTABLENESSES	D IH S R EH P Y AH T AH B AH L N AH S IH Z
DISREPUTABLY	D IH S R IH P Y UW T AH B L IY
DISREPUTE	D IH S R IH P Y UW T
DISREPUTES	D IH S R IH P Y UW T S
DISRESPECT	D IH S R IH S P EH K T
DISRESPECTABILITIES	D IH S R IH S P EH K T AH B IH L AH T EH Z
DISRESPECTABILITY	D IH S R IH S P EH K T AH B IH L AH T EH
DISRESPECTABLE	D IH S R IH S P EH K T AH B AH L
DISRESPECTED	D IH S R IH S P EH K T IH D
DISRESPECTFUL	D IH S R IH S P EH K T F AH L
DISRESPECTFULLY	D IH S R IH S P EH K T F AH L IY
DISRESPECTFULNESS	D IH S R IH S P EH K T F AH L N AH S
DISRESPECTFULNESSES	D IH S R IH S P EH K T F AH L N AH S IH Z
DISRESPECTING	D IH S R IH S P EH K T IH NG
DISRESPECTS	D IH S R IH S P EH K T S
DISSEVERED	D IH S EH V ER D
DISTEMPERATURE	D IH S T EH M P ER AH CH ER
DISTEMPERATURES	D IH S T EH M P ER AH CH ER Z
DISTEMPERED	D IH S T EH M P ER D
DISTRESS	D IH S T R EH S
DISTRESSED	D IH S T R EH S T
DISTRESSES	D IH S T R EH S IH Z
DISTRESSFUL	D IH S T R EH S F AH L
DISTRESSFULLY	D IH S T R EH S F AH L IY
DISTRESSFULNESS	D IH S T R EH S F AH L N AH S
DISTRESSFULNESSES	D IH S T R EH S F AH L N AH S IH Z
DISTRESSING	D IH S T R EH S IH NG
DISTRESSINGLY	D IH S T R EH S IH NG L IY
DITHERED	D AH TH IY R D
DITHERER	D AH TH IY R AH R
DITHERERS	D IH TH AH R AH R Z
DIURESES	D AY Y ER Z IH Z
DIURESIS	D AY Y ER Z IY Z
DIURETIC	D AY UW R EH T IH K
DIURETICALLY	D AY AH R EH T AH K AE L IY
DIURETICS	D AY UW R EH T IH K S
DIVESTITURE	D IH V EH S T IH CH ER
DIVESTITURE(2)	D AY V EH S T IH CH ER
DIVESTITURES	D IH V EH S T IH CH ER Z
DIVESTITURES(2)	D AY V EH S T IH CH ER Z
DOCTORED	D AA K T ER D
DOCTRINAIRE	D AA K T R AH N EH R
DOCTRINAIRES	D AA K T R AH N EH R Z
DODDERED	D AA D IY R D
DODDERER	D AA D IY R AH R
DODDERERS	D AA D AH R AH R Z
DOGEARED	D AA G IY R D
DOGGEREL	D AA G ER AH L
DOGGERELS	D AA JH AH R AH L Z
DOGGREL	D AA G R AH L
DOGGRELS	D AA G R AH L Z
DOMINEERED	D AA M AH N IH R D
DONNERED	D AA N ER D
DORE	D AO R
DOSSERET	D AA S AH R AH T
DOSSERETS	D AA S AH R AH T S
DOTTEREL	D AA T AH R AH L
DOTTERELS	D AA T AH R AH L Z
DOTTREL	D AA T R AH L
DOTTRELS	D AA T R AH L Z
DOUBLURE	D AH B AH L Y ER
DOUBLURES	D AH B AH L Y ER Z
DOURER	D AW ER ER
DOUREST	D AW ER AH S T
DOWERED	D AW ER D
DOWNSTREAM	D AW N S T R IY M
DOWNTREND	D AW N T R EH N D
DOWNTRENDS	D AW N T R EH N D Z
DRAWBORE	D R AO B AO R
DRAWBORES	D R AO B AO R Z
DREAD	D R EH D
DREADED	D R EH D IH D
DREADFUL	D R EH D F AH L
DREADFULLY	D R EH D F AH L IY
DREADFULNESS	D R EH D F AH L N AH S
DREADFULNESSES	D R EH D F AH L N AH S IH Z
DREADFULS	D R EH D F AH L Z
DREADING	D R EH D IH NG
DREADLOCK	D R EH D L AA K
DREADLOCKS	D R EH D L AA K S
DREADNOUGHT	D R EH D N AO T
DREADNOUGHTS	D R EH D N AO T S
DREADS	D R EH D Z
DREAM	D R IY M
DREAMED	D R IY M D
DREAMER	D R IY M ER
DREAMERS	D R IY M ER Z
DREAMFUL	D R IY M F AH L
DREAMFULLY	D R IY M F AH L IY
DREAMFULNESS	D R IY M F AH L N AH S
DREAMFULNESSES	D R IY M F AH L N AH S IH Z
DREAMIER	D R IY M IY ER
DREAMIEST	D R IY M IY AH S T
DREAMILY	D R IY M IY L IY
DREAMINESS	D R IY M IY N AH S
DREAMINESSES	D R IY M IY N AH S IH Z
DREAMING	D R IY M IH NG
DREAMLAND	D R IY M L AE N D
DREAMLANDS	D R IY M L AE N D Z
DREAMLESS	D R IY M L AH S
DREAMLESSLY	D R IY M L AH S L IY
DREAMLESSNESS	D R IY M L AH S N AH S
DREAMLESSNESSES	D R IY M L AH S N AH S IH Z
DREAMLIKE	D R IY M L AY K
DREAMS	D R IY M Z
DREAMT	D R EH M T
DREAMTIME	D R IY M T AY M
DREAMTIMES	D R IY M T AY M Z
DREAMWORLD	D R IY M W ER L D
DREAMWORLDS	D R IY M W ER L D Z
DREAMY	D R IY M IY
