SH	EH S
POLISHER	P AA L IH SH ER
POLISHERS	P AA L IH SH ER Z
POLISHES	P AA L IH SH IH Z
POLISHING	P AA L IH SH IH NG
POORISH	P UH R IH SH
POPISH	P OW P IH SH
POPISHLY	P OW P IH SH L IY
POSH	P AA SH
POSHER	P AA SH ER
POSHEST	P AA SH AH S T
POSHLY	P AA SH L IY
POSHNESS	P AA SH N AH S
POSHNESSES	P AA SH N AH S IH Z
POSTCRASH	P OW S T K R AE SH
POSTMASTERSHIP	P OW S T M AE S T ER SH IH P
POSTMASTERSHIPS	P OW S T M AE S T ER SH IH P S
POSTSHOW	P OW S T SH OW
POSTWORKSHOP	P OW S T W ER K SH AA P
POTASH	P AA T AE SH
POTASHES	P AA T AE SH IH Z
POTSHARD	P AA T SH AA R D
POTSHARDS	P AA T SH AA R D Z
POTSHERD	P AA T S HH ER D
POTSHERDS	P AA T S HH ER D Z
POTSHOT	P AA SH AA T
POTSHOTS	P AA CH AA T S
POTSHOTTING	P AA T SH AA T IH NG
PRAETORSHIP	P R IY T AH R SH IH P
PRAETORSHIPS	P R IY T AO R SH AH P S
PRANKISH	P R AE NG K IH SH
PRANKISHLY	P R AE NG K IH SH L IY
PRANKISHNESS	P R AE NG K IH SH N AH S
PRANKISHNESSES	P R AE NG K IH SH N AH S IH Z
PRECENTORSHIP	P R IY S EH N T ER SH IH P
PRECENTORSHIPS	P R IY S EH N T ER SH IH P S
PRECEPTORSHIP	P R IY S EH P T ER SH IH P
PRECEPTORSHIPS	P R IY S EH P T ER SH IH P S
PRECRASH	P R IY K R AE SH
PREESTABLISH	P R IY IH S T AE B L IH SH
PREESTABLISHED	P R IY IH S T AE B L IH SH T
PREESTABLISHES	P R IY IH S T AE B L IH SH IH Z
PREESTABLISHING	P R IY IH S T AE B L IH SH IH NG
PREFRESHMAN	P R IY F R EH SH M AE N
PREFRESHMEN	P R IY F R EH SH M EH N
PREMIERSHIP	P R EH M IH R SH IH P
PREMIERSHIPS	P R IH M IH ER SH IH P S
PREMONISH	P R IY M OW N AH SH
PREMONISHED	P R IY M AA N AH SH T
PREMONISHES	P R IY M AA N AH SH AH Z
PREMONISHING	P R IY M AA N AH SH AH NG
PRESHAPE	P R IY SH EY P
PRESHAPED	P R IY SH EY P T
PRESHAPES	P R IY SH EY P S
PRESHAPING	P R IY SH EY P IH NG
PRESHOW	P R IY SH OW
PRESHOWED	P R IY SH OW D
PRESHOWING	P R IY SH OW IH NG
PRESHOWN	P R IY SH OW N
PRESHOWS	P R IY SH OW Z
PRESHRANK	P R IY SH R AE NG K
PRESHRINK	P R IY SH R IH NG K
PRESHRINKING	P R IY SH R IH NG K IH NG
PRESHRINKS	P R IY SH R IH NG K S
PRESHRUNK	P R IY SH R AH NG K
PRESHRUNKEN	P R IY SH R AH NG K AH N
PRESIDENTSHIP	P R EH Z AH D AH N T SH IH P
PRESIDENTSHIPS	P R EH Z AH D AH N T SH IH P S
PRETTYISH	P R IH T IY IH SH
PREWASH	P R IY W AA SH
PREWASHED	P R IY W AA SH T
PREWASHES	P R IY W AA SH IH Z
PREWASHING	P R IY W AA SH IH NG
PRIGGISH	P R IH G AH SH
PRIGGISHLY	P R IH JH IH SH L IY
PRIGGISHNESS	P R IH JH IH SH N AH S
PRIGGISHNESSES	P R IH JH IH SH N EH S AH Z
PRIMATESHIP	P R AY M AH T SH IH P
PRIMATESHIPS	P R AY M AH T SH IH P S
PRINCESHIP	P R IH N S SH IH P
PRINCESHIPS	P R IH N S SH IH P S
PRINCIPALSHIP	P R IH N S AH P AH L SH IH P
PRINCIPALSHIPS	P R IH N S AH P AH L SH IH P S
PRIORSHIP	P R AY ER SH IH P
PRIORSHIPS	P R AY ER SH IH P S
PROCONSULSHIP	P R OW K AA N S AH L SH IH P
PROCONSULSHIPS	P R OW K AA N S AH L SH IH P S
PROCTORSHIP	P R AA K T ER SH IH P
PROCTORSHIPS	P R AA K T ER SH IH P S
PROFESSORSHIP	P R AH F EH S ER SH IH P
PROFESSORSHIPS	P R AH F EH S ER SH IH P S
PROPRIETORSHIP	P R AH P R AY AH T ER SH IH P
PROPRIETORSHIPS	P R AH P R AY AH T ER SH IH P S
PROTECTORSHIP	P R AH T EH K T ER SH IH P
PROTECTORSHIPS	P R AH T EH K T ER SH IH P S
PRUDISH	P R UW D IH SH
PRUDISHLY	P R UW D IH SH L IY
PRUDISHNESS	P R UW D IH SH N AH S
PRUDISHNESSES	P R UW D IH SH N AH S IH Z
PSHAW	SH AO
PSHAWED	SH AO D
PSHAWING	SH AO AH NG
PSHAWS	SH AO Z
PUBLISH	P AH B L IH SH
PUBLISHABLE	P AH B L IH SH AH B AH L
PUBLISHED	P AH B L IH SH T
PUBLISHER	P AH B L IH SH ER
PUBLISHERS	P AH B L IH SH ER Z
PUBLISHES	P AH B L IH SH AH Z
PUBLISHES(2)	P AH B L IH SH IH Z
PUBLISHING	P AH B L IH SH IH NG
PUBLISHINGS	P AH B L IH SH IH NG Z
PUCKISH	P AH K IH SH
PUCKISHLY	P AH K IH SH L IY
PUCKISHNESS	P AH K IH SH N AH S
PUCKISHNESSES	P AH K IH SH N AH S IH Z
PUGGISH	P AH G IH SH
PUNISH	P AH N IH SH
PUNISHABILITIES	P AH N IH SH AH B IH L AH T EH Z
PUNISHABILITY	P AH N IH SH AH B IH L AH T EH
PUNISHABLE	P AH N IH SH AH B AH L
PUNISHED	P AH N IH SH T
PUNISHER	P AH N IH SH ER
PUNISHERS	P AH N IH SH ER Z
PUNISHES	P AH N IH SH AH Z
PUNISHING	P AH N IH SH IH NG
PUNISHMENT	P AH N IH SH M AH N T
PUNISHMENTS	P AH N IH SH M AH N T S
PUNKISH	P AH NG K IH SH
PUPFISH	P AH P F IH SH
PUPFISHES	P AH P F IH SH IH Z
PUPPYISH	P AH P IY IH SH
PURPLISH	P ER P L IH SH
PUSH	P UH SH
PUSHBALL	P UH SH B AO L
PUSHBALLS	P UH SH B AO L Z
PUSHCART	P UH SH K AA R T
PUSHCARTS	P UH SH K AA R T S
PUSHCHAIR	P UH SH CH EH ER
PUSHCHAIRS	P UH SH CH EH ER Z
PUSHDOWN	P UH SH D AW N
PUSHDOWNS	P UH SH D AW N Z
PUSHED	P UH SH T
PUSHER	P UH SH ER
PUSHERS	P UH SH ER Z
PUSHES	P UH SH AH Z
PUSHES(2)	P UH SH IH Z
PUSHFUL	P UH SH F AH L
PUSHFULNESS	P UH SH F AH L N AH S
PUSHFULNESSES	P UH SH F AH L N AH S IH Z
PUSHIER	P UH SH IY ER
PUSHIEST	P UH SH IY AH S T
PUSHILY	P UH SH IY L IY
PUSHINESS	P UH SH IY N AH S
PUSHINESSES	P UH SH IY N AH S IH Z
PUSHING	P UH SH IH NG
PUSHOVER	P UH SH OW V ER
PUSHOVERS	P UH SH OW V ER Z
PUSHPIN	P UH SH P IH N
PUSHPINS	P UH SH P IH N Z
PUSHROD	P UH SH R AA D
PUSHRODS	P UH SH R AA D Z
PUSHUP	P UH SH AH P
PUSHUPS	P UH SH AH P S
PUSHY	P UH SH IY
PYGMYISH	P IH G M AY AH SH
QUACKISH	K W AE K IH SH
QUALMISH	K W AA M IH SH
QUALMISHLY	K W AA M IH SH L IY
QUALMISHNESS	K W AA M IH SH N AH S
QUALMISHNESSES	K W AA M IH SH N AH S IH Z
QUAMASH	K W AA M AH SH
QUAMASHES	K W AA M AH SH AH Z
QUASH	K W AO SH
QUASHED	K W AO SH T
QUASHER	K W AA SH ER
QUASHERS	K W AA SH ER Z
QUASHES	K W AA SH IH Z
QUASHING	K W AO SH IH NG
QUEENSHIP	K W IY N SH IH P
QUEENSHIPS	K W IY N SH IH P S
QUEERISH	K W IH ER IH SH
QUIPPISH	K W IH P IH SH
QUIRKISH	K W ER K IH SH
QURSH	K W R SH
QURSHES	K W R SH IH Z
QURUSH	K W R AH SH
QURUSHES	K W R AH SH AH Z
RABBITBRUSH	R AE B AH T B R AH SH
RABBITBRUSHES	R AE B AH T B R AH SH IH Z
RADISH	R AE D IH SH
RADISHES	R AE D IH SH IH Z
RAFFISH	R AE F IH SH
RAFFISHLY	R AE F IH SH L IY
RAFFISHNESS	R AE F IH SH N AH S
RAFFISHNESSES	R AE F IH SH N AH S IH Z
RAINWASH	R EY N W AA SH
RAINWASHED	R EY N W AA SH T
RAINWASHES	R EY N W AA SH IH Z
RAINWASHING	R EY N W AA SH IH NG
RAKISH	R EY K IH SH
RAKISHLY	R EY K IH SH L IY
RAKISHNESS	R EY K IH SH N AH S
RAKISHNESSES	R EY K IH SH N AH S IH Z
RAMMISH	R AE M IH SH
RAMSHACKLE	R AE M SH AE K AH L
RAMSHORN	R AE M Z HH AO R N
RAMSHORNS	R AE M Z HH AO R N Z
RANKISH	R AE NG K IH SH
RASH	R AE SH
RASHER	R AE SH ER
RASHERS	R AE SH ER Z
RASHES	R AE SH IH Z
RASHEST	R AE SH AH S T
RASHLIKE	R AE SH L AY K
RASHLY	R AE SH L IY
RASHNESS	R AE SH N AH S
RASHNESSES	R AE SH N AH S IH Z
RASPISH	R AE S P IH SH
RATFISH	R AE T F IH SH
RATFISHES	R AE T F IH SH IH Z
RATTISH	R AE T IH SH
RAVISH	R EY V IH SH
RAVISHED	R EY V IH SH T
RAVISHER	R EY V IH SH ER
RAVISHERS	R EY V IH SH ER Z
RAVISHES	R EY V IH SH IH Z
RAVISHING	R AE V IH SH IH NG
RAVISHINGLY	R EY V IH SH IH NG L IY
RAVISHMENT	R EY V IH SH M AH N T
RAVISHMENTS	R EY V IH SH M AH N T S
RAWISH	R AO IH SH
READERSHIP	R IY D ER SH IH P
READERSHIPS	R IY D ER SH IH P S
RECEIVERSHIP	R IH S IY V ER SH IH P
RECEIVERSHIP(2)	R IY S IY V ER SH IH P
RECEIVERSHIPS	R IH S IY V ER SH IH P S
RECTORSHIP	R EH K T ER SH IH P
RECTORSHIPS	R EH K T ER SH IH P S
REDDISH	R EH D IH SH
REDDISHNESS	R EH D IH SH N AH S
REDDISHNESSES	R EH D IH SH N AH S IH Z
REDFISH	R EH D F IH SH
REDFISHES	R EH D F IH SH IH Z
REDSHANK	R EH D SH AE NG K
REDSHANKS	R EH D SH AE NG K S
REDSHIFT	R EH D SH IH F T
REDSHIFTED	R EH D SH IH F T IH D
REDSHIFTS	R EH D SH IH F T S
REDSHIRT	R EH D SH ER T
REDSHIRTED	R EH D SH ER T IH D
REDSHIRTING	R EH D SH ER T IH NG
REDSHIRTS	R EH D SH ER T S
REESTABLISH	R IY IH S T AE B L IH SH
REESTABLISHED	R IY IH S T AE B L IH SH T
REESTABLISHES	R IY IH S T AE B L IH SH IH Z
REESTABLISHING	R IY IH S T AE B L IH SH IH NG
REESTABLISHMENT	R IY IH S T AE B L IH SH M AH N T
REESTABLISHMENTS	R IY IH S T AE B L IH SH M AH N T S
REFASHION	R IY F AE SH AH N
REFASHIONED	R IY F AE SH AH N D
REFASHIONING	R IY F AE SH AH N IH NG
REFASHIONS	R IY F AE SH AH N Z
REFINISH	R IY F IH N IH SH
REFINISHED	R IY F IH N IH SH T
REFINISHER	R IY F IH N IH SH ER
REFINISHERS	R IY F IH N IH SH ER Z
REFINISHES	R IY F IH N IH SH IH Z
REFINISHING	R IY F IH N IH SH IH NG
REFRESH	R IH F R EH SH
REFRESHED	R IY F R EH SH T
REFRESHEN	R IY F R EH SH AH N
REFRESHENED	R IY F R EH SH AH N D
REFRESHENING	R IY F R EH SH AH N IH NG
REFRESHENS	R IY F R EH SH AH N Z
REFRESHER	R IH F R EH SH ER
REFRESHERS	R IY F R EH SH ER Z
REFRESHES	R IH F R EH SH IH Z
REFRESHING	R IH F R EH SH IH NG
REFRESHINGLY	R IY F R EH SH IH NG L IY
REFRESHMENT	R AH F R EH SH M AH N T
REFRESHMENTS	R AH F R EH SH M AH N T S
REFURBISH	R IY F ER B IH SH
REFURBISHED	R IY F ER B IH SH T
REFURBISHER	R IY F ER B IH SH ER
REFURBISHERS	R IY F ER B IH SH ER Z
REFURBISHES	R IY F ER B IH SH IH Z
REFURBISHING	R IY F ER B IH SH IH NG
REFURBISHMENT	R IY F ER B IH SH M AH N T
REFURBISHMENTS	R IY F ER B IH SH M AH N T S
REFURNISH	R IY F ER N IH SH
REFURNISHED	R IY F ER N IH SH T
REFURNISHES	R IY F ER N IH SH IH Z
REFURNISHING	R IY F ER N IH SH IH NG
REHASH	R IY HH AE SH
REHASHED	R IY HH AE SH T
REHASHES	R IY HH AE SH IH Z
REHASHING	R IY HH AE SH IH NG
RELATIONSHIP	R IY L EY SH AH N SH IH P
RELATIONSHIPS	R IY L EY SH AH N SH IH P S
RELINQUISH	R IH L IH NG K W IH SH
RELINQUISH(2)	R IY L IH NG K W IH SH
RELINQUISHED	R IH L IH NG K W IH SH T
RELINQUISHED(2)	R IY L IH NG K W IH SH T
RELINQUISHES	R IH L IH NG K W IH SH IH Z
RELINQUISHING	R IY L IH NG K W IH SH IH NG
RELINQUISHMENT	R IH L IH NG K W IH SH M AH N T
RELINQUISHMENTS	R IH L IH NG K W IH SH M AH N T S
RELISH	R EH L IH SH
RELISHABLE	R EH L IH SH AH B AH L
RELISHED	R EH L IH SH T
RELISHES	R EH L IH SH AH Z
RELISHES(2)	R EH L IH SH IH Z
RELISHING	R EH L IH SH IH NG
REPLENISH	R IY P L EH N IH SH
REPLENISHABLE	R IY P L EH N IH SH AH B AH L
REPLENISHED	R IY P L EH N IH SH T
REPLENISHER	R IY P L EH N IH SH ER
REPLENISHERS	R IY P L EH N IH SH ER Z
REPLENISHES	R IY P L EH N IH SH IH Z
REPLENISHING	R IY P L EH N IH SH IH NG
REPLENISHMENT	R IH P L EH N IH SH M AH N T
REPLENISHMENTS	R IY P L EH N IH SH M AH N T S
REPOLISH	R IY P AA L IH SH
REPOLISHED	R IY P AA L IH SH T
REPOLISHES	R IY P AA L IH SH IH Z
REPOLISHING	R IY P AA L IH SH IH NG
REPUBLISH	R IY P AH B L IH SH
REPUBLISHED	R IY P AH B L IH SH T
REPUBLISHER	R IY P AH B L IH SH ER
REPUBLISHERS	R IY P AH B L IH SH ER Z
REPUBLISHES	R IY P AH B L IH SH IH Z
REPUBLISHING	R IY P AH B L IH SH IH NG
RESH	R EH SH
RESHAPE	R IY SH EY P
RESHAPED	R IY SH EY P T
RESHAPER	R IY SH EY P ER
RESHAPERS	R IY SH EY P ER Z
RESHAPES	R IY SH EY P S
RESHAPING	R IY SH EY P IH NG
RESHAVE	R IY SH EY V
RESHAVED	R IY SH EY V D
RESHAVEN	R IY SH EY V AH N
RESHAVES	R IY SH EY V Z
RESHAVING	R IY SH EY V IH NG
RESHES	R EH SH AH Z
RESHINE	R IY SH AY N
RESHINED	R IY SH AY N D
RESHINES	R IY SH AY N Z
RESHINGLE	R IY SH IH NG G AH L
RESHINGLED	R IY SH IH NG G AH L D
RESHINGLES	R IY SH IH NG G AH L Z
RESHINGLING	R IY SH IH NG G AH L IH NG
RESHINING	R IY SH AY N IH NG
RESHIP	R IY SH IH P
RESHIPPED	R IY SH IH P T
RESHIPPING	R IY SH IH P IH NG
RESHIPS	R IY SH IH P S
RESHOD	R IY SH AA D
RESHOE	R IY SH UW
RESHOEING	R IY SH UW IH NG
RESHOES	R IY SH UW Z
RESHONE	R IY SH OW N
RESHOOT	R IY SH UW T
RESHOOTING	R IY SH UW T IH NG
RESHOOTS	R IY SH UW T S
RESHOT	R IY SH AO T
RESHOW	R IY SH OW
RESHOWED	R IY SH OW D
RESHOWING	R IY SH OW IH NG
RESHOWN	R IY SH OW N
RESHOWS	R IY SH OW Z
RESHUFFLE	R IY SH AH F AH L
RESHUFFLED	R IY SH AH F AH L D
RESHUFFLES	R IY SH AH F AH L Z
RESHUFFLING	R IY SH AH F AH L IH NG
RESHUFFLING(2)	R IY SH AH F L IH NG
REWASH	R IY W AA SH
REWASHED	R IY W AA SH T
REWASHES	R IY W AA SH IH Z
REWASHING	R IY W AA SH IH NG
RIBBONFISH	R IH B AH N F IH SH
RIBBONFISHES	R IH B AH N F IH SH IH Z
RICKSHA	R IH K AH
RICKSHAS	R IH K AH Z
RICKSHAW	R IH K SH AO
RICKSHAWS	R IH K SH AO Z
RIDERSHIP	R AY D ER SH IH P
RIDERSHIPS	R AY D ER SH IH P S
RIKISHA	R IH K AH SH AH
RIKISHAS	R IH K AH SH AH Z
RIKSHAW	R IH K AH
RIKSHAWS	R IH K AH Z
RISHI	R IH SH IY
RISHIS	R IH SH AH S
ROADSHOW	R OW D SH OW
ROADSHOWS	R OW D SH OW Z
ROCKFISH	R AA K F IH SH
ROCKFISHES	R AA K F IH SH IH Z
ROCKSHAFT	R AA K SH AE F T
ROCKSHAFTS	R AA K SH AE F T S
ROGUISH	R OW G IH SH
ROGUISHLY	R OW G IH SH L IY
ROGUISHNESS	R OW G IH SH N AH S
ROGUISHNESSES	R OW G IH SH N AH S IH Z
ROMPISH	R AA M P IH SH
ROSEBUSH	R OW Z B UH SH
ROSEBUSHES	R OW Z B UH SH IH Z
ROSEFISH	R OW Z F IH SH
ROSEFISHES	R OW Z F IH SH IH Z
ROUGHISH	R AH F IH SH
ROUGHSHOD	R AH F SH AA D
ROUNDISH	R AW N D IH SH
ROWDYISH	R AW D IY IH SH
RUBBISH	R AH B IH SH
RUBBISHES	R AH B IH SH IH Z
RUBBISHY	R AH B IH SH IY
RULERSHIP	R UW L ER SH IH P
RULERSHIPS	R UW L ER SH IH P S
RUNTISH	R AH N T IH SH
RUSH	R AH SH
RUSHED	R AH SH T
RUSHEE	R AH SH IY
RUSHEES	R AH SH IY Z
RUSHER	R AH SH ER
RUSHERS	R AH SH ER Z
RUSHES	R AH SH AH Z
RUSHES(2)	R AH SH IH Z
RUSHIER	R AH SH IY ER
RUSHIEST	R AH SH IY AH S T
RUSHING	R AH SH IH NG
RUSHINGS	R AH SH IH NG Z
RUSHLIGHT	R AH SH L AY T
RUSHLIGHTS	R AH SH L AY T S
RUSHLIKE	R AH SH L AY K
RUSHY	R AH SH IY
RUTTISH	R AH T IH SH
RUTTISHLY	R AH T IH SH L IY
RUTTISHNESS	R AH T IH SH N AH S
RUTTISHNESSES	R AH T IH SH N AH S IH Z
SABLEFISH	S EY B AH L F IH SH
SABLEFISHES	S EY B AH L F IH SH IH Z
SAGANASH	S AE G AH N AH SH
SAGANASHES	S AH G AE N AH SH AH Z
SAGEBRUSH	S EY JH B R AH SH
SAGEBRUSHES	S EY JH B R AH SH IH Z
SAILFISH	S EY L F IH SH
SAILFISHES	S EY L F IH SH IH Z
SAINTSHIP	S EY N T SH IH P
SAINTSHIPS	S EY N T SH IH P S
SALESMANSHIP	S EY L Z M AH N SH IH P
SALESMANSHIPS	S EY L Z M AE N SH IH P S
SALLOWISH	S AE L OW IH SH
SALTBUSH	S AO L T B UH SH
SALTBUSHES	S AO L T B UH SH IH Z
SALTISH	S AO L T IH SH
SALTSHAKER	S AO L T SH EY K ER
SALTSHAKERS	S AO L T SH EY K ER Z
SAMSHU	S AE M SH UW
SAMSHUS	S AE M SH AH S
SANDFISH	S AE N D F IH SH
SANDFISHES	S AE N D F IH SH IH Z
SANDSHOE	S AE N D SH UW
SANDSHOES	S AE N D SH UW Z
SANSCULOTTISH	S AE N S Y AH L AA T AH SH
SASH	S AE SH
SASHAY	S AE SH EY
SASHAYED	S AE SH EY D
SASHAYING	S AE SH EY IH NG
SASHAYS	S AE SH EY Z
SASHED	S AE SH T
SASHES	S AE SH IH Z
SASHIMI	S AE SH AH M IY
SASHIMIS	S AE SH AH M AH S
SASHING	S AE SH IH NG
SAWFISH	S AO F IH SH
SAWFISHES	S AO F IH SH IH Z
SCAMPISH	S K AE M P AH SH
SCATTERSHOT	S K AE T ER SH AA T
SCENESHIFTER	S IY N SH IH F T ER
SCENESHIFTERS	S IY N SH IH F T ER Z
SCHOLARSHIP	S K AA L ER SH IH P
SCHOLARSHIPS	S K AA L ER SH IH P S
SCHOOLBOYISH	S K UW L B OY IH SH
SCHOOLMARMISH	S K UW L M AA R M IH SH
SCHOOLMASTERISH	S K UW L M AE S T ER IH SH
SCRIMSHANDER	S K R IH M Z HH AE N D ER
SCRIMSHANDERS	S K R IH M Z HH AE N D ER Z
SCRIMSHAW	S K R IH M SH AO
SCRIMSHAWED	S K R IH M SH AO D
SCRIMSHAWING	S K R IH M SH AO IH NG
SCRIMSHAWS	S K R IH M SH AO Z
SEAMANSHIP	S IY M AE N SH IH P
SEAMANSHIPS	S IY M AE N SH IH P S
SEASHELL	S IY SH EH L
SEASHELLS	S IY SH EH L Z
SEASHORE	S IY SH AO R
SEASHORES	S IY SH OW R Z
SECRETARYSHIP	S EH K R AH T EH R IY SH IH P
SECRETARYSHIPS	S EH K R AH T EH R IY SH IH P S
SELFISH	S EH L F IH SH
SELFISHLY	S EH L F IH SH L IY
SELFISHNESS	S EH L F IH SH N AH S
SELFISHNESSES	S EH L F IH SH N AH S IH Z
SEMIFINISHED	S EH M IY F IH N IH SH T
SEMIFINISHED(2)	S EH M AY F IH N IH SH T
SEMIFINISHED(3)	S EH M IH F IH N IH SH T
SEMISHRUBBY	S EH M IY SH R AH B IY
SENATORSHIP	S EH N AH T ER SH IH P
SENATORSHIPS	S EH N AH T ER SH IH P S
SERFISH	S ER F IH SH
SH	EH S
SHA	SH AA
SHABBIER	SH AE B IY ER
SHABBIEST	SH AE B IY AH S T
SHABBILY	SH AE B IY L IY
SHABBINESS	SH AE B IY N AH S
SHABBINESSES	SH AE B IY N AH S IH Z
SHABBY	SH AE B IY
SHACK	SH AE K
SHACKLE	SH AE K AH L
SHACKLEBONE	SH AE K AH L B OW N
SHACKLEBONES	SH AE K AH L B OW N Z
SHACKLED	SH AE K AH L D
SHACKLER	SH AE K AH L ER
SHACKLERS	SH AE K AH L ER Z
SHACKLES	SH AE K AH L Z
SHACKLING	SH AE K L IH NG
SHACKO	SH AE K OW
SHACKOES	SH AE K OW Z
SHACKOS	SH AE K AA S
SHACKS	SH AE K S
SHAD	SH AE D
SHADBERRIES	SH AE D EH R AY Z
SHADBERRY	SH AE D EH R IY
SHADBLOW	SH AE D L OW
SHADBLOWS	SH AE D L OW Z
SHADBUSH	SH AE D B UH SH
SHADBUSHES	SH AE D AH SH AH Z
SHADCHAN	SH AE D CH AH N
SHADCHANIM	SH AE D CH AH N AH M
SHADCHANS	SH AE D CH AH N Z
SHADDOCK	SH AE D AH K
SHADDOCKS	SH AE D AH K S
SHADE	SH EY D
SHADED	SH EY D IH D
SHADELESS	SH EY D L AH S
SHADER	SH EY D ER
SHADERS	SH EY D ER Z
SHADES	SH EY D Z
SHADFLIES	SH AE D F L AY Z
SHADFLY	SH AE D F L IY
SHADIER	SH EY D IY ER
SHADIEST	SH EY D IY AH S T
SHADILY	SH EY D IY L IY
SHADINESS	SH EY D IY N AH S
SHADINESSES	SH EY D IY N AH S IH Z
SHADING	SH EY D IH NG
SHADINGS	SH EY D IH NG Z
SHADOOF	SH AH D UW F
SHADOOFS	SH AH D UW F S
SHADOW	SH AE D OW
SHADOWBOX	SH AE D OW B AA K S
SHADOWBOXED	SH AE D OW B AA K S T
SHADOWBOXES	SH AE D OW B AA K S IH Z
SHADOWBOXING	SH AE D OW B AA K S IH NG
SHADOWED	SH AE D OW D
SHADOWER	SH AE D OW ER
SHADOWERS	SH AE D OW ER Z
SHADOWGRAPH	SH AE D OW G R AE F
SHADOWGRAPHIES	SH AE D OW G R AE F IY Z
SHADOWGRAPHS	SH AE D OW G R AE F S
SHADOWGRAPHY	SH AE D OW G R AE F IY
SHADOWIER	SH AE D OW IY ER
SHADOWIEST	SH AE D OW IY AH S T
SHADOWILY	SH AE D OW IY L IY
SHADOWINESS	SH AE D OW IY N AH S
SHADOWINESSES	SH AE D OW IY N AH S IH Z
SHADOWING	SH AE D OW IH NG
SHADOWLESS	SH AE D OW L AH S
SHADOWLIKE	SH AE D OW L AY K
SHADOWS	SH AE D OW Z
SHADOWY	SH AE D OW IY
SHADRACH	SH AE D R AH CH
SHADRACHS	SH AE D R AH CH S
SHADS	SH AE D Z
SHADUF	SH AE D AH F
SHADUFS	SH AE D AH F S
SHADY	SH EY D IY
SHAFT	SH AE F T
SHAFTED	SH AE F T IH D
SHAFTING	SH AE F T IH NG
SHAFTINGS	SH AE F T IH NG Z
SHAFTS	SH AE F T S
SHAG	SH AE G
SHAGBARK	SH AE G B AA R K
SHAGBARKS	SH AE G B AA R K S
SHAGGED	SH AE G D
SHAGGIER	SH AE G IY ER
SHAGGIEST	SH AE G IY AH S T
SHAGGILY	SH AE G IY L IY
SHAGGINESS	SH AE G IY N AH S
SHAGGINESSES	SH AE G IY N AH S IH Z
SHAGGING	SH AE G IH NG
SHAGGY	SH AE G IY
SHAGGYMANE	SH AE G IY M EY N
SHAGGYMANES	SH AE G IY M EY N Z
SHAGREEN	SH EY G R IY AH N
SHAGREENS	SH AE G R IY N Z
SHAGS	SH AE G Z
SHAH	SH AA
SHAHDOM	SH AA D AH M
SHAHDOMS	SH AA D AH M Z
SHAHS	SH AA Z
SHAIRD	SH AE AH R D
SHAIRDS	SH AE AH R D Z
SHAIRN	SH AE AH R N
SHAIRNS	SH AE AH R N Z
SHAITAN	SH EY T AH N
SHAITANS	SH EY T AH N Z
SHAKABLE	SH EY K AH B AH L
SHAKE	SH EY K
SHAKEABLE	SH EY K AH B AH L
SHAKEDOWN	SH EY K D AW N
SHAKEDOWNS	SH EY K D AW N Z
SHAKEN	SH EY K AH N
SHAKEOUT	SH EY K AW T
SHAKEOUTS	SH EY K AW T S
SHAKER	SH EY K ER
SHAKERS	SH EY K ER Z
SHAKES	SH EY K S
SHAKEUP	SH EY K AH P
SHAKEUPS	SH EY K AH P S
SHAKIER	SH EY K IY ER
SHAKIEST	SH EY K IY IH S T
SHAKILY	SH EY K IY L IY
SHAKINESS	SH EY K IY N AH S
SHAKINESSES	SH EY K IY N AH S IH Z
SHAKING	SH EY K IH NG
SHAKO	SH AE K OW
SHAKOES	SH AH K OW Z
SHAKOS	SH AE K AH Z
SHAKY	SH EY K IY
SHALE	SH EY L
SHALED	SH EY L D
SHALES	SH EY L Z
SHALEY	SH EY L IY
SHALIER	SH AE L AY AH R
SHALIEST	SH AE L AY AH S T
SHALL	SH AE L
SHALLOON	SH AE L UW N
SHALLOONS	SH AE L UW N Z
SHALLOP	SH AE L AH P
SHALLOPS	SH AE L AH P S
SHALLOT	SH AE L AH T
SHALLOTS	SH AE L AH T S
SHALLOW	SH AE L OW
SHALLOWED	SH AE L OW D
SHALLOWER	SH AE L OW ER
SHALLOWEST	SH AE L OW AH S T
SHALLOWING	SH AE L OW IH NG
SHALLOWLY	SH AE L OW L IY
SHALLOWNESS	SH AE L OW N AH S
SHALLOWNESSES	SH AE L OW N AH S IH Z
SHALLOWS	SH AE L OW Z
SHALOM	SH AH L OW M
SHALOMS	SH AA L OW M Z
SHALT	SH AE L T
SHALY	SH AE L IY
SHAM	SH AE M
SHAMABLE	SH EY M AH B AH L
SHAMAN	SH EY M AH N
SHAMANIC	SH AE M AH N AH K
SHAMANISM	SH EY M AH N IH Z M
SHAMANISMS	SH AE M AH N AH Z AH M Z
SHAMANIST	SH AE M AH N AH S T
SHAMANISTIC	SH AE M AH N AH S T AH K
SHAMANISTS	SH EY M AH N IH S T S
SHAMANS	SH EY M AH N Z
SHAMAS	SH AE M AH S
SHAMBLE	SH AE M B AH L
SHAMBLED	SH AE M B AH L D
SHAMBLES	SH AE M B AH L Z
SHAMBLING	SH AE M B AH L IH NG
SHAMBOLIC	SH AE M B AH L AH K
SHAME	SH EY M
SHAMED	SH EY M D
SHAMEFACED	SH EY M F EY S T
SHAMEFACEDLY	SH EY M F EY S AH D L IY
SHAMEFACEDNESS	SH EY M F EY S AH D N AH S
