OU	UW
FELICITOUSNESSES	F IH L IH S AH T AH S N AH S IH Z
FELONIOUS	F EH L OW N IY AH S
FELONIOUSLY	F AH L OW N IY AH S L IY
FELONIOUSNESS	F AH L OW N IY AH S N AH S
FELONIOUSNESSES	F AH L OW N IY AH S N AH S IH Z
FEROCIOUS	F ER OW SH AH S
FEROCIOUSLY	F ER OW SH IH S L IY
FEROCIOUSNESS	F AH R OW SH AH S N AH S
FEROCIOUSNESSES	F AH R OW SH AH S N AH S IH Z
FERREOUS	F EH R IY AH S
FERRIFEROUS	F EH R IH F AH R AH S
FERROUS	F EH R AH S
FERRUGINOUS	F EH R UW JH AH N AH S
FERVOUR	F AH R V AH R
FERVOURS	F AH R V OW Y AH R Z
FEVEROUS	F IY V ER AH S
FIBROMATOUS	F IH B R AA M AH T AH S
FIBROUS	F AY B R AH S
FICTITIOUS	F IH K T IH SH AH S
FICTITIOUSLY	F IH K T IH SH AH S L IY
FICTITIOUSNESS	F IH K T IH SH AH S N AH S
FICTITIOUSNESSES	F IH K T IH SH AH S N AH S IH Z
FILAMENTOUS	F IH L AH M AH N T AH S
FIREHOUSE	F AY ER HH AW S
FIREHOUSES	F AY ER HH AW S IH Z
FISSIPAROUS	F IH S IH P AH R AH S
FISSIPAROUSNESS	F IH S IH P AH R AW Z N AH S
FISSIPAROUSNESSES	F IH S IH P AH R AW Z N EH S AH Z
FISTULOUS	F IH S T Y AH L AH S
FLAGITIOUS	F L AE G AH T IY AH S
FLAGITIOUSLY	F L AE G AH T IY AH S L IY
FLAGITIOUSNESS	F L AE G AH T IY AH S N AH S
FLAGITIOUSNESSES	F L AE G AH T IY AH S N AH S IH Z
FLAMEOUT	F L EY M AW T
FLAMEOUTS	F L EY M AW T S
FLANNELMOUTHED	F L AE N AH L M AW TH T
FLAVOUR	F L AE V AH R
FLAVOURED	F L AH V OW Y AH R D
FLAVOURING	F L AH V OW Y AH R AH NG
FLAVOURS	F L AH V OW Y AH R Z
FLAVOURY	F L AH V AW R IY
FLEXUOUS	F L EH K S Y AH W AH S
FLIRTATIOUS	F L ER T EY SH AH S
FLIRTATIOUSLY	F L ER T EY SH AH S L IY
FLIRTATIOUSNESS	F L ER T EY SH AH S N AH S
FLIRTATIOUSNESSES	F L ER T EY SH AH S N AH S IH Z
FLOPHOUSE	F L AA P HH AW S
FLOPHOUSES	F L AA P HH AW S IH Z
FLORIFEROUS	F L AH R IH F AH R AH S
FLORIFEROUSNESS	F L AH R IH F AH R AW Z N AH S
FLORIFEROUSNESSES	F L AH R IH F AH R AW Z N EH S AH Z
FLOUNCE	F L AW N S
FLOUNCED	F L AW N S T
FLOUNCES	F L AW N S IH Z
FLOUNCIER	F L AW N S IY ER
FLOUNCIEST	F L AW N S IY AH S T
FLOUNCING	F L AW N S IH NG
FLOUNCINGS	F L AW N S IH NG Z
FLOUNCY	F L AW N S IY
FLOUNDER	F L AW N D ER
FLOUNDERED	F L AW N D ER D
FLOUNDERING	F L AW N D ER IH NG
FLOUNDERS	F L AW N D ER Z
FLOUR	F L AW ER
FLOUR(2)	F L AW R
FLOURED	F L AW ER D
FLOURING	F L AW ER IH NG
FLOURISH	F L ER IH SH
FLOURISHED	F L ER IH SH T
FLOURISHER	F L ER IH SH ER
FLOURISHERS	F L ER IH SH ER Z
FLOURISHES	F L ER IH SH AH Z
FLOURISHES(2)	F L ER IH SH IH Z
FLOURISHING	F L ER IH SH IH NG
FLOURISHINGLY	F L ER IH SH IH NG L IY
FLOURLESS	F L AW ER L AH S
FLOURS	F L AW ER Z
FLOURY	F L AW ER IY
FLOUT	F L AW T
FLOUTED	F L AW T IH D
FLOUTER	F L AW T ER
FLOUTERS	F L AW T ER Z
FLOUTING	F L AW T IH NG
FLOUTS	F L AW T S
FLUOROURACIL	F L UW W AH R AH R AH S AH L
FLUOROURACILS	F L UW W AH R AH Y UH R AH S AH L Z
FOGBOUND	F AA G B AW N D
FOLDOUT	F OW L D AW T
FOLDOUTS	F OW L D AW T S
FOLIACEOUS	F OW L IY AH S IY AH S
FOLIOUS	F OW L IY AH S
FORAMINOUS	F AO R AH M AY N AH S
FORECOURT	F OW R K OW R T
FORECOURTS	F OW R K OW R T S
FOREGROUND	F AO R G R AW N D
FOREGROUNDED	F OW R G R AW N D IH D
FOREGROUNDING	F OW R G R AW N D IH NG
FOREGROUNDS	F OW R G R AW N D Z
FORETHOUGHT	F AO R TH AO T
FORETHOUGHTFUL	F OW R TH AO T F AH L
FORETHOUGHTFULLY	F OW R TH AO T F AH L IY
FORETHOUGHTFULNESS	F OW R TH AO T F AH L N AH S
FORETHOUGHTFULNESSES	F OW R TH AO T F AH L N AH S IH Z
FORETHOUGHTS	F OW R TH AO T S
FORTUITOUS	F AO R T UW IH T AH S
FORTUITOUSLY	F AO R T UW T OW AH S L IY
FORTUITOUSNESS	F AO R T AH T AW Z N AH S
FORTUITOUSNESSES	F AO R T AH T AW Z N EH S AH Z
FOSSILIFEROUS	F AA S AH L IH F ER AH S
FOU	F UW
FOUETTE	F AW EH T
FOUETTES	F AW EH T S
FOUGHT	F AO T
FOUGHTEN	F AO T AH N
FOUL	F AW L
FOULARD	F AW L AH R D
FOULARDS	F AW L AH R D Z
FOULBROOD	F AW L B R UW D
FOULBROODS	F AW L B R UW D Z
FOULED	F AW L D
FOULER	F AW L ER
FOULEST	F AW L AH S T
FOULING	F AW L IH NG
FOULINGS	F AW L IH NG Z
FOULLY	F AW L IY
FOULMOUTHED	F AW L M AW TH T
FOULNESS	F AW L N AH S
FOULNESSES	F AW L N AH S IH Z
FOULS	F AW L Z
FOUND	F AW N D
FOUNDATION	F AW N D EY SH AH N
FOUNDATIONAL	F AW N D EY SH AH N AH L
FOUNDATIONALLY	F AW N D EY SH AH N AH L IY
FOUNDATIONLESS	F AW N D EY SH AH N L AH S
FOUNDATIONS	F AW N D EY SH AH N Z
FOUNDED	F AW N D IH D
FOUNDER	F AW N D ER
FOUNDERED	F AW N D ER D
FOUNDERING	F AW N D ER IH NG
FOUNDERS	F AW N D ER Z
FOUNDING	F AW N D IH NG
FOUNDLING	F AW N D L IH NG
FOUNDLINGS	F AW N D L IH NG Z
FOUNDRIES	F AW N D R IY Z
FOUNDRY	F AW N D R IY
FOUNDS	F AW N D Z
FOUNT	F AW N T
FOUNTAIN	F AW N T AH N
FOUNTAINED	F AW N T AH N D
FOUNTAINHEAD	F AW N T AH N HH EH D
FOUNTAINHEADS	F AW N T AH N HH EH D Z
FOUNTAINING	F AW N T AH N IH NG
FOUNTAINS	F AW N T AH N Z
FOUNTS	F AW N T S
FOUR	F AO R
FOURCHEE	F AH R CH IY IY
FOURDRINIER	F AH R D R IH N AY AH R
FOURDRINIERS	F AH R D R AH N IY R Z
FOURFOLD	F AO R F OW L D
FOURGON	F AH R G AH N
FOURGONS	F AH R G AH N Z
FOURPLEX	F AH R P L AH K S
FOURPLEXES	F AH R P L AH K S
FOURRAGERE	F AH R EY JH AH R
FOURRAGERES	F AH R AH JH IY R Z
FOURS	F AO R Z
FOURSCORE	F OW R S K OW R
FOURSOME	F AO R S AH M
FOURSOMES	F OW R S AH M Z
FOURSQUARE	F AO R S K W EH R
FOURTEEN	F AO R T IY N
FOURTEENER	F OW R T IY N ER
FOURTEENERS	F OW R T IY N ER Z
FOURTEENS	F AO R T IY N Z
FOURTEENTH	F AO R T IY N TH
FOURTEENTHS	F OW R T IY N TH S
FOURTH	F AO R TH
FOURTHLY	F AO R TH L IY
FOURTHS	F AO R TH S
FOURTHS(2)	F AO R S
FOXHOUND	F AA K S HH AW N D
FOXHOUNDS	F AA K S HH AW N D Z
FRABJOUS	F R AE B AH S
FRACTIOUS	F R AE K SH AH S
FRACTIOUSLY	F R AE K SH AH S L IY
FRACTIOUSNESS	F R AE K SH AH S N AH S
FRACTIOUSNESSES	F R AE K SH AH S N AH S IH Z
FREAKOUT	F R IY K AW T
FREAKOUTS	F R IY K AW T S
FRIVOLOUS	F R IH V AH L AH S
FRIVOLOUSLY	F R IH V AH L AH S L IY
FRIVOLOUSNESS	F R IH V AH L AH S N AH S
FRIVOLOUSNESSES	F R IH V AH L AH S N AH S IH Z
FRONTCOURT	F R AH N T K OW R T
FRONTCOURTS	F R AH N T K OW R T S
FROUFROU	F R AW F R UW
FROUFROUS	F R AW F R AH S
FROUNCE	F R AW N S
FROUNCED	F R AW N S T
FROUNCES	F R AW N S AH Z
FROUNCING	F R AW N S AH NG
FROUZIER	F R AW Z AY AH R
FROUZIEST	F R AW Z AY AH S T
FROUZY	F R AW Z IY
FRUCTUOUS	F R AH K T Y AH W AH S
FRUGIVOROUS	F R UW JH IH V AH R AH S
FUCOUS	F Y UW K AH S
FUGACIOUS	F Y UW G AH S IY AH S
FULGUROUS	F UH L G Y AH R AH S
FULIGINOUS	F Y UW L IH JH AH N AH S
FULIGINOUSLY	F Y UW L AH JH IH N OW AH S L IY
FULLMOUTHED	F UH L M AW TH T
FULVOUS	F UH L V AH S
FUNGOUS	F AH N G AH S
FURIOUS	F Y UH R IY AH S
FURIOUSLY	F Y UH R IY AH S L IY
FURLOUGH	F ER L OW
FURLOUGHED	F ER L OW D
FURLOUGHING	F ER L OW IH NG
FURLOUGHS	F ER L OW Z
FUSCOUS	F AH S AH S
GADABOUT	G AE D AH B AW T
GADABOUTS	G AE D AH B AW T S
GALLINACEOUS	G AO L IH N EY S AH S
GALLOUS	G AO L AH S
GAMETOGENOUS	G EY M T AA G AH N AH S
GAMOPETALOUS	G AE M AH P EH T AH L AH S
GANGRENOUS	G AE N G R AH N AH S
GARNETIFEROUS	G AA R N AH T IH F AH R AH S
GARRULOUS	G EH R AH L AH S
GARRULOUSLY	G AE R AH L AH S L IY
GARRULOUSNESS	G AE R AH L AH S N AH S
GARRULOUSNESSES	G AE R AH L AH S N AH S IH Z
GASEOUS	G AE S IY AH S
GASEOUSNESS	G AE S IY AH S N AH S
GASEOUSNESSES	G AE S IY AH S N AH S IH Z
GASHOUSE	G AE S HH AW S
GASHOUSES	G AE SH AH S IH Z
GATEHOUSE	G EY T HH AW S
GATEHOUSES	G EY T HH AW S IH Z
GAZEHOUND	G EY Z HH AW N D
GAZEHOUNDS	G EY Z HH AW N D Z
GEEPOUND	JH IY P AW N D
GEEPOUNDS	JH IY P AW N D Z
GELATINOUS	JH AH L AE T AH N AH S
GELATINOUSLY	JH EH L AH T AY N AH S L IY
GELATINOUSNESS	JH EH L AH T AY N AH S N AH S
GELATINOUSNESSES	JH EH L AH T AY N AH S N AH S IH Z
GENEROUS	JH EH N ER AH S
GENEROUSLY	JH EH N ER AH S L IY
GENEROUSNESS	JH EH N ER AH S N AH S
GENEROUSNESSES	JH EH N ER AH S N AH S IH Z
GENITOURINARY	JH AH N IH T AH R AH N EH R IY
GEOSYNCHRONOUS	JH IY AH S IH NG K R AH N AH S
GHOUL	G UW L
GHOULIE	G UW L IY
GHOULIES	G UW L IY Z
GHOULISH	G UW L IH SH
GHOULISHLY	G UW L IH SH L IY
GHOULISHNESS	G UW L IH SH N AH S
GHOULISHNESSES	G UW L IH SH N AH S IH Z
GHOULS	G UW L Z
GIAOUR	JH AW ER
GIAOURS	JH AW ER Z
GIBBOUS	JH IH B AH S
GLABROUS	G L AE B R AH S
GLAMOROUS	G L AE M ER AH S
GLAMOROUSLY	G L AE M ER AH S L IY
GLAMOROUSNESS	G L AE M ER AH S N AH S
GLAMOROUSNESSES	G L AE M ER AH S N AH S IH Z
GLAMOUR	G L AE M ER
GLAMOURED	G L AE M ER D
GLAMOURING	G L AE M ER IH NG
GLAMOURIZE	G L AE M ER AY Z
GLAMOURIZED	G L AE M ER AY Z D
GLAMOURIZES	G L AE M ER AY Z IH Z
GLAMOURIZING	G L AE M ER AY Z IH NG
GLAMOURLESS	G L AE M ER L AH S
GLAMOUROUS	G L AE M ER AH S
GLAMOURS	G L AE M ER Z
GLASSHOUSE	G L AE S HH AW S
GLASSHOUSES	G L AE S HH AW S IH Z
GLAUCOUS	G L AO K AH S
GLAUCOUSNESS	G L AH K AW Z N AH S
GLAUCOUSNESSES	G L AH K AW Z N EH S AH Z
GLOBOUS	G L OW B AH S
GLORIOUS	G L AO R IY AH S
GLORIOUSLY	G L AO R IY AH S L IY
GLORIOUSNESS	G L OW R IY AH S N AH S
GLORIOUSNESSES	G L OW R IY AH S N AH S IH Z
GLOUT	G L AW T
GLOUTED	G L OW Y UW T AH D
GLOUTING	G L OW Y UW T AH NG
GLOUTS	G L OW Y UW T S
GLUTENOUS	G L AH T AH N AH S
GLUTINOUS	G L UW T AH N AH S
GLUTINOUSLY	G L UW T AH N AH S L IY
GLUTTONOUS	G L AH T AH N AH S
GLUTTONOUSLY	G L AH T AH N AH S L IY
GLUTTONOUSNESS	G L AH T AH N AH S N AH S
GLUTTONOUSNESSES	G L AH T AH N AH S N AH S IH Z
GOALMOUTH	G OW L M AW TH
GOALMOUTHS	G OW L M AW TH S
GOITROUS	G OY T ER AH S
GORGEOUS	G AO R JH AH S
GORGEOUSLY	G AO R JH AH S L IY
GORGEOUSNESS	G AO R JH AH S N AH S
GORGEOUSNESSES	G AO R JH AH S N AH S IH Z
GOUACHE	G AW AH CH
GOUACHES	G AW AH CH AH Z
GOUGE	G AW JH
GOUGED	G AW JH D
GOUGER	G AW JH ER
GOUGERS	G AW JH ER Z
GOUGES	G AW JH IH Z
GOUGING	G AW JH IH NG
GOULASH	G UW L AA SH
GOULASHES	G AW L AH SH AH Z
GOURAMI	G AH R AH M IY
GOURAMIES	G AH R AH M AY Z
GOURAMIS	G AH R AH M AH S
GOURD	G AO R D
GOURDE	G OW R D
GOURDES	G AH R D Z
GOURDS	G AO R D Z
GOURMAND	G AH R M AH N D
GOURMANDISE	G AH R M AH N D AY Z
GOURMANDISES	G AH R M AH N D AY Z AH Z
GOURMANDISM	G AH R M AH N D IH Z AH M
GOURMANDISMS	G AH R M AE N D AH Z AH M Z
GOURMANDIZE	G AH R M AH N D AY Z
GOURMANDIZED	G AH R M AH N D AY Z D
GOURMANDIZES	G AH R M AH N D AY Z AH Z
GOURMANDIZING	G AH R M AH N D AY Z AH NG
GOURMANDS	G AH R M AH N D Z
GOURMET	G UH R M EY
GOURMETS	G UH R M EY Z
GOUT	G AW T
GOUTIER	G AW T IY ER
GOUTIEST	G AW T IY AH S T
GOUTILY	G AW T IY L IY
GOUTS	G AW T S
GOUTY	G AW T IY
GRACIOUS	G R EY SH AH S
GRACIOUSLY	G R EY SH AH S L IY
GRACIOUSNESS	G R EY SH AH S N AH S
GRACIOUSNESSES	G R EY SH AH S N AH S IH Z
GRAMINEOUS	G R AH M IH N IY AH S
GRAMINIVOROUS	G R AE M IH N IH V ER AH S
GRANIVOROUS	G R AH N IH V AH R AH S
GRANULOMATOUS	G R AE N Y AH L AA M AH T AH S
GRATUITOUS	G R AH T UW AH T AH S
GRATUITOUSLY	G R AH T UW AH T AH S L IY
GRATUITOUSNESS	G R AH T UW AH T AH S N AH S
GRATUITOUSNESSES	G R AH T UW AH T AH S N AH S IH Z
GRAYOUT	G R EY AW T
GRAYOUTS	G R EY AW T S
GREENHOUSE	G R IY N HH AW S
GREENHOUSES	G R IY N HH AW S IH Z
GREENHOUSES(2)	G R IY N HH AW Z AH Z
GREGARIOUS	G R AH G EH R IY AH S
GREGARIOUSLY	G R IH G AE R IY AH S L IY
GREGARIOUSNESS	G R IH G AE R IY AH S N AH S
GREGARIOUSNESSES	G R IH G AE R IY AH S N AH S IH Z
GREYHOUND	G R EY HH AW N D
GREYHOUNDS	G R EY HH AW N D Z
GRIEVOUS	G R IY V AH S
GRIEVOUSLY	G R IY V AH S L IY
GRIEVOUSNESS	G R IY V AH S N AH S
GRIEVOUSNESSES	G R IY V AH S N AH S IH Z
GRISEOUS	G R IH Z IY AH S
GROUCH	G R AW CH
GROUCHED	G R AW CH T
GROUCHES	G R AW CH AH Z
GROUCHIER	G R AW CH AY AH R
GROUCHIEST	G R AW CH AY AH S T
GROUCHILY	G R AW CH AH L IY
GROUCHINESS	G R AW CH AH N AH S
GROUCHINESSES	G R AW CH AH N EH S AH Z
GROUCHING	G R AW CH AH NG
GROUCHY	G R AW CH IY
GROUND	G R AW N D
GROUNDBREAKER	G R AW N D B R EY K ER
GROUNDBREAKERS	G R AW N D B R EY K ER Z
GROUNDBREAKING	G R AW N D B R EY K IH NG
GROUNDBREAKING(2)	G R AW N B R EY K IH NG
GROUNDBURST	G R AW N D B ER S T
GROUNDBURSTS	G R AW N D B ER S T S
GROUNDED	G R AW N D IH D
GROUNDER	G R AW N D ER
GROUNDERS	G R AW N D ER Z
GROUNDFISH	G R AW N D F IH SH
GROUNDFISHES	G R AW N D F IH SH IH Z
GROUNDHOG	G R AW N D HH AA G
GROUNDHOGS	G R AW N D HH AA G Z
GROUNDING	G R AW N D IH NG
GROUNDINGS	G R AW N D IH NG Z
GROUNDLESS	G R AW N D L AH S
GROUNDLESSLY	G R AW N D L AH S L IY
GROUNDLESSNESS	G R AW N D L AH S N AH S
GROUNDLESSNESSES	G R AW N D L AH S N AH S IH Z
GROUNDLING	G R AW N D L IH NG
GROUNDLINGS	G R AW N D L IH NG Z
GROUNDMASS	G R AW N D M AE S
GROUNDMASSES	G R AW N D M AE S IH Z
GROUNDNUT	G R AW N D N AH T
GROUNDNUTS	G R AW N D N AH T S
GROUNDOUT	G R AW N D AW T
GROUNDOUTS	G R AW N D AW T S
GROUNDS	G R AW N D Z
GROUNDS(2)	G R AW N Z
GROUNDSEL	G R AW N D S AH L
GROUNDSELS	G R AW N D S AH L Z
GROUNDSHEET	G R AW N D SH IY T
GROUNDSHEETS	G R AW N D SH IY T S
GROUNDSKEEPER	G R AW N D S K IY P ER
GROUNDSKEEPERS	G R AW N D S K IY P ER Z
GROUNDSMAN	G R AW N D Z M AE N
GROUNDSMEN	G R AW N D Z M EH N
GROUNDSWELL	G R AW N D S W EH L
GROUNDSWELLS	G R AW N D S W EH L Z
GROUNDWATER	G R AW N D W AA T ER
GROUNDWATER(2)	G R AW N D W AO T ER
GROUNDWATERS	G R AW N D W AO T ER Z
GROUNDWOOD	G R AW N D W UH D
GROUNDWOODS	G R AW N D W UH D Z
GROUNDWORK	G R AW N D W ER K
GROUNDWORKS	G R AW N D W ER K S
GROUP	G R UW P
GROUPABLE	G R UW P AH B AH L
GROUPED	G R UW P T
GROUPER	G R UW P ER
GROUPERS	G R UW P ER Z
GROUPIE	G R UW P IY
GROUPIES	G R UW P IY Z
GROUPING	G R UW P IH NG
GROUPINGS	G R UW P IH NG Z
GROUPOID	G R UW P OY D
GROUPOIDS	G R UW P OY D Z
GROUPS	G R UW P S
GROUPTHINK	G R UW P TH IH NG K
GROUPTHINKS	G R UW P TH IH NG K S
GROUPUSCULE	G R UW P AH S Y UW L
GROUPUSCULES	G R UW P AH S Y UW L Z
GROUSE	G R AW S
GROUSED	G R AW S T
GROUSER	G R OW AH S AH R
GROUSERS	G R AW S AH R Z
GROUSES	G R AW S IH Z
GROUSING	G R AW S IH NG
GROUT	G R AW T
GROUTED	G R OW Y UW T AH D
GROUTER	G R OW Y UW T AH R
GROUTERS	G R AW T AH R Z
GROUTIER	G R AW T AY AH R
GROUTIEST	G R AW T AY AH S T
GROUTING	G R AW T IH NG
GROUTS	G R OW Y UW T S
GROUTY	G R AW T IY
GRUMOUS	G R UW M AH S
GUARDHOUSE	G AA R D HH AW S
GUARDHOUSES	G AA R D HH AW S IH Z
GUESTHOUSE	G EH S T HH AW S
GUESTHOUSES	G EH S T HH AW S IH Z
GUMMATOUS	G AH M AH T AH S
GUMMOUS	G AH M AH S
GUNFOUGHT	G AH N F AO T
GYMNOSPERMOUS	JH IH M N AA S AH R M AH S
GYNANDROUS	JH AH N AE N D R AH S
GYPSEOUS	JH IH P S IY AH S
GYPSIFEROUS	JH IH P S IH F AH R AH S
HALOGENOUS	HH AE L AH JH AH N AH S
HAMULOUS	HH AE M Y AH L AH S
HANDOUT	HH AE N D AW T
HANDOUTS	HH AE N D AW T S
HANDWROUGHT	HH AE N D R AO T
HANGOUT	HH AE NG AW T
HANGOUTS	HH AE NG AW T S
HARBOUR	HH AA R B ER
HARBOURED	HH AA R B OW Y AH R D
HARBOURING	HH AA R B OW Y AH R AH NG
HARBOURS	HH AA R B OW Y AH R Z
HARDBOUND	HH AA R D B AW N D
HARDMOUTHED	HH AA R D M AW TH T
HARMONIOUS	HH AA R M OW N IY AH S
HARMONIOUSLY	HH AA R M OW N IY AH S L IY
HARMONIOUSNESS	HH AA R M OW N IY AH S N AH S
HARMONIOUSNESSES	HH AA R M OW N IY AH S N AH S IH Z
HAVIOUR	HH EY V IY AH R
HAVIOURS	HH EY V IY OW Y AH R Z
HAZARDOUS	HH AE Z ER D AH S
HAZARDOUSLY	HH AE Z ER D AH S L IY
HAZARDOUSNESS	HH AE Z ER D AH S N AH S
HAZARDOUSNESSES	HH AE Z ER D AH S N AH S IH Z
HEADCOUNT	HH EH D K AW N T
HEADCOUNTS	HH EH D K AW N T S
HEBETUDINOUS	HH EH B AH T Y UW D AH N AH S
HEINOUS	HH EY N AH S
HEINOUSLY	HH IY N OW AH S L IY
HEINOUSNESS	HH IY N AW Z N AH S
HEINOUSNESSES	HH IY N AW Z N EH S AH Z
HELIOLATROUS	HH IY L IY AH L AE T R AH S
HELLACIOUS	HH EH L EY SH AH S
HELLACIOUSLY	HH EH L EY SH AH S L IY
HELLHOUND	HH EH L HH AW N D
HELLHOUNDS	HH EH L HH AW N D Z
HEMATOGENOUS	HH EH M AH T AA G AH N AH S
HEMATOPHAGOUS	HH AH M AE T AH F EY JH AH S
HEMIMETABOLOUS	HH EH M AH M AH T AE B AH L AH S
HEMIPTEROUS	HH AH M IH P T AH R AH S
HEMIZYGOUS	HH AH M IH Z AH G AH S
HENHOUSE	HH EH N HH AW S
HENHOUSES	HH EH N HH AW S IH Z
HERBACEOUS	ER B EY SH AH S
HERBIVOROUS	HH ER B IH V AO R AH S
HERBIVOROUS(2)	ER B IH V AO R AH S
HEREABOUT	HH IH R AH B AW T
HEREABOUTS	HH IH R AH B AW T S
HETEROCYSTOUS	HH AH T EH R AH S IH S T AH S
HETEROECIOUS	HH EH T AH R OW AH SH AH S
HETEROGAMOUS	HH EH T AH R AA G AH M AH S
HETEROGENEOUS	HH EH T ER AH JH IY N Y AH S
HETEROGENEOUSLY	HH EH T AH R AH JH IY N IY AH S L IY
HETEROGENEOUSNESS	HH EH T AH R AH JH IY N IY AH S N AH S
HETEROGENEOUSNESSES	HH EH T AH R AH JH IY N IY AH S N AH S IH Z
HETEROGENOUS	HH EH T AH R AA JH AH N AH S
HETEROLOGOUS	HH EH T AH R AA L AH G AH S
HETEROLOGOUSLY	HH EH T AH R AH L AA G OW AH S L IY
HETERONOMOUS	HH EH T AH R AA N AH M AH S
HETEROPHYLLOUS	HH AH T EH R AH F IH L AH S
HETEROPTEROUS	HH EH T AH R AA P T AH R AH S
HETEROSPOROUS	HH EH T ER AA S P ER AH S
HETEROZYGOUS	HH EH T ER AH Z AY G AH S
HICCOUGH	HH IH K AH P
HICCOUGHED	HH IH K AW D
HICCOUGHING	HH IH K AW AH NG
HICCOUGHS	HH IH K AH P S
HIDEBOUND	HH AY D B AW N D
HIDEOUS	HH IH D IY AH S
HIDEOUSLY	HH IH D IY AH S L IY
HIDEOUSNESS	HH IH D IY AH S N AH S
HIDEOUSNESSES	HH IH D IY AH S N AH S IH Z
HIDEOUT	HH AY D AW T
HIDEOUTS	HH AY D AW T S
HILARIOUS	HH IH L EH R IY AH S
HILARIOUSLY	HH IH L EH R IY AH S L IY
HILARIOUSNESS	HH IH L AE R IY AH S N AH S
HILARIOUSNESSES	HH IH L AE R IY AH S N AH S IH Z
HOLDOUT	HH OW L D AW T
HOLDOUTS	HH OW L D AW T S
HOLOMETABOLOUS	HH AA L AH M AH T AE B AH L AH S
HOMEBOUND	HH OW M B AW N D
HOMOGAMOUS	HH OW M OW G EY M AH S
HOMOGENEOUS	HH OW M AH JH IY N IY AH S
HOMOGENEOUSLY	HH OW M AH JH IY N IY AH S L IY
HOMOGENEOUSNESS	HH OW M AH JH IY N IY AH S N AH S
HOMOGENEOUSNESSES	HH OW M AH JH IY N IY AH S N AH S IH Z
HOMOGENOUS	HH AH M AA JH AH N AH S
HOMOIOUSIAN	HH AH M OY OW AH S IY AH N
HOMOIOUSIANS	HH AA M OY AW S IY AH N Z
HOMOLOGOUS	HH AA M AA L AH G AH S
HOMONYMOUS	HH AH M AA N AH M AH S
HOMONYMOUSLY	HH AA M AH N IH M OW AH S L IY
HOMOOUSIAN	HH AA M UW AH S IY AH N
HOMOOUSIANS	HH AA M UW UW S IY AH N Z
HOMOPHONOUS	HH OW M OW F OW N AH S
HOMOPTEROUS	HH AH M AA P T AH R AH S
HOMOSPOROUS	HH OW M OW S P AO R AH S
HOMOZYGOUS	HH OW M OW Z AY G AH S
HOMOZYGOUSLY	HH OW M OW Z AY G AH S L IY
HONOUR	AA N ER
HONOURABLE	AA N ER AH B AH L
HONOURED	AA N ER D
HONOURER	AA N ER ER
HONOURERS	AA N ER ER Z
HONOURING	AA N ER IH NG
HONOURS	AA N ER Z
HOREHOUND	HH AA R HH AW N D
HOREHOUNDS	HH AO R AH HH AW N D Z
HORNPOUT	HH AO R N P AW T
HORNPOUTS	HH AO R N P AW T S
HORRENDOUS	HH AO R EH N D AH S
HORRENDOUSLY	HH AO R EH N D AH S L IY
HOTHOUSE	HH AA T HH AW S
HOTHOUSES	HH AA T HH AW S IH Z
HOUDAH	HH AW D AH
HOUDAHS	HH AW D AH Z
HOUND	HH AW N D
HOUNDED	HH AW N D IH D
HOUNDER	HH AW N D ER
HOUNDERS	HH AW N D ER Z
HOUNDING	HH AW N D IH NG
HOUNDS	HH AW N D Z
HOUR	AW ER
HOUR(2)	AW R
HOURGLASS	AW ER G L AE S
HOURGLASSES	AW ER G L AE S IH Z
HOURI	HH AH R IY
HOURIS	AW ER IY Z
HOURLY	AW R L IY
HOURS	AW ER Z
HOURS(2)	AW R Z
HOUSE	HH AW S
HOUSEBOAT	HH AW S B OW T
HOUSEBOATER	HH AW S B OW T ER
HOUSEBOATERS	HH AW S B OW T ER Z
HOUSEBOATS	HH AW S B OW T S
HOUSEBOUND	HH AW S B AW N D
HOUSEBOY	HH AW S B OY
HOUSEBOYS	HH AW S B OY Z
HOUSEBREAK	HH AW S B R EY K
HOUSEBREAKER	HH AW S B R EY K ER
HOUSEBREAKERS	HH AW S B R EY K ER Z
HOUSEBREAKING	HH AW S B R EY K IH NG
HOUSEBREAKINGS	HH AW S B R EY K IH NG Z
HOUSEBREAKS	HH AW S B R EY K S
HOUSEBROKE	HH AW S B R OW K
HOUSEBROKEN	HH AW S B R OW K AH N
HOUSECARL	HH AW S K AA R L
HOUSECARLS	HH AW S K AA R L Z
HOUSECLEAN	HH AW S K L IY N
HOUSECLEANED	HH AW S K L IY N D
HOUSECLEANING	HH AW S K L IY N IH NG
HOUSECLEANINGS	HH AW S K L IY N IH NG Z
HOUSECLEANS	HH AW S K L IY N Z
HOUSECOAT	HH AW S K OW T
HOUSECOATS	HH AW S K OW T S
HOUSED	HH AW Z D
HOUSEDRESS	HH AW S D R EH S
HOUSEDRESSES	HH AW S D R EH S IH Z
HOUSEFATHER	HH AW S F AA DH ER
HOUSEFATHERS	HH AW S F AA DH ER Z
HOUSEFLIES	HH AW S F L AY Z
HOUSEFLY	HH AW S F L AY
HOUSEFRONT	HH AW S F R AH N T
HOUSEFRONTS	HH AW S F R AH N T S
HOUSEFUL	HH AW S F AH L
HOUSEFULS	HH AW S F AH L Z
HOUSEGUEST	HH AW S G EH S T
HOUSEGUESTS	HH AW S G EH S T S
HOUSEHOLD	HH AW S HH OW L D
